price,ipath,areaname,rating,citydistance,title,canonical,photo,resultsType,latitude,longitude,color
47,33772,"Catia La Mar, Vargas, Venezuela",,,La Parada,http://www.trivago.com/venezuela-33772/hotel,//imgec.trivago.com/itemimages/31/81/3181494_v4_isq.jpeg,Country - Central and South America (791 Hotels),10.60389,-67.02956,yellow
47,34230,"Birmingham,",59,7,Red Roof Inn Birmingham South,http://www.trivago.com/birmingham-34230/hotel,//imgec.trivago.com/itemimages/68/18/68184_v2_isq.jpeg,"City - Alabama, USA (90 Hotels)",33.417915,-86.80333,yellow
47,34230,"Birmingham,",59,7,Red Roof Inn Birmingham South,http://www.trivago.com/birmingham-34230/hotel,//imgec.trivago.com/itemimages/68/18/68184_v2_isq.jpeg,"City - Alabama, USA (90 Hotels)",33.417915,-86.80333,yellow
47,34244,"Anchorage,",57,2,Qupqugiaq Inn,http://www.trivago.com/anchorage-34244/hotel,//imgec.trivago.com/itemimages/81/48/814871_v2_isq.jpeg,"City - Alaska, USA (172 Hotels)",61.18794,-149.89601,yellow
47,34263,"Phoenix,",58,10.8,Travelodge Phoenix North,http://www.trivago.com/phoenix-34263/hotel,//imgec.trivago.com/itemimages/37/70/377001_v4_isq.jpeg,"City - Arizona, USA (280 Hotels)",33.603016,-112.11847,yellow
47,34263,"Phoenix,",48,4,Best Inn & Suites,http://www.trivago.com/phoenix-34263/hotel,//imgec.trivago.com/itemimages/17/18/1718549_v1_isq.jpeg,"City - Arizona, USA (280 Hotels)",33.4504,-112.00437,yellow
47,34263,"Phoenix,",48,4,Best Inn & Suites,http://www.trivago.com/phoenix-34263/hotel,//imgec.trivago.com/itemimages/17/18/1718549_v1_isq.jpeg,"City - Arizona, USA (280 Hotels)",33.4504,-112.00437,yellow
47,34278,"Jonesboro,",67,0.5,Super 8 Jonesboro,http://www.trivago.com/jonesboro-34278/hotel,//imgec.trivago.com/itemimages/78/66/78668_v1_isq.jpeg,"City - Arkansas, USA (25 Hotels)",35.815224,-90.67709,yellow
47,34278,"Jonesboro,",59,1.1,Days Inn Jonesboro AR,http://www.trivago.com/jonesboro-34278/hotel,//imgec.trivago.com/itemimages/58/29/58291_v2_isq.jpeg,"City - Arkansas, USA (25 Hotels)",35.809803,-90.670456,yellow
47,34278,"Jonesboro,",67,0.5,Super 8 Jonesboro,http://www.trivago.com/jonesboro-34278/hotel,//imgec.trivago.com/itemimages/78/66/78668_v1_isq.jpeg,"City - Arkansas, USA (25 Hotels)",35.815224,-90.67709,yellow
47,34278,"Jonesboro,",59,1.1,Days Inn Jonesboro AR,http://www.trivago.com/jonesboro-34278/hotel,//imgec.trivago.com/itemimages/58/29/58291_v2_isq.jpeg,"City - Arkansas, USA (25 Hotels)",35.809803,-90.670456,yellow
47,34289,"Bakersfield,",71,1.6,Red Lion Hotel Bakersfield,http://www.trivago.com/bakersfield-34289/hotel,//imgec.trivago.com/itemimages/70/56/70560_v1_isq.jpeg,"City - California, USA (62 Hotels)",35.384556,-119.04257,yellow
47,34289,"Bakersfield,",71,1.6,Red Lion Hotel Bakersfield,http://www.trivago.com/bakersfield-34289/hotel,//imgec.trivago.com/itemimages/70/56/70560_v1_isq.jpeg,"City - California, USA (62 Hotels)",35.384556,-119.04257,yellow
47,34341,"Grand Junction,",77,1.6,Days Inn Grand Junction,http://www.trivago.com/grand-junction-34341/hotel,//imgec.trivago.com/itemimages/70/65/70656_v2_isq.jpeg,"City - Colorado, USA (47 Hotels)",39.10703,-108.54323,yellow
47,34341,"Grand Junction,",72,2.1,Ramada Grand Junction,http://www.trivago.com/grand-junction-34341/hotel,//imgec.trivago.com/itemimages/66/63/66631_v2_isq.jpeg,"City - Colorado, USA (47 Hotels)",39.112785,-108.53593,yellow
47,34341,"Grand Junction,",77,1.6,Days Inn Grand Junction,http://www.trivago.com/grand-junction-34341/hotel,//imgec.trivago.com/itemimages/70/65/70656_v2_isq.jpeg,"City - Colorado, USA (47 Hotels)",39.10703,-108.54323,yellow
47,34390,"Orlando,",68,5.8,Days Inn Orlando Airport  Florida Mall,http://www.trivago.com/orlando-34390/hotel,//imgec.trivago.com/itemimages/57/32/57328_v5_isq.jpeg,"City - Florida, USA (966 Hotels)",28.4273,-81.4037,yellow
47,34390,"Orlando,",50,8.4,Days Inn Orlando Universal Studios North,http://www.trivago.com/orlando-34390/hotel,//imgec.trivago.com/itemimages/65/57/65574_v1_isq.jpeg,"City - Florida, USA (966 Hotels)",28.507692,-81.416145,yellow
47,34484,"Peoria,",63,3.4,Econo Lodge Inn & Suites Peoria,http://www.trivago.com/peoria-34484/hotel,//imgec.trivago.com/itemimages/77/33/77337_v2_isq.jpeg,"City - Illinois, USA (25 Hotels)",40.74009,-89.62301,yellow
