Year,Make,GroupModel,Model,Locale
1997,Audi,All Models,Cabriolet,En-US
1997,Audi,All Models,S6,En-US
1997,Audi,All Models,A8,En-US
1997,Audi,All Models,A4,En-US
1997,Audi,All Models,A6,En-US
1997,Ferrari,All Models,F355,En-US
1997,Ferrari,All Models,456 GT,En-US
1997,Ferrari,All Models,550 Maranello,En-US
1997,HUMMER,All Models,H1,En-US
1997,Jaguar,All Models,Other Jaguar Models,En-US
1997,Jaguar,All Models,XK8,En-US
1997,Jaguar,All Models,XJR,En-US
1997,Jaguar,All Models,XJ6,En-US
1997,Jaguar,All Models,XJ Vanden Plas,En-US
1997,Jeep,All Models,Other Jeep Models,En-US
1997,Jeep,All Models,Grand Cherokee,En-US
1997,Jeep,All Models,Cherokee,En-US
1997,Jeep,All Models,Wrangler,En-US
1997,Lamborghini,All Models,Diablo,En-US
1997,Land Rover,All Models,Range Rover,En-US
1997,Land Rover,All Models,Defender,En-US
1997,Land Rover,All Models,Discovery,En-US
1997,Lotus,All Models,Esprit,En-US
1997,Mercedes-Benz,All Models,E420,En-US
1997,Mercedes-Benz,All Models,SL320,En-US
1997,Mercedes-Benz,All Models,S500,En-US
1997,Mercedes-Benz,All Models,S420,En-US
1997,Mercedes-Benz,All Models,S600,En-US
1997,Mercedes-Benz,All Models,S320,En-US
1997,Mercedes-Benz,All Models,E300,En-US
1997,Mercedes-Benz,All Models,C280,En-US
1997,Mercedes-Benz,All Models,SL600,En-US
1997,Mercedes-Benz,All Models,E320,En-US
1997,Mercedes-Benz,All Models,C230,En-US
1997,Mercedes-Benz,All Models,SL500,En-US
1997,Mercedes-Benz,All Models,C36 AMG,En-US
1997,Porsche,All Models,Other Porsche Models,En-US
1997,Porsche,All Models,Boxster,En-US
1997,Porsche,All Models,911,En-US
1997,Rolls-Royce,All Models,Silver Spur,En-US
1997,Rolls-Royce,All Models,Silver Dawn,En-US
1997,Saab,All Models,9000,En-US
1997,Saab,All Models,Other Saab Models,En-US
1997,Saab,All Models,900,En-US
1997,BMW,3 Series,318i,En-US
1997,BMW,3 Series,318iS,En-US
1997,BMW,3 Series,318ti,En-US
1997,BMW,3 Series,328i,En-US
1997,BMW,3 Series,328iS,En-US
1997,BMW,5 Series,528i,En-US
1997,BMW,5 Series,540i,En-US
1997,BMW,7 Series,740i,En-US
1997,BMW,7 Series,740iL,En-US
1997,BMW,7 Series,750iL,En-US
1997,BMW,8 Series,840Ci,En-US
1997,BMW,8 Series,850Ci,En-US
1997,Chevrolet,Express,Express 1500,En-US
1997,Chevrolet,Express,Express 2500,En-US
1997,Chevrolet,Express,Express 3500,En-US
1997,Ford,Econoline,E-150 and Econoline 150,En-US
1997,Ford,Econoline,E-250 and Econoline 250,En-US
1997,Ford,Econoline,E-350 and Econoline 350,En-US
1997,Ford,Expedition,Expedition,En-US
1997,Ford,Explorer,Explorer,En-US
1997,Ford,F-Series,F150,En-US
1997,Ford,F-Series,F250,En-US
1997,Ford,F-Series,F350,En-US
1997,Ford,F-Series,F450,En-US
1997,Ford,Taurus,Taurus,En-US
1997,GMC,S-Series,S15 Jimmy,En-US
1997,GMC,Savana,Savana 1500,En-US
1997,GMC,Savana,Savana 2500,En-US
1997,GMC,Savana,Savana 3500,En-US
1997,GMC,Yukon,Yukon,En-US
1997,Honda,Accord,Accord,En-US
1997,Hyundai,Elantra,Elantra,En-US
1997,Subaru,Impreza,Impreza,En-US
1997,Volkswagen,Golf,Golf,En-US
1997,Lexus,SC300/400,SC 300,En-US
1997,Lexus,SC300/400,SC 400,En-US
1997,Lincoln,All Other Models,Continental,En-US
1997,Lincoln,All Other Models,Mark VIII,En-US
1997,Lincoln,All Other Models,Town Car,En-US
