Year,Make,GroupModel,Model,Locale
2004,Aston Martin,All Models,Vanquish,En-US
2004,Ferrari,All Models,575M Maranello,En-US
2004,Ferrari,All Models,360,En-US
2004,Jaguar,All Models,XKR,En-US
2004,Jaguar,All Models,XK8,En-US
2004,Jaguar,All Models,Other Jaguar Models,En-US
2004,Jaguar,All Models,XJR,En-US
2004,Jaguar,All Models,S-TYPE,En-US
2004,Jaguar,All Models,XJ Vanden Plas,En-US
2004,Jaguar,All Models,XJ8,En-US
2004,Jaguar,All Models,X-TYPE,En-US
2004,MINI,All Models,Cooper,En-US
2004,Rolls-Royce,All Models,Phantom,En-US
2004,Saab,All Models,5-Sep,En-US
2004,Saab,All Models,3-Sep,En-US
2004,BMW,3 Series,320i,En-US
2004,BMW,3 Series,325Ci,En-US
2004,BMW,3 Series,325i,En-US
2004,BMW,3 Series,325xi,En-US
2004,BMW,3 Series,330Ci,En-US
2004,BMW,3 Series,330i,En-US
2004,BMW,3 Series,330xi,En-US
2004,BMW,5 Series,525i,En-US
2004,BMW,5 Series,530i,En-US
2004,BMW,5 Series,545i,En-US
2004,BMW,6 Series,645Ci,En-US
2004,BMW,7 Series,745i,En-US
2004,BMW,7 Series,745Li,En-US
2004,BMW,7 Series,760i,En-US
2004,BMW,7 Series,760Li,En-US
2004,BMW,X5,X5,En-US
2004,Cadillac,Escalade,Escalade,En-US
2004,Cadillac,Escalade,Escalade ESV,En-US
2004,Cadillac,Escalade,Escalade EXT,En-US
2004,Chevrolet,Aveo,Aveo,En-US
2004,Chevrolet,Express,Express 1500,En-US
2004,Chevrolet,Express,Express 2500,En-US
2004,Chevrolet,Express,Express 3500,En-US
2004,Chevrolet,Kodiak,Kodiak C4500,En-US
2004,Chevrolet,Silverado,Silverado and other C/K1500,En-US
2004,Chevrolet,Silverado,Silverado and other C/K2500,En-US
2004,Chevrolet,Silverado,Silverado and other C/K3500,En-US
2004,Chrysler,300/300C Series,300M,En-US
2004,Dodge,Ram  Truck,Ram 1500 Truck,En-US
2004,Dodge,Ram  Truck,Ram 2500 Truck,En-US
2004,Dodge,Ram  Truck,Ram 3500 Truck,En-US
2004,Ford,Econoline,E-150 and Econoline 150,En-US
2004,Ford,Econoline,E-250 and Econoline 250,En-US
2004,Ford,Econoline,E-350 and Econoline 350,En-US
2004,Ford,Expedition,Expedition,En-US
2004,Ford,Explorer,Explorer,En-US
2004,Ford,Explorer,Explorer Sport Trac,En-US
2004,Ford,F-Series,F150,En-US
2004,Ford,F-Series,F250,En-US
2004,Ford,F-Series,F350,En-US
2004,Ford,F-Series,F450,En-US
2004,Ford,Taurus,Taurus,En-US
2004,GMC,Envoy,Envoy,En-US
2004,GMC,Envoy,Envoy XL,En-US
2004,GMC,Envoy,Envoy XUV,En-US
2004,GMC,Savana,Savana 1500,En-US
2004,GMC,Savana,Savana 2500,En-US
