Year,Make,GroupModel,Model,Locale
1989,Alfa Romeo,All Models,Other Alfa Romeo Models,En-US
1989,Alfa Romeo,All Models,Spider,En-US
1989,Audi,All Models,100,En-US
1989,Audi,All Models,200,En-US
1989,Audi,All Models,80,En-US
1989,Audi,All Models,90,En-US
1989,Audi,All Models,Other Audi Models,En-US
1989,Buick,All Other Models,Century,En-US
1989,Buick,All Other Models,Electra,En-US
1989,Buick,All Other Models,Le Sabre,En-US
1989,Buick,All Other Models,Other Buick Models,En-US
1989,Buick,All Other Models,Reatta,En-US
1989,Buick,All Other Models,Regal,En-US
1989,Buick,All Other Models,Riviera,En-US
1989,Buick,All Other Models,Skyhawk,En-US
1989,Buick,All Other Models,Skylark,En-US
1989,Chevrolet,G10-G30 Series,G10,En-US
1989,Chevrolet,G10-G30 Series,G20,En-US
1989,Chevrolet,G10-G30 Series,G30,En-US
1989,Chevrolet,Silverado,Silverado and other C/K1500,En-US
1989,Chevrolet,Silverado,Silverado and other C/K2500,En-US
1989,Chevrolet,Silverado,Silverado and other C/K3500,En-US
1989,Chevrolet,S-Series,S10 Blazer,En-US
1989,Chevrolet,S-Series,S10 Pickup,En-US
1989,Chrysler,All Models,Conquest,En-US
1989,Chrysler,All Models,Fifth Avenue,En-US
1989,Chrysler,All Models,LeBaron,En-US
1989,Chrysler,All Models,New Yorker,En-US
1989,Chrysler,All Models,Other Chrysler Models,En-US
1989,Chrysler,All Models,TC by Maserati,En-US
1989,Dodge,All Other Models,Aries,En-US
1989,Dodge,All Other Models,B150,En-US
1989,Dodge,All Other Models,B250,En-US
1989,Dodge,All Other Models,B350,En-US
1989,Dodge,All Other Models,Caravan,En-US
1989,Dodge,All Other Models,D/W Truck,En-US
1989,Dodge,All Other Models,Daytona,En-US
1989,Dodge,All Other Models,Diplomat,En-US
1989,Dodge,All Other Models,Dynasty,En-US
1989,Dodge,All Other Models,Lancer,En-US
1989,Dodge,All Other Models,Mini Ram Van,En-US
1989,Dodge,All Other Models,Omni,En-US
1989,Dodge,All Other Models,Other Dodge Models,En-US
1989,Dodge,All Other Models,Ram 1500 Truck,En-US
1989,Dodge,All Other Models,Ram 2500 Truck,En-US
1989,Dodge,All Other Models,Ram 3500 Truck,En-US
1989,Dodge,All Other Models,Ram 50 Truck,En-US
1989,Dodge,All Other Models,Ramcharger,En-US
1989,Dodge,All Other Models,Shadow,En-US
1989,Dodge,All Other Models,Spirit,En-US
1989,Ferrari,All Models,328,En-US
1989,Ferrari,All Models,348,En-US
1989,Ferrari,All Models,Mondial,En-US
1989,Ferrari,All Models,Testarossa,En-US
1989,Ford,Econoline,E-150 and Econoline 150,En-US
1989,Ford,Econoline,E-250 and Econoline 250,En-US
1989,Ford,Econoline,E-350 and Econoline 350,En-US
1989,GMC,All Models,G1500,En-US
1989,GMC,All Models,G2500,En-US
1989,GMC,All Models,G3500,En-US
1989,GMC,All Models,Jimmy,En-US
1989,GMC,All Models,Other GMC Models,En-US
1989,GMC,All Models,Safari,En-US
1989,GMC,All Models,Suburban,En-US
1989,GMC,Sierra,Sierra C/K1500,En-US
1989,GMC,Sierra,Sierra C/K2500,En-US
1989,GMC,Sierra,Sierra C/K3500,En-US
1989,GMC,S-Series,S15 Jimmy,En-US
1989,GMC,S-Series,S15 Pickup,En-US
1989,Honda,Accord,Accord,En-US
1989,Jaguar,All Models,Other Jaguar Models,En-US
1989,Jaguar,All Models,XJ Vanden Plas,En-US
1989,Jaguar,All Models,XJ6,En-US
1989,Jaguar,All Models,XJS,En-US
1989,Jeep,All Models,Cherokee,En-US
1989,Jeep,All Models,Comanche,En-US
1989,Jeep,All Models,Grand Wagoneer,En-US
1989,Jeep,All Models,Other Jeep Models,En-US
1989,Jeep,All Models,Wagoneer,En-US
1989,Jeep,All Models,Wrangler,En-US
1989,Lamborghini,All Models,Countach,En-US
1989,Land Rover,All Models,Range Rover,En-US
1989,Lincoln,All Models,Continental,En-US
1989,Lincoln,All Models,Mark VII,En-US
1989,Lincoln,All Models,Town Car,En-US
1989,Lotus,All Models,Esprit,En-US
1989,Maserati,All Models,430,En-US
1989,Maserati,All Models,Spyder,En-US
1989,Mercedes-Benz,All Models,190D,En-US
1989,Mercedes-Benz,All Models,190E,En-US
1989,Mercedes-Benz,All Models,260E,En-US
1989,Mercedes-Benz,All Models,300CE,En-US
1989,Mercedes-Benz,All Models,300E,En-US
1989,Mercedes-Benz,All Models,300SE,En-US
1989,Mercedes-Benz,All Models,300SEL,En-US
1989,Mercedes-Benz,All Models,300TE,En-US
1989,Mercedes-Benz,All Models,420SEL,En-US
1989,Mercedes-Benz,All Models,560SEC,En-US
1989,Mercedes-Benz,All Models,560SEL,En-US
1989,Mercedes-Benz,All Models,560SL,En-US
1989,Mercedes-Benz,All Models,Other Mercedes-Benz Models,En-US
1989,Mercury,All Other Models,Cougar,En-US
1989,Mercury,All Other Models,Grand Marquis,En-US
1989,Mercury,All Other Models,Marquis,En-US
1989,Mercury,All Other Models,Other Mercury Models,En-US
1989,Mercury,All Other Models,Sable,En-US
1989,Mercury,All Other Models,Topaz,En-US
1989,Mercury,All Other Models,Tracer,En-US
1989,Oldsmobile,All Models,88,En-US
1989,Oldsmobile,All Models,Custom Cruiser,En-US
1989,Oldsmobile,All Models,Cutlass,En-US
1989,Oldsmobile,All Models,Cutlass Calais,En-US
1989,Oldsmobile,All Models,Cutlass Ciera,En-US
