Year,Make,GroupModel,Model,Locale
1988,Alfa Romeo,All Models,Milano,En-US
1988,Audi,All Models,80,En-US
1988,Audi,All Models,90,En-US
1988,Audi,All Models,5000,En-US
1988,Chrysler,All Models,Conquest,En-US
1988,Chrysler,All Models,LeBaron GTS,En-US
1988,Chrysler,All Models,Fifth Avenue,En-US
1988,Chrysler,All Models,LeBaron,En-US
1988,Chrysler,All Models,New Yorker,En-US
1988,Ferrari,All Models,328,En-US
1988,Ferrari,All Models,Testarossa,En-US
1988,Ferrari,All Models,Mondial,En-US
1988,Jaguar,All Models,XJ6,En-US
1988,Jaguar,All Models,XJS,En-US
1988,Jaguar,All Models,XJ Vanden Plas,En-US
1988,Lamborghini,All Models,Countach,En-US
1988,Lamborghini,All Models,LM002,En-US
1988,Land Rover,All Models,Range Rover,En-US
1988,Lincoln,All Models,Continental,En-US
1988,Lincoln,All Models,Mark VII,En-US
1988,Lincoln,All Models,Town Car,En-US
1988,Lotus,All Models,Esprit,En-US
1988,Mercedes-Benz,All Models,300E,En-US
1988,Mercedes-Benz,All Models,560SEL,En-US
1988,Mercedes-Benz,All Models,190D,En-US
1988,Mercedes-Benz,All Models,300TE,En-US
1988,Mercedes-Benz,All Models,300SE,En-US
1988,Mercedes-Benz,All Models,300SEL,En-US
1988,Mercedes-Benz,All Models,260E,En-US
1988,Mercedes-Benz,All Models,560SEC,En-US
1988,Mercedes-Benz,All Models,560SL,En-US
1988,Mercedes-Benz,All Models,190E,En-US
1988,Mercedes-Benz,All Models,420SEL,En-US
1988,Mercedes-Benz,All Models,300CE,En-US
1988,Oldsmobile,All Models,Cutlass Ciera,En-US
1988,Oldsmobile,All Models,Ninety-Eight,En-US
1988,Oldsmobile,All Models,Cutlass,En-US
1988,Oldsmobile,All Models,Toronado,En-US
1988,Oldsmobile,All Models,Cutlass Supreme,En-US
1988,Oldsmobile,All Models,Firenza,En-US
1988,Oldsmobile,All Models,Cutlass Calais,En-US
1988,Oldsmobile,All Models,88,En-US
1988,Oldsmobile,All Models,Custom Cruiser,En-US
1988,Pontiac,All Models,Grand Prix,En-US
1988,Pontiac,All Models,Fiero,En-US
1988,Pontiac,All Models,Bonneville,En-US
1988,Pontiac,All Models,Grand Am,En-US
1988,Pontiac,All Models,Safari,En-US
1988,Pontiac,All Models,Le Mans,En-US
1988,Pontiac,All Models,Firebird,En-US
1988,Pontiac,All Models,Sunbird,En-US
1988,Pontiac,All Models,6000,En-US
1988,Porsche,All Models,911,En-US
1988,Porsche,All Models,924,En-US
1988,Porsche,All Models,928,En-US
1988,Porsche,All Models,944,En-US
1988,Rolls-Royce,All Models,Silver Spur,En-US
1988,Rolls-Royce,All Models,Corniche,En-US
1988,Rolls-Royce,All Models,Silver Spirit,En-US
1988,Saab,All Models,900,En-US
1988,Saab,All Models,9000,En-US
1988,Suzuki,All Models,Samurai,En-US
1988,Volvo,All Models,780,En-US
1988,Volvo,All Models,740,En-US
1988,Volvo,All Models,240,En-US
1988,Volvo,All Models,760,En-US
1988,Chevrolet,G10-G30-P Series,G10,En-US
1988,Chevrolet,G10-G30-P Series,G20,En-US
1988,Chevrolet,G10-G30-P Series,G30,En-US
1988,Chevrolet,S-Series,S10 Blazer,En-US
1988,Chevrolet,S-Series,S10 Pickup,En-US
1988,Chevrolet,Silverado,Silverado and other C/K1500,En-US
1988,Chevrolet,Silverado,Silverado and other C/K2500,En-US
1988,Chevrolet,Silverado,Silverado and other C/K3500,En-US
1988,Dodge,Ram  Truck,Ram 1500 Truck,En-US
1988,Dodge,Ram  Truck,Ram 2500 Truck,En-US
1988,Dodge,Ram  Truck,Ram 3500 Truck,En-US
1988,Dodge,Ram  Truck,Ram 50 Truck,En-US
1988,Ford,Econoline,E-150 and Econoline 150,En-US
1988,Ford,Econoline,E-250 and Econoline 250,En-US
1988,Ford,Econoline,E-350 and Econoline 350,En-US
1988,Ford,F-Series,F150,En-US
1988,Ford,F-Series,F250,En-US
1988,Ford,F-Series,F350,En-US
1988,Ford,Taurus,Taurus,En-US
1988,GMC,S-Series,S15 Jimmy,En-US
1988,GMC,S-Series,S15 Pickup,En-US
1988,GMC,S-Series,Safari,En-US
1988,GMC,Sierra,Sierra C/K1500,En-US
1988,GMC,S-Series,Sierra C/K1500,En-US
1988,GMC,Sierra,Sierra C/K2500,En-US
1988,GMC,S-Series,Sierra C/K2500,En-US
1988,GMC,Sierra,Sierra C/K3500,En-US
1988,GMC,S-Series,Sierra C/K3500,En-US
1988,GMC,S-Series,Suburban,En-US
1988,Honda,Accord,Accord,En-US
1988,Jaguar,XJ,XJ Vanden Plas,En-US
1988,Jaguar,XJ,XJ6,En-US
1988,Jaguar,XJ,XJS,En-US
1988,Volkswagen,Golf,Golf,En-US
1988,Buick,All Other Models,Century,En-US
1988,Buick,All Other Models,Electra,En-US
1988,Buick,All Other Models,Le Sabre,En-US
1988,Buick,All Other Models,Reatta,En-US
1988,Buick,All Other Models,Regal,En-US
1988,Buick,All Other Models,Riviera,En-US
1988,Buick,All Other Models,Skyhawk,En-US
1988,Buick,All Other Models,Skylark,En-US
1988,Cadillac,Other Cadillac Models,Brougham,En-US
1988,Cadillac,Other Cadillac Models,Cimarron,En-US
1988,Cadillac,Other Cadillac Models,De Ville,En-US
1988,Cadillac,Other Cadillac Models,Eldorado,En-US
1988,Cadillac,Other Cadillac Models,Fleetwood,En-US
1988,Cadillac,Other Cadillac Models,Seville,En-US
1988,Chevrolet,All Other Models,Beretta,En-US
1988,Chevrolet,All Other Models,Camaro,En-US
1988,Chevrolet,All Other Models,Caprice,En-US
1988,Chevrolet,All Other Models,Cavalier,En-US
1988,Chevrolet,All Other Models,Celebrity,En-US
1988,Chevrolet,All Other Models,Corsica,En-US
1988,Chevrolet,All Other Models,G10,En-US
1988,Chevrolet,All Other Models,G20,En-US
1988,Chevrolet,All Other Models,G30,En-US
1988,Chevrolet,All Other Models,Monte Carlo,En-US
1988,Chevrolet,All Other Models,Other Chevrolet Models,En-US
1988,Chevrolet,All Other Models,S10 Blazer,En-US
