Year,Make,GroupModel,Model,Locale
2009,BMW,1 Series,128i,En-US
2009,BMW,1 Series,135i,En-US
2009,BMW,3 Series,328i,En-US
2009,BMW,3 Series,328i xDrive,En-US
2009,BMW,3 Series,335d,En-US
2009,BMW,3 Series,335i,En-US
2009,BMW,3 Series,335i xDrive,En-US
2009,BMW,5 Series,528i,En-US
2009,BMW,5 Series,528i xDrive,En-US
2009,BMW,5 Series,535i,En-US
2009,BMW,5 Series,535i xDrive,En-US
2009,BMW,5 Series,550i,En-US
2009,BMW,6 Series,650i,En-US
2009,BMW,7 Series,750i,En-US
2009,BMW,7 Series,750Li,En-US
2009,BMW,X5,X5,En-US
2009,BMW,X6,X6,En-US
2009,Cadillac,Escalade,Escalade,En-US
2009,Cadillac,Escalade,Escalade ESV,En-US
2009,Cadillac,Escalade,Escalade EXT,En-US
2009,Chevrolet,Aveo,Aveo,En-US
2009,Chevrolet,Aveo,Aveo5,En-US
2009,Chevrolet,Express,Express 1500,En-US
2009,Chevrolet,Express,Express 2500,En-US
2009,Chevrolet,Express,Express 3500,En-US
2009,Chevrolet,Silverado,Silverado and other C/K1500,En-US
2009,Chevrolet,Silverado,Silverado and other C/K2500,En-US
2009,Chevrolet,Silverado,Silverado and other C/K3500,En-US
2009,Dodge,Ram  Truck,Ram 1500 Truck,En-US
2009,Dodge,Ram  Truck,Ram 2500 Truck,En-US
2009,Dodge,Ram  Truck,Ram 3500 Truck,En-US
2009,Dodge,Ram  Truck,Ram 4500 Truck,En-US
2009,Ford,Econoline,E-150 and Econoline 150,En-US
2009,Ford,Econoline,E-250 and Econoline 250,En-US
2009,Ford,Econoline,E-350 and Econoline 350,En-US
2009,Ford,Expedition,Expedition,En-US
2009,Ford,Expedition,Expedition EL,En-US
2009,Ford,Explorer,Explorer,En-US
2009,Ford,Explorer,Explorer Sport Trac,En-US
2009,Ford,F-Series,F150,En-US
2009,Ford,F-Series,F250,En-US
2009,Ford,F-Series,F350,En-US
