thing,avgListPrice,medianPrice,popularity,state,statecode,county,maptype,date,avgDate,medianDate,popularityDate
Albany,235779,201200,17,New York,NY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Rankin,235710,,3,Mississippi,MS,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Boundary,235336,,20,Idaho,ID,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Lamar,235125,,6,Mississippi,MS,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Monroe,234865,109950,21,Tennessee,TN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Montgomery,234853,,28,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Cumberland,234710,175100,11,Pennsylvania,PA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Pottawatomie,234519,,23,Kansas,KS,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Saguache,234252,135000,28,Colorado,CO,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Rutland,234205,155000,5,Vermont,VT,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Ketchikan Gateway,234045,,24,Alaska,AK,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Orleans,234000,166250,11,Vermont,VT,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Clearwater,233731,,27,Idaho,ID,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Smith,233464,100000,85,Tennessee,TN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Sanpete,233400,,19,Utah,UT,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Clermont,233348,123592,21,Ohio,OH,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Sumter,233253,235000,29,Florida,FL,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Banks,233252,136000,114,Georgia,GA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Campbell,233220,120000,75,Tennessee,TN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Sussex,233041,224450,17,New Jersey,NJ,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Swain,232980,112000,21,North Carolina,NC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Kosciusko,232952,,23,Indiana,IN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Houston,232710,58000,33,Minnesota,MN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Lake,232646,184000,27,Colorado,CO,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Randall,232624,,36,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Niobrara,232600,,22,Wyoming,WY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Snyder,232285,,60,Pennsylvania,PA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Pickens,232124,132000,14,South Carolina,SC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Milam,232050,,91,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Hall,232034,155500,6,Nebraska,NE,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
McClain,231981,,11,Oklahoma,OK,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Teton,231906,,36,Montana,MT,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Perquimans,231856,,93,North Carolina,NC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Grant,231820,,50,Kentucky,KY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Houston,231662,,92,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Grafton,231507,170000,4,New Hampshire,NH,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Dade,231426,117500,100,Georgia,GA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Hubbard,231421,,37,Minnesota,MN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
New Castle,231320,210000,1,Delaware,DE,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Wilkes,231309,,69,North Carolina,NC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Day,230972,,18,South Dakota,SD,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Jefferson,230843,86000,50,Florida,FL,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Goliad,230739,,133,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Codington,230702,,13,South Dakota,SD,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Moore,230624,,20,North Carolina,NC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Crisp,230458,102500,119,Georgia,GA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Boyle,230373,,51,Kentucky,KY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Kern,230372,,17,California,CA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Custer,230255,,7,South Dakota,SD,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Columbia,230246,171250,21,Wisconsin,WI,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Putnam,230159,,10,West Virginia,WV,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Christian,230124,,6,Missouri,MO,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
ROCKWALL,229500,,,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Hamilton,229080,149900,3,Ohio,OH,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Sequatchie,229055,109000,47,Tennessee,TN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Spokane,229054,185000,5,Washington,WA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Paulding,229010,149900,18,Georgia,GA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Johnson,228976,104500,44,Tennessee,TN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Guilford,228932,150000,5,North Carolina,NC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Camden,228923,149450,33,Georgia,GA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Cheshire,228829,168000,7,New Hampshire,NH,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Roosevelt,228796,,42,Montana,MT,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Antrim,228740,,35,Michigan,MI,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Clay,228650,148092,152,Georgia,GA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Cherokee,228023,,76,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Norfolk,227996,195000,,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Northampton,227894,172450,10,Pennsylvania,PA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Nez Perce,227865,,17,Idaho,ID,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Knox,227672,,3,Tennessee,TN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Graham,227500,,81,Kansas,KS,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Cass,227445,115500,34,Michigan,MI,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Warren,226802,205000,18,New Jersey,NJ,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Jackson,226376,,139,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Roane,226240,134000,36,Tennessee,TN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Gaines,226113,,164,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Bartholomew,226082,,20,Indiana,IN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Oneida,225992,195000,26,Wisconsin,WI,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Clay,225969,178000,19,Minnesota,MN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Lincoln,225829,88950,115,Georgia,GA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Delaware,225631,150000,5,Pennsylvania,PA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Horry,225396,,1,South Carolina,SC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Johnson,225320,,24,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Jefferson,225171,,14,Montana,MT,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Marion,224946,103500,6,Tennessee,TN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Beaufort,224739,,58,North Carolina,NC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Calcasieu,224612,,5,Louisiana,LA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Medina,224501,,40,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Polk,224314,,53,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Ouachita,224130,,12,Louisiana,LA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Osage,223957,115000,9,Oklahoma,OK,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Franklin,223811,165000,12,Massachusetts,MA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Boone,223797,,9,Missouri,MO,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Comal,223608,,5,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Giles,223342,112250,64,Tennessee,TN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Bayfield,223196,,57,Wisconsin,WI,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Conejos,223142,83000,42,Colorado,CO,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Harrisonburg,223124,194900,,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Buffalo,223000,182000,9,Nebraska,NE,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Kenosha,222856,158000,6,Wisconsin,WI,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Pierce,222735,348284,33,Wisconsin,WI,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Marion,222712,123700,17,Florida,FL,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Cleveland,222598,156750,4,Oklahoma,OK,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Jenkins,222487,78500,136,Georgia,GA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Natrona,222372,,4,Wyoming,WY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Fremont,222218,,6,Wyoming,WY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
White,222042,144950,54,Georgia,GA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Cameron,221860,,13,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Newberry,221813,,31,South Carolina,SC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Stillwater,221748,,26,Montana,MT,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Trigg,221703,94500,26,Kentucky,KY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Brazoria,221654,,14,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Buckingham,221575,,94,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Lubbock,221573,,28,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Winn,221380,,56,Louisiana,LA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Lapeer,221017,,20,Michigan,MI,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Coffee,221007,127700,32,Tennessee,TN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Clay,220720,161500,35,Florida,FL,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
King William,220415,185000,77,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Waldo,220308,,12,Maine,ME,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Crittenden,219915,53000,47,Kentucky,KY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Grand Forks,219814,,3,North Dakota,ND,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Burlington,219747,97000,12,New Jersey,NJ,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Jeff Davis,219697,,186,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Forsyth,219686,148500,25,North Carolina,NC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Cass,219564,48000,5,Nebraska,NE,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Hendricks,219540,,11,Indiana,IN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Kings,219406,205000,46,California,CA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Andrews,219294,,150,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Madison,219176,154950,3,Alabama,AL,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Yates,219111,,52,New York,NY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Fannin,219107,,79,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Kandiyohi,218854,130000,35,Minnesota,MN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Pope,218702,,55,Minnesota,MN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Caroline,218643,178450,52,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Jefferson,218628,,1,Kentucky,KY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Hancock,218256,78000,89,Tennessee,TN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Stone,218122,,15,Missouri,MO,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Cannon,218085,149900,67,Tennessee,TN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Saint Clair,218069,159450,15,Alabama,AL,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Bradley,218056,135450,18,Tennessee,TN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Henry,217810,159000,6,Georgia,GA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Granville,217564,156500,50,North Carolina,NC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Carroll,217527,,12,Arkansas,AR,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Jo Daviess,217437,,27,Illinois,IL,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Live Oak,217387,,125,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
West Baton Rouge,217146,,25,Louisiana,LA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Davie,217129,,65,North Carolina,NC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Sweetwater,217059,,8,Wyoming,WY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
McLennan,217041,,11,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Caroline,216990,146500,24,Maryland,MD,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Big Horn,216892,,18,Wyoming,WY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Cass,216702,,41,Minnesota,MN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Franklin,216669,,2,Ohio,OH,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
McDowell,216651,,51,North Carolina,NC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Van Buren,216367,124350,25,Michigan,MI,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Elmore,216135,,11,Alabama,AL,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Atascosa,216055,,80,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Mecklenburg,215964,158000,53,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Hocking,215728,117000,61,Ohio,OH,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Riley,215709,,7,Kansas,KS,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Saint Martin,215647,,17,Louisiana,LA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Eau Claire,215530,170000,10,Wisconsin,WI,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Trousdale,215478,144000,91,Tennessee,TN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Bay,215413,159450,20,Florida,FL,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Essex,215299,111250,100,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Otter Tail,215206,,23,Minnesota,MN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Lancaster,214953,161000,2,Nebraska,NE,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Hancock,214828,,82,Kentucky,KY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Morgan,214816,159000,58,Colorado,CO,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Appomattox,214737,,92,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Accomack,214712,,30,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Kearny,214666,,80,Kansas,KS,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Lebanon,214588,,23,Pennsylvania,PA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Madison,214567,141450,18,Ohio,OH,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Aiken,214546,,34,South Carolina,SC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Tehama,214372,145000,42,California,CA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Franklin,214166,,15,Maine,ME,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Madison,214126,114150,14,Arkansas,AR,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Burleson,214064,,52,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Pinal,214060,172250,2,Arizona,AZ,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
DeSoto,214046,,2,Mississippi,MS,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Ferry,213799,,35,Washington,WA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Umatilla,213639,151500,20,Oregon,OR,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
York,213600,159900,9,Pennsylvania,PA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Sullivan,213501,147733,10,New Hampshire,NH,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Bossier,213452,,8,Louisiana,LA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Surry,213398,92000,93,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Grundy,213395,186250,24,Illinois,IL,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Converse,213289,,15,Wyoming,WY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Washburn,213156,179000,58,Wisconsin,WI,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Calhoun,213066,,115,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Stark,213029,,8,North Dakota,ND,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Isanti,213028,,43,Minnesota,MN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Canadian,213000,150500,3,Oklahoma,OK,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Custer,212866,173750,38,Colorado,CO,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Beltrami,212854,,17,Minnesota,MN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Latah,212762,,21,Idaho,ID,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Cassia,212752,,29,Idaho,ID,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Mercer,212500,,55,Kentucky,KY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Saint Charles,212439,,18,Louisiana,LA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Brunswick,212411,200000,3,North Carolina,NC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Limestone,212203,170000,25,Alabama,AL,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Wilkes,212181,75000,96,Georgia,GA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Kent,212021,185000,3,Delaware,DE,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Logan,211673,135000,15,Oklahoma,OK,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Whitfield,211575,120880,47,Georgia,GA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Tangipahoa,211492,,13,Louisiana,LA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Ward,211433,21000,2,North Dakota,ND,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Nacogdoches,211314,,82,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Juab,211253,,22,Utah,UT,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Camas,211200,,38,Idaho,ID,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Talbot,211020,25000,104,Georgia,GA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Jack,210997,,135,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Grundy,210882,77000,81,Tennessee,TN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Ottawa,210613,,31,Ohio,OH,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Rogers,210255,160000,6,Oklahoma,OK,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
LaPorte,210165,,12,Indiana,IN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Trempealeau,210129,30000,63,Wisconsin,WI,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Stevens,209914,150000,24,Washington,WA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Hardy,209771,,7,West Virginia,WV,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Calumet,209307,158900,31,Wisconsin,WI,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Stephens,209282,95986,64,Georgia,GA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Guthrie,209197,,43,Iowa,IA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Lehigh,209195,157000,13,Pennsylvania,PA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Fremont,209146,155000,18,Colorado,CO,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Victoria,208863,,69,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Tuscaloosa,208826,100000,8,Alabama,AL,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Nelson,208800,,20,Kentucky,KY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Bullock,208666,393450,27,Alabama,AL,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Dubuque,208660,,7,Iowa,IA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Douglas,208641,151500,13,Georgia,GA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Marshall,208520,126000,53,Tennessee,TN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Lewis,207996,165000,18,Washington,WA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Bethel,207900,,13,Alaska,AK,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Philadelphia,207885,159900,1,Pennsylvania,PA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Fairfield,207865,188000,20,Ohio,OH,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Costilla,207865,,50,Colorado,CO,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Grainger,207841,149300,55,Tennessee,TN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Broadwater,207650,,33,Montana,MT,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Spencer,207615,335000,36,Kentucky,KY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Hampden,207529,185000,9,Massachusetts,MA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Portage,207502,,35,Wisconsin,WI,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Thomas,207282,126500,49,Georgia,GA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Graham,207245,115000,91,North Carolina,NC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Rapides,207222,,15,Louisiana,LA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Rains,207150,,147,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Hill,207026,,25,Montana,MT,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Lyon,206842,196900,5,Nevada,NV,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Lassen,206737,,50,California,CA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Salem,206707,151500,18,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Polk,206268,148750,39,Wisconsin,WI,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
