thing,avgListPrice,medianPrice,popularity,state,statecode,county,maptype,date,avgDate,medianDate,popularityDate
King and Queen,354855,,108,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Williamsburg,354166,220000,13,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Skagit,353730,269000,9,Washington,WA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Parker,353395,,20,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Frederick,352727,280000,7,Maryland,MD,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Mineral,351725,,51,Colorado,CO,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Carroll,351258,290000,12,Maryland,MD,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Henderson,349344,218500,15,North Carolina,NC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Addison,349203,260000,8,Vermont,VT,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Brooks,348650,,223,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Aransas,348431,,42,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Chatham,348235,331250,45,North Carolina,NC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Adams,347773,292250,16,Colorado,CO,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Winchester,347469,227500,,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Platte,347450,,2,Missouri,MO,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Tarrant,346701,,1,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Sacramento,346482,300000,14,California,CA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Colorado,346117,,113,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Haines,346112,,15,Alaska,AK,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Virginia Beach,346075,249950,2,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Essex,345506,341999,3,New Jersey,NJ,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Macon,345502,484900,32,North Carolina,NC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Jefferson,345460,299500,11,Washington,WA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
San Joaquin,345083,300000,22,California,CA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Saratoga,345066,245000,18,New York,NY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Lincoln,344837,,6,South Dakota,SD,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Franklin,344731,,182,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
West Feliciana,344445,,42,Louisiana,LA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Washtenaw,344010,216000,5,Michigan,MI,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Sussex,343461,275250,2,Delaware,DE,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Montgomery,343455,261750,2,Pennsylvania,PA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Franklin,343089,405000,46,Florida,FL,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Weld,342551,287750,4,Colorado,CO,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Windham,342251,185250,3,Vermont,VT,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Columbia,341545,242500,21,Oregon,OR,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Shelby,341529,185000,14,Kentucky,KY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Mariposa,341395,242500,48,California,CA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Greenville,340791,176000,8,South Carolina,SC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Bennington,340754,182500,6,Vermont,VT,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Carroll,340447,186266,6,New Hampshire,NH,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
AIKEN,339995,,,South Carolina,SC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Orleans,339509,,62,Louisiana,LA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Sheridan,339225,,9,Wyoming,WY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Dakota,339116,245900,3,Minnesota,MN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Ocean,338870,246000,8,New Jersey,NJ,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Davis,337984,,7,Utah,UT,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Middlesex,337416,224950,6,Connecticut,CT,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Pickens,336467,168450,37,Georgia,GA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
MITCHELL,335400,,,North Carolina,NC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Anchorage,335170,,1,Alaska,AK,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Williamson,334612,,3,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Coconino,333790,280000,6,Arizona,AZ,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Middlesex,333331,225000,90,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Spotsylvania,332726,255000,47,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Pierce,332250,274168,3,Washington,WA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Avery,331863,,73,North Carolina,NC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Park,331215,288500,17,Colorado,CO,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Culpeper,330573,243900,39,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Dolores,329862,117500,52,Colorado,CO,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Hinsdale,329708,,41,Colorado,CO,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Benzie,329637,,56,Michigan,MI,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Grimes,329425,,85,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Madison,328981,,19,Idaho,ID,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Calvert,328930,275000,19,Maryland,MD,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Real,328842,,165,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Ottawa,328521,184000,6,Michigan,MI,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
