Year,Make,Type,Model,ColorName,Color,ColorCode,Locale
2004,Acura,DETAIL,MDX,Aspen White Tricoat,NH-677P,#FCF9E6,En-US
2004,Acura,DETAIL,MDX,Bronze Metallic,YR-543M,#B38E73,En-US
2004,Acura,DETAIL,MDX,Midnight Blue Pearl,B-518P,#13313F,En-US
2004,Acura,DETAIL,MDX,Nighthawk Black Pearl,B-92P,#000000,En-US
2004,Acura,DETAIL,MDX,Redrock Pearl Metallic,R-519P,#C43232,En-US
2004,Acura,DETAIL,MDX,Sage Brush Pearl,NH-662P,#2C3E2C,En-US
2004,Acura,DETAIL,MDX,Sandstone Metallic,YR-542M,#D8C8A0,En-US
2004,Acura,DETAIL,MDX,Starlight Silver Metallic,NH-638M,#E2DFDE,En-US
2004,Acura,DETAIL,MDX,Taffeta White,NH-578,#FEFDEC,En-US
2004,Acura,DETAIL,MDX,White Diamond Pearl Tri-coat,NH-603P,#FBF8E7,En-US
2004,Acura,DETAIL,NSX,Berlina Black,NH-547,#000000,En-US
2004,Acura,DETAIL,NSX,Grand Prix White,NH-565,#F1F3DB,En-US
2004,Acura,DETAIL,NSX,Imola Orange Pearl Metallic Tricoat,YR-536P,#FBA817,En-US
2004,Acura,DETAIL,NSX,Long Beach Blue Pearl Tricoat,B-510P,#215EF7,En-US
2004,Acura,DETAIL,NSX,New Formula Red,R-510,#E50101,En-US
2004,Acura,DETAIL,NSX,Rio Yellow Pearl Tricoat,Y-65P,#F2CF2A,En-US
2004,Acura,DETAIL,NSX,Silver Stone Metallic,NH-630M,#C0C0C0,En-US
2004,Acura,DETAIL,RL,Carbon Gray Pearl Metallic,NH-658P,#27354D,En-US
2004,Acura,DETAIL,RL,Champagne Mist Pearl,YR-537P,#DBD6B5,En-US
2004,Acura,DETAIL,RL,Indigo Blue Pearl,B-502P,#190D75,En-US
2004,Acura,DETAIL,RL,Nighthawk Black Pearl,B-92P,#000000,En-US
2004,Acura,DETAIL,RL,Premium White Pearl Tricoat,NH-624P,#F0F0E2,En-US
2004,Acura,DETAIL,RL,Satin Silver Metallic,NH-623M,#C0C0C0,En-US
