Year,Make,Type,Model,ColorName,Color,ColorCode,Locale
2000,Aston Martin,GROUP,All Models,Stornoway Silver,1143,#E4E2DC,En-US
2000,Aston Martin,GROUP,All Models,Racing Green Metallic,AST5019D,#004000,En-US
2000,BMW,GROUP,3 Series,Avus Blue Pearl,276,#1D3979,En-US
2000,BMW,GROUP,3 Series,Alpine White III,300,#EEF4DF,En-US
2000,BMW,GROUP,3 Series,Cosmos Black Pearl Metallic,303,#1D0F2F,En-US
2000,BMW,GROUP,3 Series,Bright Red,314,#C62216,En-US
2000,BMW,GROUP,3 Series,Orient Blue Metallic,317,#19184E,En-US
2000,BMW,GROUP,3 Series,Titan Silver Metallic,354,#9DA4A6,En-US
2000,BMW,GROUP,3 Series,Sierra Red Metallic,357,#AE1C1C,En-US
2000,BMW,GROUP,3 Series,Siena Red II Metallic,362,#AC1010,En-US
2000,BMW,GROUP,3 Series,Topaz Blue Metallic,364,#094991,En-US
2000,BMW,GROUP,3 Series,Brick Red,365,#AB0303,En-US
2000,BMW,GROUP,3 Series,Steel Blue Metallic,372,#8E96AA,En-US
2000,BMW,GROUP,3 Series,Light Yellow Metallic,376,#C2B68E,En-US
2000,BMW,GROUP,3 Series,Fern Green Metallic,386,#315D21,En-US
2000,BMW,GROUP,3 Series,Sea Green Metallic,393,#5CA65A,En-US
2000,BMW,GROUP,3 Series,Steel Gray Metallic,400,#636971,En-US
2000,BMW,GROUP,3 Series,Jet Black,668,#000000,En-US
2000,BMW,GROUP,5 Series,Alpine White III,300,#EEF4DF,En-US
2000,BMW,GROUP,5 Series,Cosmos Black Pearl Metallic,303,#1D0F2F,En-US
2000,BMW,GROUP,5 Series,Orient Blue Metallic,317,#19184E,En-US
2000,BMW,GROUP,5 Series,Oxford Green Pearl Metallic,324,#1C440E,En-US
2000,BMW,GROUP,5 Series,Glacier Green Metallic,334,#94A292,En-US
2000,BMW,GROUP,5 Series,Aspen Silver Metallic,339,#AAA2A8,En-US
2000,BMW,GROUP,5 Series,Titan Silver Metallic,354,#9DA4A6,En-US
2000,BMW,GROUP,5 Series,Vermont Green Metallic,356,#0A7428,En-US
2000,BMW,GROUP,5 Series,Siena Red II Metallic,362,#AC1010,En-US
2000,BMW,GROUP,5 Series,Biarritz Blue Metallic,363,#244772,En-US
2000,BMW,GROUP,5 Series,Royal Red Metallic,390,#800000,En-US
2000,BMW,GROUP,5 Series,Anthracite Metallic,397,#59677B,En-US
2000,BMW,GROUP,5 Series,Oxford Green Metallic,430,#044E2C,En-US
2000,BMW,GROUP,5 Series,Sahara Beige Metallic,443,#BCB78C,En-US
2000,BMW,GROUP,5 Series,Jet Black,668,#000000,En-US
2000,BMW,GROUP,7 Series,Alpine White III,300,#EEF4DF,En-US
2000,BMW,GROUP,7 Series,Cosmos Black Pearl Metallic,303,#1D0F2F,En-US
2000,BMW,GROUP,7 Series,Orient Blue Metallic,317,#19184E,En-US
2000,BMW,GROUP,7 Series,Oxford Green Pearl Metallic,324,#1C440E,En-US
2000,BMW,GROUP,7 Series,Glacier Green Metallic,334,#94A292,En-US
2000,BMW,GROUP,7 Series,Aspen Silver Metallic,339,#AAA2A8,En-US
2000,BMW,GROUP,7 Series,Titan Silver Metallic,354,#9DA4A6,En-US
2000,BMW,GROUP,7 Series,Vermont Green Metallic,356,#0A7428,En-US
2000,BMW,GROUP,7 Series,Biarritz Blue Metallic,363,#244772,En-US
2000,BMW,GROUP,7 Series,Royal Red Metallic,390,#800000,En-US
2000,BMW,GROUP,7 Series,Anthracite Metallic,397,#59677B,En-US
2000,BMW,GROUP,7 Series,Orinocco Metallic,406,#0A4C1A,En-US
2000,BMW,GROUP,7 Series,Pearl Beige Metallic,411,#CFD486,En-US
2000,BMW,GROUP,7 Series,Impala Brown Metallic,418,#A97547,En-US
2000,BMW,GROUP,7 Series,Oxford Green Metallic,430,#044E2C,En-US
2000,BMW,GROUP,7 Series,Sahara Beige Metallic,443,#BCB78C,En-US
2000,BMW,GROUP,7 Series,Midnight Blue Metallic,453,#020C5A,En-US
2000,BMW,GROUP,7 Series,Jet Black,668,#000000,En-US
2000,Cadillac,GROUP,Escalade,Pewter Metallic,11/WA382E,#A4A888,En-US
2000,Cadillac,GROUP,Escalade,Storm Gray Metallic,14/WA391E,#6F6C5F,En-US
2000,Cadillac,GROUP,Escalade,Silvermist Metallic,17/WA331D,#CECAAA,En-US
2000,Cadillac,GROUP,Escalade,Dark Green Gray Metallic,18/WA9795,#5D9D81,En-US
2000,Cadillac,GROUP,Escalade,Indigo Metallic,39/WA9792,#0B536D,En-US
2000,Cadillac,GROUP,Escalade,Black,41/WA8555,#020202,En-US
2000,Cadillac,GROUP,Escalade,White,50/WA8624,#EFEFE9,En-US
2000,Cadillac,GROUP,Escalade,Dark Toreador Metallic,51/WA334D,#6F2413,En-US
2000,Cadillac,GROUP,Escalade,Gold Metallic,60/WA398E,#B09650,En-US
2000,Cadillac,GROUP,Escalade,Meadow Green Metallic,68/WA507F,#387E38,En-US
2000,Cadillac,GROUP,Escalade,Meadow Green Metallic,68/WA566F,#0A9A28,En-US
2000,Cadillac,GROUP,Escalade,Copper Metallic,69/WA381E,#751A11,En-US
2000,Cadillac,GROUP,Escalade,Redfire Metallic,72/WA526F,#800000,En-US
2000,Cadillac,GROUP,Escalade,Red,74/WA9260,#A51814,En-US
2000,Cadillac,GROUP,Escalade,Bordeaux Red Pearl,WA5222,#761C1A,En-US
2000,Cadillac,GROUP,Escalade,Sparkle Silver Metallic (Wheel Color),WA9967,#D5D4CD,En-US
2000,Chevrolet,GROUP,Express,Storm Gray Metallic,14/WA391E,#6F6C5F,En-US
2000,Chevrolet,GROUP,Express,Fernmist Green Metallic,31/WA520F,#06981B,En-US
2000,Chevrolet,GROUP,Express,Indigo Metallic,39/WA9792,#0B536D,En-US
2000,Chevrolet,GROUP,Express,Black,41/WA8555,#020202,En-US
2000,Chevrolet,GROUP,Express,White,50/WA8624,#EFEFE9,En-US
2000,Chevrolet,GROUP,Express,Dark Toreador Red Metallic,51/WA257C,#6A0417,En-US
