Year,Make,Type,Model,ColorName,Color,ColorCode,Locale
1986,Alfa Romeo,GROUP,All Models,Arctic White,8,#FFFFFF,En-US
1986,Alfa Romeo,GROUP,All Models,Shell White,15,#EEEBD6,En-US
1986,Alfa Romeo,GROUP,All Models,Silver Pearl Metallic,22,#E3E7EB,En-US
1986,Alfa Romeo,GROUP,All Models,Freen,246,#357C2C,En-US
1986,Alfa Romeo,GROUP,All Models,Midnight Blue,369,#030553,En-US
1986,Alfa Romeo,GROUP,All Models,Stellar Blue Metallic,370,#5C7E94,En-US
1986,Alfa Romeo,GROUP,All Models,Alfa Red,530,#B61E1E,En-US
1986,Alfa Romeo,GROUP,All Models,Silver Metallic,767,#EBE7E7,En-US
1986,Alfa Romeo,GROUP,All Models,Champagne Metallic,843,#DBC597,En-US
1986,Alfa Romeo,GROUP,All Models,Champagne Metallic,855,#DBC597,En-US
1986,Alfa Romeo,GROUP,All Models,Jet Black,913/914,#070707,En-US
1986,Alfa Romeo,GROUP,All Models,China White,AR008,#FFFFF5,En-US
1986,Alfa Romeo,GROUP,All Models,Chalk White,AR015,#FFFFF5,En-US
1986,Alfa Romeo,GROUP,All Models,Straw,AR103,#E9E9C9,En-US
1986,Audi,GROUP,All Models,Alpine White,L90E/P1/T1,#FBFDE4,En-US
1986,Audi,GROUP,All Models,Calahari Beige Metallic,LA1Y/Y4,#B5AA97,En-US
1986,Audi,GROUP,All Models,Titian Red Metallic,LB3V/W4,#A82629,En-US
1986,Audi,GROUP,All Models,Graphite Black Metallic,LB7V/W9,#000000,En-US
1986,Audi,GROUP,All Models,Mahogany Metallic,LB8Z/Z6,#A2714A,En-US
1986,Audi,GROUP,All Models,Light Ivory,LO7Q,#FCF5C8,En-US
1986,Audi,GROUP,All Models,Pearl White Metallic Tri-Coat,LOA9,#E6E7CF,En-US
1986,Audi,GROUP,All Models,Tornado Red,LY3D,#E40C0C,En-US
1986,Audi,GROUP,All Models,Copenhagen Blue,LY5B,#141548,En-US
1986,Audi,GROUP,All Models,Sapphire Metallic,LY5V,#B4BBC4,En-US
1986,Audi,GROUP,All Models,Oceanic Blue Metallic,LY6V,#5EAABA,En-US
1986,Audi,GROUP,All Models,Stone Gray Metallic,LY7U/U8,#9C9B98,En-US
1986,Audi,GROUP,All Models,Zermatt Silver Metallic,LY7Y,#D1D5DB,En-US
1986,Buick,GROUP,All Other Models,White (Cotillion),11/WA3967,#FDF6DF,En-US
1986,Buick,GROUP,All Other Models,Silver Metallic,12/WA8535,#C7CCD1,En-US
