Year,Make,Type,Model,ColorName,Color,ColorCode,Locale
1998,Audi,GROUP,All Models,White Pearl Tri-Coat,LOB9/D4,#F3F3CD,En-US
1998,Audi,GROUP,All Models,Jasper Green Metallic,LX6V/4N,#54A296,En-US
1998,Audi,GROUP,All Models,Brilliant Yellow,LY1B/F2,#FDFB3B,En-US
1998,Audi,GROUP,All Models,Melange Beige Metallic,LY1T/3X,#BAA176,En-US
1998,Audi,GROUP,All Models,Tornado Red,LY3D/G2,#C21212,En-US
1998,Audi,GROUP,All Models,Laser Red,LY3H/H1,#D42F1F,En-US
1998,Audi,GROUP,All Models,Byanz Metallic,LY4N/Z3,#510E74,En-US
1998,Audi,GROUP,All Models,Pelican Blue Metallic,LY5T/Y4,#286A94,En-US
1998,Audi,GROUP,All Models,Tropic Green Metallic,LY6L/Y9,#20965D,En-US
1998,Audi,GROUP,All Models,Aqua Green Metallic,LY6M/Z7,#21B780,En-US
1998,Audi,GROUP,All Models,Aquarius Green Metallic,LY6X,#4D827C,En-US
1998,Audi,GROUP,All Models,Aluminum Silver Metallic,LY7M/L5,#AFB7AD,En-US
1998,Audi,GROUP,All Models,Brilliant Black,LY9B/A2,#121D17,En-US
1998,Audi,GROUP,All Models,Casablanca White,LY9G/W3,#F2F1DC,En-US
1998,Audi,GROUP,All Models,Cashmere Pearl,LZ1T/Z9,#806254,En-US
1998,Audi,GROUP,All Models,Hibiscus Red Pearl Metallic,LZ3L/7H,#711533,En-US
1998,Audi,GROUP,All Models,Amethyst Grey Pearl,LZ4V/B2,#6E7278,En-US
1998,Audi,GROUP,All Models,Santorin Blue Pearl,LZ5K/5J,#183560,En-US
1998,Audi,GROUP,All Models,Ming Blue Pearl,LZ5L/Q5,#0A2B30,En-US
1998,Audi,GROUP,All Models,Pearl Effect Blue Pearl,LZ5T/Y3,#12628C,En-US
1998,Audi,GROUP,All Models,Racing Green Pearl,LZ6H/8N,#095319,En-US
1998,Audi,GROUP,All Models,Cactus Green Pearl,LZ6L/E7,#0A6E22,En-US
1998,Audi,GROUP,All Models,Andora Red Pearl,LZ8N/2H,#790D0D,En-US
1998,Audi,GROUP,All Models,Sable Brown Pearl Metallic,LZ8P/K3,#6F532F,En-US
1998,Audi,GROUP,All Models,Volcano Black Pearl,LZ9U/W9,#181B1B,En-US
1998,BMW,GROUP,3 Series,Boston Green Metallic,275,#0D4F20,En-US
1998,BMW,GROUP,3 Series,Avus Blue Pearl,276,#1D3979,En-US
1998,BMW,GROUP,3 Series,Morea Green Metallic,288,#50927A,En-US
1998,BMW,GROUP,3 Series,Montreal Blue Pearl,297,#0A1C56,En-US
1998,BMW,GROUP,3 Series,Alpine White III,300,#EEF4DF,En-US
1998,BMW,GROUP,3 Series,Madeira Violet Pearl,302,#2C0957,En-US
1998,BMW,GROUP,3 Series,Cosmos Black Pearl Metallic,303,#1D0F2F,En-US
1998,BMW,GROUP,3 Series,Arctic Silver Metallic,309,#9D9D93,En-US
1998,BMW,GROUP,3 Series,Bright Red,314,#C62216,En-US
1998,BMW,GROUP,3 Series,Aegan Metallic,336,#1A6676,En-US
1998,BMW,GROUP,3 Series,Canyon Red Metallic,343,#65201D,En-US
1998,BMW,GROUP,3 Series,Ascot Green Metallic,353,#087A58,En-US
1998,BMW,GROUP,3 Series,Titan Silver Metallic,354,#9DA4A6,En-US
1998,BMW,GROUP,3 Series,Sierra Red Metallic,357,#AE1C1C,En-US
1998,BMW,GROUP,3 Series,Topaz Blue Metallic,364,#094991,En-US
1998,BMW,GROUP,3 Series,Sea Green Metallic,393,#5CA65A,En-US
1998,BMW,GROUP,3 Series,Kiruna Violet Metallic,398,#563A56,En-US
1998,BMW,GROUP,3 Series,Jet Black,668,#000000,En-US
1998,BMW,GROUP,5 Series,Calypso Red Pearl,252,#880E0E,En-US
1998,BMW,GROUP,5 Series,Montreal Blue Pearl,297,#0A1C56,En-US
1998,BMW,GROUP,5 Series,Alpine White III,300,#EEF4DF,En-US
1998,BMW,GROUP,5 Series,Cashmere Beige Metallic,301,#BAAD84,En-US
1998,BMW,GROUP,5 Series,Cosmos Black Pearl Metallic,303,#1D0F2F,En-US
1998,BMW,GROUP,5 Series,Arctic Silver Metallic,309,#9D9D93,En-US
1998,BMW,GROUP,5 Series,Fjord Grey Pearl,310,#514F55,En-US
1998,BMW,GROUP,5 Series,Oxford Green Pearl Metallic,324,#1C440E,En-US
1998,BMW,GROUP,5 Series,Glacier Green Metallic,334,#94A292,En-US
1998,BMW,GROUP,5 Series,Aspen Silver Metallic,339,#AAA2A8,En-US
1998,BMW,GROUP,5 Series,Canyon Red Metallic,343,#65201D,En-US
1998,BMW,GROUP,5 Series,Aubergine,348,#261A1D,En-US
1998,BMW,GROUP,5 Series,Ascot Green Metallic,353,#087A58,En-US
1998,BMW,GROUP,5 Series,Titan Silver Metallic,354,#9DA4A6,En-US
1998,BMW,GROUP,5 Series,Vermont Green Metallic,356,#0A7428,En-US
1998,BMW,GROUP,5 Series,Biarritz Blue Metallic,363,#244772,En-US
1998,BMW,GROUP,5 Series,Jet Black,668,#000000,En-US
1998,BMW,GROUP,7 Series,Calypso Red Pearl,252,#880E0E,En-US
1998,BMW,GROUP,7 Series,Alpine White III,300,#EEF4DF,En-US
1998,BMW,GROUP,7 Series,Cashmere Beige Metallic,301,#BAAD84,En-US
1998,BMW,GROUP,7 Series,Cosmos Black Pearl Metallic,303,#1D0F2F,En-US
1998,BMW,GROUP,7 Series,Arctic Silver Metallic,309,#9D9D93,En-US
1998,BMW,GROUP,7 Series,Fjord Grey Pearl,310,#514F55,En-US
1998,BMW,GROUP,7 Series,Orient Blue Metallic,317,#19184E,En-US
1998,BMW,GROUP,7 Series,Oxford Green Pearl Metallic,324,#1C440E,En-US
1998,BMW,GROUP,7 Series,Mojave Brown Metallic,331,#846B3C,En-US
1998,BMW,GROUP,7 Series,Aspen Silver Metallic,339,#AAA2A8,En-US
1998,BMW,GROUP,7 Series,Canyon Red Metallic,343,#65201D,En-US
1998,BMW,GROUP,7 Series,Navarra Violet Metallic,346,#654D5F,En-US
1998,BMW,GROUP,7 Series,Titan Silver Metallic,354,#9DA4A6,En-US
1998,BMW,GROUP,7 Series,Vermont Green Metallic,356,#0A7428,En-US
1998,BMW,GROUP,7 Series,Biarritz Blue Metallic,363,#244772,En-US
1998,BMW,GROUP,7 Series,Jet Black,668,#000000,En-US
1998,Chevrolet,GROUP,Express,Storm Gray Metallic,14/WA391E,#6F6C5F,En-US
1998,Chevrolet,GROUP,Express,Silvermist Metallic,17/WA301D,#CECAAA,En-US
1998,Chevrolet,GROUP,Express,Cadet Blue Metallic,25/WA372E,#466E76,En-US
1998,Chevrolet,GROUP,Express,Light Stellar Blue Metallic,27/WA146B,#91B0BF,En-US
1998,Chevrolet,GROUP,Express,Laguna Green Metallic,35/WA304D,#1E7A12,En-US
1998,Chevrolet,GROUP,Express,White,50/WA8624,#EFEFE9,En-US
1998,Chevrolet,GROUP,Express,Dark Toreador Red Metallic,51/WA257C,#6A0417,En-US
1998,Chevrolet,GROUP,Express,Light Autumnwood Metallic,55/WA228A,#B5A78D,En-US
1998,Chevrolet,GROUP,Express,Medium Suede Metallic,58/WA106D,#75553D,En-US
1998,Chevrolet,GROUP,Express,Copper Metallic,69/WA381E,#751A11,En-US
1998,Chevrolet,GROUP,Express,Madrid Red Metallic,71/WA341D,#7A1B1D,En-US
1998,Chevrolet,GROUP,S Series,Pewter Metallic,11/WA382E,#A4A888,En-US
1998,Chevrolet,GROUP,S Series,Graphite (Interior),12/WA7701,#5A5A5C,En-US
1998,Chevrolet,GROUP,S Series,Medium Gray (Interior),14/WA9779,#696E66,En-US
1998,Chevrolet,GROUP,S Series,Light Stellar Blue Metallic,27/WA146B,#91B0BF,En-US
1998,Chevrolet,GROUP,S Series,Indigo Metallic,39/WA9792,#0B536D,En-US
1998,Chevrolet,GROUP,S Series,Black,41/ WA8555,#121713,En-US
1998,Chevrolet,GROUP,S Series,Emerald Green Metallic,43/WA177B,#178739,En-US
1998,Chevrolet,GROUP,S Series,White,50/WA8624,#EFEFE9,En-US
1998,Chevrolet,GROUP,S Series,Smokey Carmel Metallic,65/WA333D,#8A5C36,En-US
1998,Chevrolet,GROUP,S Series,Copper Metallic,69/WA381E,#751A11,En-US
1998,Chevrolet,GROUP,S Series,Bright Red,72/WA7475,#971417,En-US
1998,Chevrolet,GROUP,S Series,Dark Cherry Metallic,77/WA9800,#6B2551,En-US
1998,Chevrolet,GROUP,S Series,Medium Dark Gray (Interior),82/WA8247,#7C7E84,En-US
1998,Chevrolet,GROUP,S Series,Dark Gray (Interior),82/WA8595,#717275,En-US
1998,Chevrolet,GROUP,S Series,Fairway Green Metallic,87/WA309D,#235317,En-US
1998,Chevrolet,GROUP,S Series,Gray Metallic,90/WA8798,#999B9F,En-US
1998,Chevrolet,GROUP,S Series,Medium Dark Pewter (Interior Color),92/WA110D,#8B816F,En-US
1998,Chevrolet,GROUP,S Series,Medium Red Metallic,94/WA9088,#710F11,En-US
1998,Chevrolet,GROUP,S Series,Black Sapphire Metallic,98/WA8863,#3A737C,En-US
1998,Chevrolet,GROUP,S Series,Spectre Gray Metallic (bumper),WA9428,#26221E,En-US
1998,Daewoo,GROUP,All Models,Golden Beige Metallic,64L,#D1C9AF,En-US
1998,Daewoo,GROUP,All Models,Spinel Red Pearl,74U,#800000,En-US
1998,Daewoo,GROUP,All Models,Granada Black Pearl,83L,#000000,En-US
1998,Daewoo,GROUP,All Models,Poly Silver Metallic,92U,#C0C6C1,En-US
1998,Daewoo,GROUP,All Models,Olive Silver Metallic,93U,#B6C1B1,En-US
1998,Ferrari,GROUP,All Models,White,100,#FFFFF1,En-US
1998,Ferrari,GROUP,All Models,Argento Metallic,101,#E7E5DD,En-US
1998,Ferrari,GROUP,All Models,Nero,1240,#000000,En-US
1998,Ferrari,GROUP,All Models,Red,320,#A11111,En-US
1998,Ferrari,GROUP,All Models,Red Pearl,321,#945032,En-US
1998,Ferrari,GROUP,All Models,Red,322,#DA1C1C,En-US
1998,Ferrari,GROUP,All Models,Yellow,4305,#F1EA35,En-US
1998,Ferrari,GROUP,All Models,Blue,521,#2C3157,En-US
1998,Ferrari,GROUP,All Models,Blue Tour De France Metallic,522,#25436B,En-US
1998,Ferrari,GROUP,All Models,Blue Metallic,523,#467076,En-US
1998,Ferrari,GROUP,All Models,Blue Metallic,524,#9CAAAC,En-US
1998,Ferrari,GROUP,All Models,Green Metallic,610,#4A6549,En-US
1998,Ferrari,GROUP,All Models,British Racing Green,611,#334C32,En-US
1998,Ferrari,GROUP,All Models,Grigio Titanio Metallic,704,#92999E,En-US
1998,Ferrari,GROUP,All Models,Black Metallic,910,#000000,En-US
1998,Ford,GROUP,Econoline,Light Saddle Metallic,DZ/M6754,#CDAB71,En-US
1998,Ford,GROUP,Econoline,Toreador Red Pearl Metallic,FL/M6758,#901414,En-US
1998,Ford,GROUP,Econoline,Medium Wedgewood Metallic,LD/M6763,#526382,En-US
1998,Ford,GROUP,Econoline,Autumnwood (B9429K),LT,#D1A341,En-US
1998,Ford,GROUP,Econoline,Denim (Interior),M4260J,#646E7A,En-US
1998,Ford,GROUP,Econoline,Light Blue Metallic,M7/M6854,#8697A6,En-US
1998,Ford,GROUP,Econoline,Dark Tourmaline Metallic,NA/M6572,#054335,En-US
1998,Ford,GROUP,Econoline,Medium Seafoam Metallic,NC/M6478,#518772,En-US
1998,Ford,GROUP,Econoline,Black Ebony,UA/M6373,#0D2212,En-US
1998,Ford,GROUP,Econoline,Silver Metallic,YN/M6505,#ACB3A6,En-US
1998,Ford,GROUP,Econoline,Oxford White,YO/M5920,#F2FDEE,En-US
1998,Ford,GROUP,Expedition,Light Prairie Tan Metallic,BA/M6818,#CABF82,En-US
1998,Ford,GROUP,Expedition,Laser Red Pearl Metallic Tri-coat,E9/M6688,#89161C,En-US
1998,Ford,GROUP,Expedition,Vermont Green Metallic,F7/M6817,#759D7E,En-US
1998,Ford,GROUP,Expedition,Dark Toreador Red Pearl,JL/M6771,#7D2219,En-US
1998,Ford,GROUP,Expedition,Light Denim Blue Metallic,K1/M6815,#90A4B8,En-US
1998,Ford,GROUP,Expedition,Medium Wedgewood Metallic,LD/M6763,#526382,En-US
1998,Ford,GROUP,Expedition,Pacific Green Metallic,PS/M6764,#0F7358,En-US
1998,Ford,GROUP,Expedition,Black Ebony,UA/M6373,#0D2212,En-US
1998,Ford,GROUP,Expedition,Silver Metallic,YN/M6505,#ACB3A6,En-US
1998,Ford,GROUP,Expedition,Oxford White,YZ/M6466,#EDF5EC,En-US
1998,Ford,GROUP,Explorer,Light Prairie Tan Metallic,BA/M6818,#CABF82,En-US
1998,Ford,GROUP,Explorer,Bright Amber Metallic,BG/M6811,#9E4418,En-US
1998,Ford,GROUP,Explorer,Vermillion,E4/M6470,#B81F1D,En-US
1998,Ford,GROUP,Explorer,Evergreen Frost Metallic,FE/M6641,#83A874,En-US
1998,Ford,GROUP,Explorer,Toreador Red Pearl Metallic,FL/M6758,#901414,En-US
1998,Ford,GROUP,Explorer,Charcoal Green Metallic,FT/M6861,#184830,En-US
1998,Ford,GROUP,Explorer,Desert Violet Pearl,JC/M6759,#77313D,En-US
1998,Ford,GROUP,Explorer,Light Denim Blue Metallic,K1/M6815,#90A4B8,En-US
1998,Ford,GROUP,Explorer,Medium Wedgewood Metallic,LD/M6763,#526382,En-US
1998,Ford,GROUP,Explorer,Denim (Interior),M4260J,#646E7A,En-US
1998,Ford,GROUP,Explorer,Pacific Green Metallic,PS/M6764,#0F7358,En-US
1998,Ford,GROUP,Explorer,Medium Platinum Metallic,RC/M6454,#6C6C6C,En-US
1998,Ford,GROUP,Explorer,Black Ebony,UA/M6373,#0D2212,En-US
1998,Ford,GROUP,Explorer,Performance White,WB/M6547,#F9FBFD,En-US
1998,Ford,GROUP,Explorer,White Pearl Tri-coat,WF/M6864,#FCFAD2,En-US
1998,Ford,GROUP,Explorer,Oxford White,YZ/M6466,#EDF5EC,En-US
1998,Ford,GROUP,F-Series,Light Prairie Tan Metallic,BA/M6818,#CABF82,En-US
1998,Ford,GROUP,F-Series,Light Prairie Tan Metallic,BM/M6882,#BCB294,En-US
1998,Ford,GROUP,F-Series,Bright Amber Metallic,BN/M6897,#C52409,En-US
1998,Ford,GROUP,F-Series,Chrome Yellow,BZ/N6675,#FFE025,En-US
1998,Ford,GROUP,F-Series,Vermillion,E4/M6470,#B81F1D,En-US
1998,Ford,GROUP,F-Series,Vermillion,F1/M6886,#A31F13,En-US
1998,Ford,GROUP,F-Series,Woodland Green Metallic,FV/M6873,#2B5333,En-US
1998,Ford,GROUP,F-Series,Dark Toreador Red Pearl,JL/M6771,#7D2219,En-US
1998,Ford,GROUP,F-Series,Thistle Pearl,JS/M6896,#440D59,En-US
1998,Ford,GROUP,F-Series,Light Denim Blue Metallic,K1/M6815,#90A4B8,En-US
1998,Ford,GROUP,F-Series,Royal Blue Metallic,KM/M6479,#052A87,En-US
1998,Ford,GROUP,F-Series,Royal Blue Metallic,LE/M6799,#132373,En-US
1998,Ford,GROUP,F-Series,Denim (Interior),M4260J,#646E7A,En-US
1998,Ford,GROUP,F-Series,Dark Tourmaline Metallic,NB/M6797,#0B6869,En-US
1998,Ford,GROUP,F-Series,Pacific Green Metallic,PS/M6764,#0F7358,En-US
1998,Ford,GROUP,F-Series,Teal Metallic,RD/M6630,#2A9C85,En-US
1998,Ford,GROUP,F-Series,Black Ebony,UA/M6373,#0D2212,En-US
1998,Ford,GROUP,F-Series,Ebony,UD/M6877,#0D1910,En-US
1998,Ford,GROUP,F-Series,Silver Metallic,YN/M6505,#ACB3A6,En-US
1998,Ford,GROUP,F-Series,Oxford White,YZ/M6466,#EDF5EC,En-US
1998,Ford,GROUP,F-Series,Oxford White  (B9791),Z1/M6887,#E9F6ED,En-US
1998,Ford,GROUP,F-Series,Silver Metallic,Z3/M6895,#B7B1B1,En-US
1998,Ford,GROUP,Taurus,Light Prairie Tan Metallic,BA/M6818,#CABF82,En-US
1998,Ford,GROUP,Taurus,Toreador Red Pearl Metallic,FL/M6758,#901414,En-US
1998,Ford,GROUP,Taurus,Dark Satin Green Metallic,FU/M6862,#1A4A4C,En-US
1998,Ford,GROUP,Taurus,Light Denim Blue Metallic,K1/M6815,#90A4B8,En-US
1998,Ford,GROUP,Taurus,Deep Navy Blue Metallic,K4/M6820,#2A3658,En-US
1998,Ford,GROUP,Taurus,Pacific Green Metallic,PS/M6764,#0F7358,En-US
1998,Ford,GROUP,Taurus,Silver Frost Metallic,TS/M6720,#B9B9A7,En-US
1998,Ford,GROUP,Taurus,Black Ebony,UA/M6373,#0D2212,En-US
1998,Ford,GROUP,Taurus,Performance White,WT/M6640,#F7F7DB,En-US
1998,GMC,GROUP,Savana,Storm Gray Metallic,14/WA391E,#6F6C5F,En-US
1998,GMC,GROUP,Savana,Silvermist Metallic,17/WA301D,#CECAAA,En-US
1998,GMC,GROUP,Savana,Cadet Blue Metallic,25/WA372E,#466E76,En-US
1998,GMC,GROUP,Savana,Light Stellar Blue Metallic,27/WA146B,#91B0BF,En-US
1998,GMC,GROUP,Savana,Laguna Green Metallic,35/WA304D,#1E7A12,En-US
1998,GMC,GROUP,Savana,White,50/WA8624,#EFEFE9,En-US
1998,GMC,GROUP,Savana,Dark Toreador Red Metallic,51/WA257C,#6A0417,En-US
1998,GMC,GROUP,Savana,Light Autumnwood Metallic,55/WA228A,#B5A78D,En-US
1998,GMC,GROUP,Savana,Medium Suede Metallic,58/WA106D,#75553D,En-US
1998,GMC,GROUP,Savana,Copper Metallic,69/WA381E,#751A11,En-US
1998,GMC,GROUP,Savana,Madrid Red Metallic,71/WA341D,#7A1B1D,En-US
1998,GMC,GROUP,Yukon,Pewter Metallic,11/WA382E,#A4A888,En-US
1998,GMC,GROUP,Yukon,Graphite (Interior Color),12/WA7701,#5A5A5C,En-US
1998,GMC,GROUP,Yukon,Medium Gray (Interior Color),14/WA9779,#847F7C,En-US
1998,GMC,GROUP,Yukon,Silvermist Metallic,17/WA331D,#CECAAA,En-US
1998,GMC,GROUP,Yukon,Dark Green Gray Metallic,18/WA9795,#5D9D81,En-US
1998,GMC,GROUP,Yukon,Indigo Metallic,39/WA9792,#0B536D,En-US
1998,GMC,GROUP,Yukon,Black,41/ WA8555,#121713,En-US
1998,GMC,GROUP,Yukon,Emerald Green Metallic,43/WA177B,#178739,En-US
1998,GMC,GROUP,Yukon,White,50/WA8624,#EFEFE9,En-US
1998,GMC,GROUP,Yukon,Dark Toreador Metallic,51/WA334D,#6F2413,En-US
1998,GMC,GROUP,Yukon,Light Autumnwood Metallic,55/WA228A,#B5A78D,En-US
1998,GMC,GROUP,Yukon,Smokey Carmel Metallic,65/WA333D,#8A5C36,En-US
1998,GMC,GROUP,Yukon,Copper Metallic,69/WA381E,#751A11,En-US
1998,GMC,GROUP,Yukon,Red,74/WA9260,#A51814,En-US
1998,GMC,GROUP,Yukon,Medium Dark Gray (Interior Color),82/WA8247,#7C7E84,En-US
