Name,City,State,Zipcode,Latitude,Longitude,Admission Rate,SAT Average,ACT Median,Undergrad Population,In-state Tuition,Out-of-state Tuition,Tuition Difference,Diff Percent
Northeastern University,Boston,MA,02115-5005,42.34,-71.0888,0.3231,1394,32,19588,41686,41686,0,100
New York University,New York,NY,10012-1091,40.7295,-73.9973,0.2605,1352,30,18628,44848,44848,0,100
Boston University,Boston,MA,2215,42.3496,-71.0998,0.4561,1279,28,17819,44880,44880,0,100
University of Southern California,Los Angeles,CA,90089,34.0211,-118.2839,0.1984,1380,31,15705,46298,46298,0,100
St John's University-New York,Queens,NY,11439,40.722,-73.7953,0.5316,1093,24,14229,37260,37260,0,100
DePaul University,Chicago,IL,60604,41.9233,-87.6541,0.5987,1163,26,12436,33990,33990,0,100
Syracuse University,Syracuse,NY,13244,43.0376,-76.1351,0.4949,1158,26,12386,40458,40458,0,100
Baylor University,Waco,TX,76798,31.546,-97.1194,0.5747,1215,27,11806,35972,35972,0,100
Rochester Institute of Technology,Rochester,NY,14623-5603,43.0903,-77.6752,0.6016,1232,28,11786,34424,34424,0,100
University of Pennsylvania,Philadelphia,PA,19104-6303,39.951,-75.1936,0.1224,1442,32,11686,45890,45890,0,100
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,32114-3900,29.1892,-81.0495,0.7405,1105,24,11289,31334,31334,0,100
Drexel University,Philadelphia,PA,19104,39.9549,-75.1887,0.815,1197,27,10582,37505,37505,0,100
Harvard University,Cambridge,MA,2138,42.3744,-71.1182,0.0584,1501,34,9884,42292,42292,0,100
Saint Louis University,Saint Louis,MO,63103-2097,38.6365,-90.2334,0.6443,1237,28,9821,36726,36726,0,100
Boston College,Chestnut Hill,MA,2467,42.3377,-71.1715,0.3222,1375,32,9764,45622,45622,0,100
Hofstra University,Hempstead,NY,11549,40.716,-73.6008,0.5871,1165,26,9346,37400,37400,0,100
Northwestern University,Evanston,IL,60208,42.0584,-87.6737,0.1532,1458,33,9013,45527,45527,0,100
University of Miami,Coral Gables,FL,33146,25.7204,-80.2765,0.4044,1332,30,8955,42852,42852,0,100
Brigham Young University-Idaho,Rexburg,ID,83460-1690,43.8154,-111.7847,0.9963,1036,23,8949,3850,3850,0,100
George Washington University,Washington,DC,20052,38.8987,-77.0479,0.3308,1297,29,8837,47343,47343,0,100
Cornell University,Ithaca,NY,14853,42.4453,-76.4827,0.1556,1422,32,8381,45358,45358,0,100
University of Notre Dame,Notre Dame,IN,46556,41.6167,-86.2898,0.223,1450,33,8038,44605,44605,0,100
Stanford University,Stanford,CA,94305,37.4317,-122.1822,0.0569,1466,33,7886,43683,43683,0,100
Marquette University,Milwaukee,WI,53233,43.0388,-87.9281,0.5745,1217,27,7496,34640,34640,0,100
Tulane University of Louisiana,New Orleans,LA,70118-5698,29.9397,-90.1204,0.2643,1341,31,7353,46930,46930,0,100
Loyola University Chicago,Chicago,IL,60660,41.9992,-87.6574,0.914,1195,27,7141,35573,35573,0,100
University of Dayton,Dayton,OH,45469,39.7369,-84.1737,0.5297,1181,27,7138,35800,35800,0,100
Villanova University,Villanova,PA,19085-1699,40.0394,-75.3455,0.489,1316,30,7083,44430,44430,0,100
Fordham University,Bronx,NY,10458,40.8612,-73.8896,0.4713,1258,28,6989,43902,43902,0,100
Washington University in St Louis,Saint Louis,MO,63130-4899,38.6481,-90.3116,0.1555,1474,33,6695,44841,44841,0,100
Texas Christian University,Fort Worth,TX,76129,32.7096,-97.3615,0.4739,1206,27,6675,36590,36590,0,100
Columbia University in the City of New York,New York,NY,10027,40.8083,-73.9619,0.0742,1471,33,6623,49138,49138,0,100
Howard University,Washington,DC,20059-0001,38.9207,-77.0195,0.493,1081,24,6569,22683,22683,0,100
Fairleigh Dickinson University-Metropolitan Campus,Teaneck,NJ,7666,40.8962,-74.03,0.7341,985,,6560,34882,34882,0,100
Georgetown University,Washington,DC,20057-0001,38.9088,-77.0735,0.1697,1398,31,6418,44805,44805,0,100
Duke University,Durham,NC,27708,36.0016,-78.9423,0.1342,1444,32,6325,45376,45376,0,100
Emory University,Atlanta,GA,30322,33.7988,-84.3258,0.2633,1363,31,6316,44008,44008,0,100
Hawaii Pacific University,Honolulu,HI,96813,21.3101,-157.8593,0.6411,1005,22,6313,20180,20180,0,100
LIU Post,Brookville,NY,11548-1300,40.82,-73.5933,0.8067,974,21,6032,34070,34070,0,100
Brown University,Providence,RI,2912,41.8276,-71.4045,0.0918,1425,32,6029,45612,45612,0,100
Vanderbilt University,Nashville,TN,37240,36.1444,-86.8049,0.1274,1475,33,5935,42978,42978,0,100
Barry University,Miami,FL,33161-6695,25.8789,-80.1961,0.4678,930,19,5777,28160,28160,0,100
Pace University-New York,New York,NY,10038-1598,40.711,-74.0047,0.7683,1043,23,5755,38069,38069,0,100
American University,Washington,DC,20016-8001,38.9378,-77.0901,0.4312,1258,28,5701,40649,40649,0,100
Southern Methodist University,Dallas,TX,75275-0221,32.8453,-96.7849,0.507,1302,29,5662,43800,43800,0,100
LIU Brooklyn,Brooklyn,NY,11201-5372,40.6901,-73.9809,0.869,921,20,5554,34120,34120,0,100
Duquesne University,Pittsburgh,PA,15282,40.4375,-79.993,0.7409,1122,25,5499,31385,31385,0,100
University of St Thomas,Saint Paul,MN,55105-1078,44.9417,-93.1894,0.8617,1165,26,5469,35308,35308,0,100
Regis University,Denver,CO,80221-1099,39.7898,-105.0314,0.6986,1087,24,5446,32424,32424,0,100
Seton Hall University,South Orange,NJ,07079-2697,40.7429,-74.2488,0.7916,1121,25,5403,35820,35820,0,100
Liberty University,Lynchburg,VA,24515,37.3503,-79.1797,0.2165,1030,23,5403,20768,20768,0,100
University of Hartford,West Hartford,CT,06117-1599,41.7965,-72.715,0.6173,1053,23,5367,33358,33358,0,100
