lat,lng,name,city,st,url,hotelid,filename,filename
29.739113,-95.47085,Aloft Houston by the Galleria,Houston,TX,//www.allstays.com/hotels/45834.htm,45834,aloft.csv,Aloft
32.865413,-96.943908,Aloft Las Colinas,Irving,TX,//www.allstays.com/hotels/46186.htm,46186,aloft.csv,Aloft
33.070218,-96.825451,Aloft Plano,Plano,TX,//www.allstays.com/hotels/46856.htm,46856,aloft.csv,Aloft
29.518837,-98.505962,Aloft San Antonio Airport,San Antonio,TX,//www.allstays.com/hotels/47054.htm,47054,aloft.csv,Aloft
38.997274,-77.482422,Aloft Dulles Airport North,Ashburn,VA,//www.allstays.com/hotels/48308.htm,48308,aloft.csv,Aloft
36.778905,-76.241825,Aloft Chesapeake,Chesapeake,VA,//www.allstays.com/hotels/48412.htm,48412,aloft.csv,Aloft
37.647182,-77.602015,Aloft Richmond West,Glen Allen,VA,//www.allstays.com/hotels/48667.htm,48667,aloft.csv,Aloft
39.16003,-78.152565,Aloft Winchester,Winchester,VA,//www.allstays.com/hotels/49465.htm,49465,aloft.csv,Aloft
44.478947,-88.05304,Aloft Green Bay,Green Bay,WI,//www.allstays.com/hotels/50899.htm,50899,aloft.csv,Aloft
43.045956,-87.91442,Aloft Milwaukee Downtown,Milwaukee,WI,//www.allstays.com/hotels/51136.htm,51136,aloft.csv,Aloft
33.586881,-86.699252,Americas Best Inn Birmingham Parkway East,Birmingham,AL,//www.allstays.com/hotels/10563.htm,10563,americas-best-inn.csv,Americas Best Inn
33.464125,-86.830647,Americas Best Inn Birmingham/Homewood,Birmingham,AL,//www.allstays.com/hotels/52113.htm,52113,americas-best-inn.csv,Americas Best Inn
33.476303,-86.923047,Americas Best Inn of Fairfield Birmingham,Fairfield,AL,//www.allstays.com/hotels/52100.htm,52100,americas-best-inn.csv,Americas Best Inn
32.326234,-86.332498,Americas Best Inn Montgomery,Montgomery,AL,//www.allstays.com/hotels/11012.htm,11012,americas-best-inn.csv,Americas Best Inn
33.818028,-117.913225,Americas Best Inn Anaheim,Anaheim,CA,//www.allstays.com/hotels/13046.htm,13046,americas-best-inn.csv,Americas Best Inn
37.4833984,-122.231697,Americas Best Inn Redwood City,Redwood City,CA,//www.allstays.com/hotels/15642.htm,15642,americas-best-inn.csv,Americas Best Inn
37.8017997,-122.424499,Americas Best Inn San Francisco,San Francisco,CA,//www.allstays.com/hotels/16062.htm,16062,americas-best-inn.csv,Americas Best Inn
30.219211,-81.573272,Americas Best Inn Jacksonville,Jacksonville,FL,//www.allstays.com/hotels/19473.htm,19473,americas-best-inn.csv,Americas Best Inn
30.176982,-82.6845,Americas Best Inn Lake City,Lake City,FL,//www.allstays.com/hotels/19802.htm,19802,americas-best-inn.csv,Americas Best Inn
28.055356,-81.95287,Americas Best Inn Lakeland,Lakeland,FL,//www.allstays.com/hotels/53094.htm,53094,americas-best-inn.csv,Americas Best Inn
27.774962,-82.63813,Americas Best Inn St Petersburg,Saint Petersburg,FL,//www.allstays.com/hotels/20901.htm,20901,americas-best-inn.csv,Americas Best Inn
33.9455986,-83.430603,Americas Best Inn Athens,Athens,GA,//www.allstays.com/hotels/21468.htm,21468,americas-best-inn.csv,Americas Best Inn
33.463056,-81.963469,Americas Best Inn Augusta Downtown,Augusta,GA,//www.allstays.com/hotels/21658.htm,21658,americas-best-inn.csv,Americas Best Inn
34.555527,-84.935877,Americas Best Inn Calhoun,Calhoun,GA,//www.allstays.com/hotels/21803.htm,21803,americas-best-inn.csv,Americas Best Inn
33.7541999,-84.2349014,Americas Best Inn Decatur,Decatur,GA,//www.allstays.com/hotels/22026.htm,22026,americas-best-inn.csv,Americas Best Inn
33.479563,-82.131933,Americas Best Inn Augusta Fort Gordon,Grovetown,GA,//www.allstays.com/hotels/22162.htm,22162,americas-best-inn.csv,Americas Best Inn
32.280711,-83.472619,Americas Best Inn Hawkinsville,Hawkinsville,GA,//www.allstays.com/hotels/22172.htm,22172,americas-best-inn.csv,Americas Best Inn
32.0027999,-81.2807998,Americas Best Inn Savannah,Savannah,GA,//www.allstays.com/hotels/22612.htm,22612,americas-best-inn.csv,Americas Best Inn
38.611722,-90.04861,Americas Best Inn Caseyville,Caseyville,IL,//www.allstays.com/hotels/24115.htm,24115,americas-best-inn.csv,Americas Best Inn
41.457026,-90.503803,Americas Best Inn Moline,Moline,IL,//www.allstays.com/hotels/52123.htm,52123,americas-best-inn.csv,Americas Best Inn
38.312442,-88.947169,Americas Best Inn Mount Vernon,Mount Vernon,IL,//www.allstays.com/hotels/24683.htm,24683,americas-best-inn.csv,Americas Best Inn
40.116341,-88.212501,Americas Best Inn Urbana,Urbana,IL,//www.allstays.com/hotels/25037.htm,25037,americas-best-inn.csv,Americas Best Inn
42.482938,-83.084398,Americas Best Value Inn Suites Detroit Warren,Warren,MI,//www.allstays.com/hotels/30569.htm,30569,americas-best-inn.csv,Americas Best Inn
45.882316,-95.377661,Americas Best Inn,Alexandria,MN,//www.allstays.com/hotels/30630.htm,30630,americas-best-inn.csv,Americas Best Inn
45.258055,-94.11347,Americas Best Inn and Suites,Annandale,MN,//www.allstays.com/hotels/30642.htm,30642,americas-best-inn.csv,Americas Best Inn
45.331641,-93.693983,Americas Best Inn,Big Lake,MN,//www.allstays.com/hotels/30674.htm,30674,americas-best-inn.csv,Americas Best Inn
44.555983,-94.207787,Americas Best Inn,Gaylord,MN,//www.allstays.com/hotels/30886.htm,30886,americas-best-inn.csv,Americas Best Inn
43.868941,-92.489135,Americas Best Inn & Suites Stewartville,Stewartville,MN,//www.allstays.com/hotels/53093.htm,53093,americas-best-inn.csv,Americas Best Inn
48.907737,-95.318355,Americas Best Inn,Warroad,MN,//www.allstays.com/hotels/31288.htm,31288,americas-best-inn.csv,Americas Best Inn
38.504532,-90.663346,Americas Best Inn,Eureka,MO,//www.allstays.com/hotels/31533.htm,31533,americas-best-inn.csv,Americas Best Inn
31.578773,-90.470783,Americas Best Inn Brookhaven,Brookhaven,MS,//www.allstays.com/hotels/32184.htm,32184,americas-best-inn.csv,Americas Best Inn
32.327334,-90.1193,Americas Best Inn Flowood Airport,Flowood,MS,//www.allstays.com/hotels/32242.htm,32242,americas-best-inn.csv,Americas Best Inn
32.292411,-90.229567,Americas Best Inn Jackson West,Jackson,MS,//www.allstays.com/hotels/32338.htm,32338,americas-best-inn.csv,Americas Best Inn
35.732311,-79.440758,Americas Best Inn & Suites-Siler City,Siler City,NC,//www.allstays.com/hotels/34384.htm,34384,americas-best-inn.csv,Americas Best Inn
34.240428,-77.907894,Americas Best Inn Suites Wilmington,Wilmington,NC,//www.allstays.com/hotels/34514.htm,34514,americas-best-inn.csv,Americas Best Inn
43.075111,-70.778646,Americas Best Inn Portsmouth,Portsmouth,NH,//www.allstays.com/hotels/35320.htm,35320,americas-best-inn.csv,Americas Best Inn
38.524382,-118.615673,Americas Best Inn Hawthorne,Hawthorne,NV,//www.allstays.com/hotels/36660.htm,36660,americas-best-inn.csv,Americas Best Inn
