Movie,None,Starz,Netflix,Prime,Hulu,Kanopy,Hoopla,Filmstruck,HBO,FreeForm,Vudu,Showtime,Epix,Crackle,SYFY,FXNow,MaxGo,Shudder,Fandor,Tubi TV,The Roku Channel,Sundance Now
84. Lawrence of Arabia (1962),,,,,X,,,X,,,,,,,,,,,,,,
85. A Clockwork Orange (1971),,,,,,,,X,,,,,,,,,,,,,,
86. Eternal Sunshine of the Spotless Mind (2004),,,,,,,,,,,,X,,,,,,,,,,
87. Amélie (2001),,,X,,,,,,,,,,,,,,,,,,,
88. Double Indemnity (1944),X,,,,,,,,,,,,,,,,,,,,,
89. 2001: A Space Odyssey (1968),X,,,,,,,,,,,,,,,,,,,,,
90. 3 Idiots (2009),X,,,,,,,,,,,,,,,,,,,,,
91. Taxi Driver (1976),X,,,,,,,,,,,,,,,,,,,,,
92. Toy Story (1995),X,,,,,,,,,,,,,,,,,,,,,
93. Singin' in the Rain (1952),,,,,,,,X,,,,,,,,,,,,,,
94. Full Metal Jacket (1987),,,X,,,,,,,,,,,,,,,,,,,
95. Inglourious Basterds (2009),,,,,,,,,,,,X,,,,,,,,,,
96. To Kill a Mockingbird (1962),,,X,,,,,,,,,,,,,,,,,,,
97. Bicycle Thieves (1948),,,,,,X,,X,,,,,,,,,,,,,,
98. The Kid (1921),,,,X,,X,,X,,,,,,,,,,,,,,
99. The Sting (1973),,X,,,,,,,,,,,,,,,,,,,,
100. Toy Story 3 (2010),X,,,,,,,,,,,,,,,,,,,,,
101. Good Will Hunting (1997),,,,,,,,,X,,,,,,,,,,,,,
102. The Hunt (2012),,,,,X,,,,,,,,,,,,,,,,,
103. Snatch (2000),,X,,,,,,,,,,,,,,,,,,,,
104. Monty Python and the Holy Grail (1975),X,,,,,,,,,,,,,,,,,,,,,
105. Scarface (1983),,,X,,,,,,,,,X,,,,,,,,,,
106. For a Few Dollars More (1965),X,,,,,,,,,,,,,,,,,,,,,
107. L.A. Confidential (1997),,,X,,,,,,,,,,,,,,,,,,,
108. The Apartment (1960),X,,,,,,,,,,,,,,,,,,,,,
109. Metropolis (1927),,,,,,X,X,,,,,,,,,,,,X,X,,
110. A Separation (2011),X,,,,,,,,,,,,,,,,,,,,,
111. Indiana Jones and the Last Crusade (1989),,,,X,,,,,,,,,,,,,,,,,,
112. Rashomon (1950),,,,,,X,,X,,,,,,,,,,,,,,
113. Up (2009),,X,,,,,,,,,,,,,,,,,,,,
114. All About Eve (1950),X,,,,,,,,,,,,,,,,,,,,,
115. Yojimbo (1961),,,,,,X,,X,,,,,,,,,,,,,,
116. Batman Begins (2005),X,,,,,,,,,,,,,,,,,,,,,
117. Some Like It Hot (1959),,,,,,,,X,,,,,,,,,,,,,,
118. Unforgiven (1992),,,X,,,,,,,,,,,,,,,,,,,
119. Downfall (2004),,,,X,,,X,,,,,,,,,,,,,,,
120. The Treasure of the Sierra Madre (1948),,,,,,,,X,,,,,,,,,,,,,,
121. Die Hard (1988),,,,,,,,,X,,,,,,,,,,,,,
122. Heat (1995),,,X,,,,,,,,,,,,,,,,,,,
123. Raging Bull (1980),,,,X,,,,,,,,,,,,,,,,,,
124. Ikiru (1952),,,,,,X,,X,,,,,,,,,,,,,,
125. The Great Escape (1963),,,,X,,,,,,,,,,,,,,,,,,
126. My Father and My Son (2005),,,X,,,,,,,,,,,,,,,,,,,
127. Incendies (2010),X,,,,,,,,,,,,,,,,,,,,,
128. Children of Heaven (1997),,,,,,,,,,,,,,,,,,,,X,,
129. Pan's Labyrinth (2006),X,,,,,,,,,,,,,,,,,,,,,
130. The Third Man (1949),,,X,,,,,,,,,,,,,,,,,,,
131. Chinatown (1974),,,,X,,,X,,,,,,,,,,,,,,,
132. My Neighbor Totoro (1988),X,,,,,,,,,,,,,,,,,,,,,
133. Ran (1985),,,,,,,,X,,,,,,,,,,,,,,
134. Judgment at Nuremberg (1961),X,,,,,,,,,,,,,,,,,,,,,
135. Howl's Moving Castle (2004),X,,,,,,,,,,,,,,,,,,,,,
136. The Secret in Their Eyes (2009),X,,,,,,,,,,,,,,,,,,,,,
137. The Gold Rush (1925),,,,,,X,,X,,,,,,,,,,,,,,
"138. Three Billboards Outside Ebbing, Missouri (2017)",,,,,,,,,X,,,,,,,,,,,,,
139. The Bridge on the River Kwai (1957),,,,,,,,X,,,,,,,,,,,,,,
140. On the Waterfront (1954),X,,,,,,,,,,,,,,,,,,,,,
141. A Beautiful Mind (2001),,,X,,,,,,,,,X,,,,,,,,,,
"142. Lock, Stock and Two Smoking Barrels (1998)",,X,,,,,,,,,,,,,,,,,,,,
143. Casino (1995),X,,,,,,,,,,,,,,,,,,,,,
144. The Seventh Seal (1957),,,,,,X,,X,,,,,,,,,,,,,,
145. Inside Out (2015),X,,,,,,,,,,,,,,,,,,,,,
146. Room (2015),,,X,,,,,,,,,,,,,,,,,,,
147. Mr. Smith Goes to Washington (1939),X,,,,,,,,,,,,,,,,,,,,,
148. The Elephant Man (1980),,,,X,X,,,,,,,,X,,,,,,,,,
149. The Wolf of Wall Street (2013),,,,,,,,,,,,,,,,X,,,,,,
150. V for Vendetta (2005),,,,X,,,,,,,,,,,,,,,,,,
151. Warrior (2011),X,,,,,,,,,,,,,,,,,,,,,
152. Blade Runner (1982),X,,,,,,,,,,,,,,,,,,,,,
153. The General (1926),,,,,,X,,,,,,,,,,,,,X,,,
154. Wild Strawberries (1957),,,,,,X,,X,,,,,,,,,,,,,,
155. Dial M for Murder (1954),,,,,,,X,,,,,,,,,,,,,X,,
156. Trainspotting (1996),X,,,,,,,,,,,,,,,,,,,,,
157. No Country for Old Men (2007),,,X,,,,,,,,,,,,,,,,,,,
158. There Will Be Blood (2007),,,,X,X,,,,,,,,X,,,,,,,,,
159. Gone with the Wind (1939),,,,X,,,,,,,,,,,,,,,,,,
160. The Sixth Sense (1999),,,X,,,,,,,,,,,,,,,,,,,
161. Fargo (1996),,,,,,,,,X,,,,,,,,,,,,,
162. Gran Torino (2008),,,X,,,,,,,,,,,,,,,,,,,
163. The Thing (1982),,X,,,,,,,,,,,,,,,,,,,,
164. The Deer Hunter (1978),,,,,,,,,,,,,,,,,X,,,,,
165. Finding Nemo (2003),X,,,,,,,,,,,,,,,,,,,,,
166. Sherlock Jr. (1924),,,,,,,X,,,,,,,,,,,,,,,
167. Come and See (1985),,,,,,,,X,,,,,,,,,,,,,,
168. The Big Lebowski (1998),X,,,,,,,,,,,,,,,,,,,,,
169. Kill Bill: Vol. 1 (2003),,,X,,,,,,,,,X,,,,,,,,,,
170. Shutter Island (2010),,,,X,X,,X,,,,,,X,,,,,,,,,
171. Cool Hand Luke (1967),,,,,,,,X,,,,,,,,,,,,,,
172. Rebecca (1940),X,,,,,,,,,,,,,,,,,,,,,
