"name" "lastname" "firstname" "articleNum" "birthDate" "birthMonth" "birthDay" "zodiac"
"57" "Albright, Madeleine K" "Albright" "Madeleine K" 12 1937-05-15 5 15 "Taurus"
"58" "Alcott, Louisa May" "Alcott" "Louisa May" 7 1832-11-29 11 29 "Sagittarius"
"59" "Alda, Alan" "Alda" "Alan" 8 1936-01-28 1 28 "Aquarius"
"60" "Aleman, Arnoldo" "Aleman" "Arnoldo" 0 1946-01-23 1 23 "Aquarius"
"61" "Alexander, Jane" "Alexander" "Jane" 4 1939-10-28 10 28 "Scorpio"
"62" "Alexander, Jason" "Alexander" "Jason" 3 1959-09-23 9 23 "Virgo"
"63" "Alexander, Lamar" "Alexander" "Lamar" 12 1940-07-03 7 3 "Cancer"
"64" "Alexie, Sherman" "Alexie" "Sherman" 7 1966-10-07 10 7 "Libra"
"65" "Alfonsin, Raul" "Alfonsin" "Raul" 2 1927-03-12 3 12 "Pisces"
"66" "Alfonzo, Edgardo" "Alfonzo" "Edgardo" 0 1973-11-08 11 8 "Scorpio"
"67" "Ali, Muhammad" "Ali" "Muhammad" 34 1942-01-17 1 17 "Capricorn"
"68" "Alito, Samuel A Jr" "Alito" "Samuel A Jr" 148 1950-04-01 4 1 "Aries"
"69" "Aliyev, Heydar" "Aliyev" "Heydar" 0 1923-05-10 5 10 "Taurus"
"70" "Allawi, Ayad" "Allawi" "Ayad" 94 1945-01-01 1 1 "Capricorn"
"71" "Allen, Joan" "Allen" "Joan" 13 1956-08-20 8 20 "Leo"
"72" "Allen, Paul" "Allen" "Paul" 8 1953-01-21 1 21 "Aquarius"
"73" "Allen, Robert E" "Allen" "Robert E" 0 1935-01-01 1 1 "Capricorn"
"74" "Allen, Tim" "Allen" "Tim" 3 1953-06-13 6 13 "Gemini"
"75" "Allen, Woody" "Allen" "Woody" 53 1935-12-01 12 1 "Sagittarius"
"76" "Allende Gossens, Salvador" "Allende Gossens" "Salvador" 0 1908-06-26 6 26 "Cancer"
"77" "Allende, Isabel" "Allende" "Isabel" 8 1942-08-02 8 2 "Leo"
"78" "Allison, Dorothy" "Allison" "Dorothy" 0 1949-04-11 4 11 "Aries"
"79" "Almodovar, Pedro" "Almodovar" "Pedro" 15 1949-09-25 9 25 "Libra"
"80" "Almonte, Danny" "Almonte" "Danny" 4 1987-04-07 4 7 "Aries"
"81" "Alomar, Roberto" "Alomar" "Roberto" 4 1968-02-05 2 5 "Aquarius"
"82" "Alou, Felipe" "Alou" "Felipe" 5 1935-05-12 5 12 "Taurus"
"83" "Alou, Moises" "Alou" "Moises" 36 1966-07-03 7 3 "Cancer"
"84" "Alsop, Marin" "Alsop" "Marin" 13 1956-10-16 10 16 "Libra"
"85" "Alterman, Eric" "Alterman" "Eric" 4 1960-01-14 1 14 "Capricorn"
"86" "Altman, Robert" "Altman" "Robert" 29 1925-02-20 2 20 "Pisces"
"87" "Altman, Roger C" "Altman" "Roger C" 1 1946-04-02 4 2 "Aries"
"88" "Amanpour, Christiane" "Amanpour" "Christiane" 7 1958-01-12 1 12 "Capricorn"
"89" "Ambrose, Stephen E" "Ambrose" "Stephen E" 0 1936-01-10 1 10 "Capricorn"
"90" "Amelio, Gilbert F" "Amelio" "Gilbert F" 0 1943-03-01 3 1 "Pisces"
"91" "Ames, Aldrich Hazen" "Ames" "Aldrich Hazen" 0 1941-05-26 5 26 "Gemini"
"92" "Amin, Idi" "Amin" "Idi" 5 1925-01-01 1 1 "Capricorn"
"93" "Amir, Yigal" "Amir" "Yigal" 1 1970-05-23 5 23 "Gemini"
"94" "Amis, Martin" "Amis" "Martin" 14 1949-08-25 8 25 "Virgo"
"95" "Anand, Viswanathan" "Anand" "Viswanathan" 29 1969-12-11 12 11 "Sagittarius"
"96" "Ananiashvili, Nina" "Ananiashvili" "Nina" 10 1963-03-28 3 28 "Aries"
"97" "Andersen, Hans Christian" "Andersen" "Hans Christian" 12 1805-04-02 4 2 "Aries"
"98" "Anderson, Kenny" "Anderson" "Kenny" 1 NA NA NA NA
"99" "Anderson, Laurie" "Anderson" "Laurie" 9 1947-06-05 6 5 "Gemini"
"100" "Anderson, Michael P" "Anderson" "Michael P" 0 1959-12-25 12 25 "Capricorn"
"101" "Anderson, Wes" "Anderson" "Wes" 12 1969-05-01 5 1 "Taurus"
"102" "Ando, Tadao" "Ando" "Tadao" 5 1941-09-13 9 13 "Virgo"
"103" "Andreotti, Giulio" "Andreotti" "Giulio" 1 1919-01-14 1 14 "Capricorn"
"104" "Andrews, Edmund L" "Andrews" "Edmund L" 4 NA NA NA NA
"105" "Andrews, Julie" "Andrews" "Julie" 10 1935-10-01 10 1 "Libra"
"106" "Andrews, Robert E" "Andrews" "Robert E" 8 1957-08-04 8 4 "Leo"
"107" "Andsnes, Leif Ove" "Andsnes" "Leif Ove" 17 1970-04-07 4 7 "Aries"
"108" "Angell, Marcia" "Angell" "Marcia" 5 1939-04-20 4 20 "Aries"
"109" "Angelou, Maya" "Angelou" "Maya" 6 1928-04-04 4 4 "Aries"
"110" "Angier, Natalie" "Angier" "Natalie" 2 1958-02-16 2 16 "Aquarius"
"111" "Aniston, Jennifer" "Aniston" "Jennifer" 23 1969-02-11 2 11 "Aquarius"
"112" "Annan, Kofi" "Annan" "Kofi" 152 1938-04-08 4 8 "Aries"
"113" "Annenberg, Walter H" "Annenberg" "Walter H" 1 1908-03-13 3 13 "Pisces"
"114" "Anthony, Carmelo" "Anthony" "Carmelo" 37 1984-05-29 5 29 "Gemini"
"115" "Anthony, Marc" "Anthony" "Marc" 12 1968-09-16 9 16 "Virgo"
"116" "Antley, Chris" "Antley" "Chris" 0 NA NA NA NA
"117" "Antonioni, Michelangelo" "Antonioni" "Michelangelo" 12 1912-09-29 9 29 "Libra"
"118" "Apatow, Judd" "Apatow" "Judd" 26 1967-12-06 12 6 "Sagittarius"
"119" "Applebome, Peter" "Applebome" "Peter" 21 NA NA NA NA
"120" "Appleby, Stuart" "Appleby" "Stuart" 9 1971-05-01 5 1 "Taurus"
"121" "Apted, Michael" "Apted" "Michael" 4 1941-02-10 2 10 "Aquarius"
"122" "Arad, Michael" "Arad" "Michael" 4 1969-01-01 1 1 "Capricorn"
"123" "Arafat, Suha" "Arafat" "Suha" 1 1963-07-17 7 17 "Cancer"
"124" "Arafat, Yasir" "Arafat" "Yasir" 86 1929-08-24 8 24 "Virgo"
"125" "Arar, Maher" "Arar" "Maher" 34 1970-01-01 1 1 "Capricorn"
"126" "Arbour, Louise" "Arbour" "Louise" 7 1947-02-10 2 10 "Aquarius"
"127" "Arbus, Diane" "Arbus" "Diane" 11 1923-03-14 3 14 "Pisces"
