avgListPrice,medianPrice,popularity,statecode,city,state,latitude,longitude
237044,171950,2,OK,Tulsa,Oklahoma,36.1539816,-95.992775
236847,130250,5,AR,Garland,Arkansas,33.3629029,-93.7099012
236815,198000,51,CA,Del Norte,California,41.7076287,-123.9659708
235995,210000,45,CA,Yuba,California,39.2547027,-121.3998995
235898,163400,11,WI,La Crosse,Wisconsin,43.8013556,-91.2395807
235779,201200,17,NY,Albany,New York,42.6525793,-73.7562317
235710,,3,MS,Rankin,Mississippi,32.2653668,-89.9253233
235336,,20,ID,Boundary,Idaho,48.7987617,-116.5627065
235125,,6,MS,Lamar,Mississippi,34.9173149,-89.3178505
234865,109950,21,TN,Monroe,Tennessee,35.471793,-84.2278796
234853,,28,VA,Montgomery,Virginia,37.2070304,-80.4103957
234710,175100,11,PA,Cumberland,Pennsylvania,40.1299841,-77.2405153
234519,,23,KS,Pottawatomie,Kansas,39.3976344,-96.3226072
234252,135000,28,CO,Saguache,Colorado,38.0875,-106.1419671
234205,155000,5,VT,Rutland,Vermont,43.6106237,-72.9726065
234045,,24,AK,Ketchikan Gateway,Alaska,55.5103345,-131.389286
234000,166250,11,VT,Orleans,Vermont,44.8113194,-72.2025287
233731,,27,ID,Clearwater,Idaho,46.6775737,-115.5620377
233464,100000,85,TN,Smith,Tennessee,36.2388468,-85.971322
233400,,19,UT,Sanpete,Utah,39.3090085,-111.5706786
233348,123592,21,OH,Clermont,Ohio,39.0928449,-84.1857115
233253,235000,29,FL,Sumter,Florida,28.6747526,-82.0842901
233252,136000,114,GA,Banks,Georgia,33.9300434,-84.3469218
233220,120000,75,TN,Campbell,Tennessee,36.3817326,-84.1857115
233041,224450,17,NJ,Sussex,New Jersey,41.2098177,-74.6076614
232980,112000,21,NC,Swain,North Carolina,35.4328955,-83.4643551
232952,,23,IN,Kosciusko,Indiana,41.2864679,-85.8486236
232710,58000,33,MN,Houston,Minnesota,43.7632995,-91.5684764
232646,184000,27,CO,Lake,Colorado,40.2522073,-105.8230671
232624,,36,TX,Randall,Texas,34.9020377,-101.7979613
232600,,22,WY,Niobrara,Wyoming,43.0212373,-104.4723301
232285,,60,PA,Snyder,Pennsylvania,40.750748,-77.0564464
232124,132000,14,SC,Pickens,South Carolina,34.8834489,-82.7073573
232050,,91,TX,Milam,Texas,31.4324041,-93.8457416
232034,155500,6,NE,Hall,Nebraska,40.8817333,-98.5721016
231981,,11,OK,McClain,Oklahoma,35.0282316,-97.4814163
231906,,36,MT,Teton,Montana,47.9019946,-112.2717561
231856,,93,NC,Perquimans,North Carolina,36.1329763,-76.4100267
231820,,50,KY,Grant,Kentucky,38.6565245,-84.6479124
231662,,92,TX,Houston,Texas,29.7604267,-95.3698028
231507,170000,4,NH,Grafton,New Hampshire,43.561127,-71.947327
231426,117500,100,GA,Dade,Georgia,34.9109017,-85.4788065
231421,,37,MN,Hubbard,Minnesota,47.1860527,-94.9411423
231320,210000,1,DE,New Castle,Delaware,39.6620397,-75.5668166
231309,,69,NC,Wilkes,North Carolina,36.202858,-81.2518833
230972,,18,SD,Day,South Dakota,45.4167482,-97.7023716
230843,86000,50,FL,Jefferson,Florida,30.4311978,-83.8897057
230739,,133,TX,Goliad,Texas,28.6683252,-97.3883265
230702,,13,SD,Codington,South Dakota,44.9953593,-97.2348746
230624,,20,NC,Moore,North Carolina,35.3674493,-79.4703885
230458,102500,119,GA,Crisp,Georgia,31.8875724,-83.804868
230373,,51,KY,Boyle,Kentucky,37.6526034,-84.8150781
230372,,17,CA,Kern,California,35.4937274,-118.8596804
230255,,7,SD,Custer,South Dakota,43.7666507,-103.5988057
230246,171250,21,WI,Columbia,Wisconsin,43.4046632,-89.3226954
230159,,10,WV,Putnam,West Virginia,38.4991939,-81.909826
230124,,6,MO,Christian,Missouri,36.997644,-93.1779659
229500,,,TX,ROCKWALL,Texas,32.9312336,-96.4597089
229080,149900,3,OH,Hamilton,Ohio,39.3995008,-84.5613355
229055,109000,47,TN,Sequatchie,Tennessee,35.3469428,-85.3962769
229054,185000,5,WA,Spokane,Washington,47.6587802,-117.4260466
229010,149900,18,GA,Paulding,Georgia,33.9142037,-84.8984775
228976,104500,44,TN,Johnson,Tennessee,36.4585672,-81.8224362
