avgListPrice,county,state,statecode,medianPrice,popularity,latitude,longitude
119121,Cottonwood,Minnesota,MN,,63,44.6088607,-95.6737122
119016,Henry,Iowa,IA,,53,41.0283603,-91.5983959
118965,Montgomery,Ohio,OH,274000,5,39.2281143,-84.3541062
118926,Calhoun,Alabama,AL,104000,12,33.7701576,-85.80766
118912,Sullivan,Indiana,IN,,81,39.0953199,-87.4058525
118868,Maries,Missouri,MO,,106,38.1738674,-91.949021
118862,Kay,Oklahoma,OK,86000,51,36.8234478,-97.179026
118720,Chemung,New York,NY,133500,51,42.0084073,-76.6238369
118700,Taylor,West Virginia,WV,,40,39.3417635,-79.9640339
118699,Meigs,Ohio,OH,35000,82,39.0874307,-81.9971108
118685,Yell,Arkansas,AR,,29,35.0810824,-93.3388917
118672,Henry,Illinois,IL,112500,32,41.1114249,-89.3564776
118644,Fayette,West Virginia,WV,65000,20,38.0615913,-81.0754657
118623,Clark,Illinois,IL,88250,52,39.3824189,-87.7763333
118534,Clay,West Virginia,WV,,53,38.4603788,-81.0851086
118467,Toole,Montana,MT,,31,48.6974247,-111.6408212
118446,Box Butte,Nebraska,NE,,30,42.1911471,-103.0817903
118307,Scott,Virginia,VA,71450,95,36.6815794,-82.605118
118303,Thomas,Kansas,KS,,41,39.3702882,-101.0711758
118215,Wayne,North Carolina,NC,28000,46,35.3565499,-77.973865
118144,Wetzel,West Virginia,WV,,47,39.5655978,-80.6770787
118117,Hughes,Oklahoma,OK,,47,35.1380279,-96.3226072
118000,Oliver,North Dakota,ND,,53,47.1217918,-101.342985
117966,Nicholas,Kentucky,KY,,109,38.3767625,-84.059029
117946,Newaygo,Michigan,MI,,24,43.4197429,-85.8000506
117888,Humboldt,Iowa,IA,,62,42.7208047,-94.2152402
117831,Jackson,Minnesota,MN,,56,43.6207915,-94.9886022
117779,Woods,Oklahoma,OK,,54,36.7181862,-98.7481167
117754,Crenshaw,Alabama,AL,1319900,57,31.6671872,-86.3376761
117727,Montgomery,Indiana,IN,,40,38.6625493,-87.0461181
117705,Pickens,Alabama,AL,,53,33.3339954,-88.0900762
117658,Jasper,Iowa,IA,77000,15,41.6414924,-93.0175712
117626,Otero,Colorado,CO,81000,46,37.9397663,-103.6362715
117504,Garfield,Washington,WA,105000,36,47.0079487,-117.1410073
117407,Lawrence,Kentucky,KY,,53,38.052675,-82.7778579
117379,Coffee,Georgia,GA,99000,86,31.5182285,-82.820974
117368,Evans,Georgia,GA,76500,158,33.5337464,-82.1306747
117263,Coryell,Texas,TX,,22,31.4774358,-97.87216
117262,Jefferson,Pennsylvania,PA,75000,54,39.9300749,-80.0589461
117191,Broome,New York,NY,102900,26,42.4916563,-74.2883536
117159,Genesee,New York,NY,105000,59,42.0469596,-78.2703951
117086,Roscommon,Michigan,MI,89999,29,44.4983504,-84.5919682
116984,Nobles,Minnesota,MN,,54,43.7196932,-95.8142885
116906,Nolan,Texas,TX,,160,32.2735525,-100.2442826
116833,Phelps,Nebraska,NE,113000,47,40.4903536,-99.456155
116816,Lewis,Kentucky,KY,73500,74,38.5079686,-83.3789389
116816,Grundy,Iowa,IA,,69,42.4369506,-92.8577105
116756,Graves,Kentucky,KY,,54,36.6887728,-88.7108964
116631,DeKalb,Indiana,IN,,31,41.4138928,-85.023346
116562,Washington,Colorado,CO,,48,40.063745,-102.989615
116551,Saint Clair,Illinois,IL,130000,9,38.400812,-89.9253233
116442,Wayne,Michigan,MI,290000,1,42.2814269,-83.3863214
116332,Evangeline,Louisiana,LA,,46,30.7821781,-92.3813621
116267,Union,Iowa,IA,,72,42.2455405,-93.0646468
116239,Knox,Indiana,IN,,67,41.2958751,-86.6250139
116214,Webster,Kentucky,KY,98000,110,37.4892188,-87.7369607
116138,Chickasaw,Mississippi,MS,,68,33.8818791,-89.0179332
115818,Ohio,Kentucky,KY,,65,37.5108523,-86.8220341
115737,Cedar,Missouri,MO,,56,37.7031209,-93.8655303
115691,Marion,Illinois,IL,75000,55,37.7306054,-88.9331256
115681,Chickasaw,Iowa,IA,,93,43.0724667,-92.3813621
115679,Union,Illinois,IL,118000,59,42.2330782,-88.5423132
115634,Mississippi,Arkansas,AR,,42,35.8279728,-90.0746767
115622,Vigo,Indiana,IN,,22,39.4165382,-87.4207518
115593,Kiowa,Oklahoma,OK,,69,34.7206515,-95.8991586
115537,Dale,Alabama,AL,42020,29,31.4645298,-85.684578
115534,Wilbarger,Texas,TX,,143,34.0688089,-99.2785583
115529,Greenlee,Arizona,AZ,51750,15,33.2405598,-109.2831531
115436,Lewis,Tennessee,TN,80000,86,35.4962054,-87.5000082
115430,Alamosa,Colorado,CO,151000,44,37.4694491,-105.8700214
115418,Daviess,Indiana,IN,,85,38.7020241,-87.1422895
115398,Knox,Illinois,IL,72000,39,40.8776411,-90.2244662
115231,Scioto,Ohio,OH,90000,59,38.861065,-82.9931607
115220,Jackson,Kansas,KS,,37,39.4241422,-95.8142885
115215,Mercer,West Virginia,WV,,12,37.4322638,-81.1196075
115170,Wapello,Iowa,IA,,20,41.1814193,-91.1854273
115163,Lawrence,Indiana,IN,,29,39.8386516,-86.0252612
115157,Luna,New Mexico,NM,,22,33.8189419,-108.9545153
115136,Adair,Oklahoma,OK,114000,41,36.4367575,-95.2713584
115100,Muskogee,Oklahoma,OK,104000,20,35.7478769,-95.3696909
115000,Baca,Colorado,CO,54200,59,37.394731,-102.5298028
114979,Mitchell,Iowa,IA,,49,43.3216363,-92.8668621
114942,Reno,Kansas,KS,,11,37.9569553,-98.0465185
114931,Atchison,Missouri,MO,,84,40.423896,-95.4777811
114907,Gibson,Indiana,IN,,63,38.3338249,-87.5791287
114831,Crawford,Illinois,IL,,77,39.0499568,-87.7763333
114828,Monroe,Ohio,OH,,87,39.440336,-84.3621634
114785,Conway,Arkansas,AR,32500,50,35.0886963,-92.4421011
114705,Emmet,Iowa,IA,,60,43.34943,-94.6863782
114704,Warren,Pennsylvania,PA,,53,41.8439486,-79.1450445
114694,Clark,Wisconsin,WI,,64,44.8480735,-90.7532809
114515,Jackson,Indiana,IN,,44,38.8794321,-86.0529604
114500,Newton,Mississippi,MS,,52,32.3212554,-89.1633929
114487,Jasper,Mississippi,MS,,67,32.0810429,-89.1705998
114444,Sierra,New Mexico,NM,,23,33.134596,-107.1011931
114234,Hale,Alabama,AL,,56,32.7859102,-87.6186379
114175,Randolph,Georgia,GA,42500,133,31.7913398,-84.6897495
114090,Putnam,Missouri,MO,,110,40.4744901,-92.9775558
114007,Forest,Pennsylvania,PA,,45,41.5341012,-79.2451149
114000,Marshall,Minnesota,MN,,73,44.448423,-95.7911916
114000,Traill,North Dakota,ND,,22,47.4636775,-97.1256368
113882,Nodaway,Missouri,MO,,82,40.2907281,-94.8105955
113841,Schoolcraft,Michigan,MI,,73,42.1142107,-85.6377776
113680,Henry,Virginia,VA,84000,97,36.6588867,-79.9640339
113607,West Carroll,Louisiana,LA,,61,32.7545792,-91.4821482
113584,Scott,Missouri,MO,,44,37.0394443,-89.6251646
113524,Boyd,Kentucky,KY,87900,38,38.3833265,-82.6915429
113514,Bell,Kentucky,KY,,58,36.741122,-83.634843
113493,Aroostook,Maine,ME,,13,46.819941,-68.4766064
113447,La Salle,Illinois,IL,112500,16,41.3621503,-89.0418249
113362,Washington,Alabama,AL,75000,59,31.3422346,-88.2461183
113348,Williams,Ohio,OH,86250,70,41.5507602,-84.5222189
113342,Franklin,Mississippi,MS,,77,33.036293,-90.002815
113290,Ware,Georgia,GA,82000,31,31.134411,-82.4752757
113218,Montmorency,Michigan,MI,,77,45.0742794,-84.1403141
113163,Wright,Missouri,MO,,59,37.3555654,-92.539603
113144,Rock Island,Illinois,IL,,21,41.5094771,-90.5787476
113057,Wabash,Illinois,IL,,81,38.4226484,-87.8156715
113045,Sevier,Utah,UT,,20,38.7333524,-111.6660725
112980,Douglas,Illinois,IL,,63,39.7617631,-88.2071598
112917,Whiteside,Illinois,IL,37500,31,41.7605503,-89.8505012
112795,Wyandot,Ohio,OH,,85,40.8471492,-83.336188
112770,Calhoun,Iowa,IA,57500,73,42.3785903,-94.645035
112686,Clarke,Iowa,IA,,70,41.0177836,-93.7841503
112625,Washington,Mississippi,MS,,32,31.5787773,-91.2992784
112563,Crawford,Michigan,MI,70500,42,44.6524316,-84.6897495
112533,Comanche,Oklahoma,OK,107880,8,34.3689747,-97.963924
112488,Shackelford,Texas,TX,,146,32.8242297,-99.2785583
112318,Bent,Colorado,CO,61250,49,38.0036339,-103.0817903
112228,Livingston,Missouri,MO,,61,39.8464073,-93.5003454
112177,Calhoun,Michigan,MI,105000,22,42.2073905,-85.023346
111952,Clark,Ohio,OH,103000,22,39.8912092,-83.6773928
111904,Haywood,Tennessee,TN,95000,70,35.593858,-89.2621216
111898,Logan,Arkansas,AR,,39,35.2475011,-93.6623239
111881,Carroll,Iowa,IA,,54,42.0655986,-94.8672793
111875,Spalding,Georgia,GA,113000,48,33.2636732,-84.3121264
111735,Armstrong,Pennsylvania,PA,92450,49,40.8790518,-79.4703885
111687,Mahaska,Iowa,IA,,36,41.329588,-92.6983868
111653,Douglas,Missouri,MO,,21,36.9708648,-92.4999918
111612,Hutchinson,South Dakota,SD,57500,27,43.3017202,-97.6982272
111497,Arkansas,Arkansas,AR,92500,36,33.6087222,-91.2067794
111416,Perry,Mississippi,MS,,38,31.1673115,-89.0179332
111387,Rock,Minnesota,MN,105000,67,43.6927003,-96.3226072
111275,Allen,Ohio,OH,109164,80,40.769946,-84.1435136
111216,Mason,West Virginia,WV,,32,39.021745,-82.0290296
111109,Ballard,Kentucky,KY,106950,98,37.0359869,-89.0179332
111091,Garvin,Oklahoma,OK,94000,37,33.9539972,-94.9424443
111050,Cedar,Nebraska,NE,,24,42.5610324,-97.179026
111000,Rooks,Kansas,KS,,75,39.3638509,-99.2785583
110975,Grundy,Missouri,MO,,91,40.1743786,-93.5003454
110944,Pipestone,Minnesota,MN,,72,43.9985815,-96.3128117
110927,Letcher,Kentucky,KY,,105,37.125351,-82.8640623
110798,Vernon,Missouri,MO,,73,37.8148489,-94.315422
110750,Kiowa,Kansas,KS,,69,37.0172493,-98.4853539
110742,Shoshone,Idaho,ID,,11,42.9360165,-114.4058752
110729,Mitchell,Georgia,GA,50250,90,33.2198688,-82.7031896
110700,Gilmer,West Virginia,WV,,51,38.9203312,-80.8543847
110578,Franklin,Arkansas,AR,,24,0,0
110543,Perry,Indiana,IN,,83,38.0159043,-86.6611083
110527,Shiawassee,Michigan,MI,103200,26,42.949754,-84.1857115
110487,Gray,Texas,TX,,148,35.3352558,-100.8903099
110457,Montcalm,Michigan,MI,105250,32,43.3057341,-85.1894045
110433,Catahoula,Louisiana,LA,,63,31.7053083,-91.9099238
110399,Telfair,Georgia,GA,60000,131,31.8907647,-82.9931607
110394,Monroe,Missouri,MO,,89,39.5508815,-92.0665197
110268,Clay,Kentucky,KY,90000,46,37.4767119,-87.8200159
110248,Moniteau,Missouri,MO,,86,38.5827118,-92.5792482
110105,Lunenburg,Virginia,VA,53100,101,36.9261435,-78.2476146
110014,Clay,Kansas,KS,,40,39.34792,-97.179026
110001,Stoddard,Missouri,MO,,47,36.8680558,-89.9253233
109916,Judith Basin,Montana,MT,,43,47.0609367,-110.2577109
109880,Fulton,Indiana,IN,,49,40.9472635,-86.2627772
109877,Dawson,Texas,TX,,208,31.8940478,-96.7147127
109821,Butler,Missouri,MO,,38,38.2586347,-94.3305059
109812,Hickory,Missouri,MO,,68,37.9747242,-93.2986106
109809,Ashley,Arkansas,AR,55000,57,33.1565939,-91.7538817
109772,Wyandotte,Kansas,KS,,6,39.0986811,-94.7691586
109749,Johnson,Nebraska,NE,,56,40.4108337,-95.9980593
109736,Bailey,Texas,TX,,218,33.4320531,-96.1658091
109675,Moody,South Dakota,SD,,26,43.9779303,-96.663812
109600,Thurston,Nebraska,NE,,66,42.17722,-96.7008704
109481,Hancock,West Virginia,WV,77500,22,40.5123559,-80.5660657
109470,Macon,Alabama,AL,,50,32.3731182,-85.684578
109468,Gilliam,Oregon,OR,,34,45.4565608,-120.1802024
109410,Union,Indiana,IN,,92,39.7508984,-86.1396127
109388,Dallas,Alabama,AL,86350,47,32.2332138,-87.1422895
109340,Little River,Arkansas,AR,,48,33.6808926,-94.19234
109241,Jim Hogg,Texas,TX,,176,26.995506,-98.7481167
109212,Winkler,Texas,TX,,190,31.76846,-103.0817903
109155,Lawrence,Missouri,MO,,58,37.1500679,-93.8248241
109040,Prowers,Colorado,CO,57500,55,37.8433756,-102.2547919
109026,Orange,Indiana,IN,,64,38.567905,-86.6139899
109024,Hancock,Illinois,IL,,65,40.3849365,-91.135302
109000,Denali,Alaska,AK,,14,63.1148002,-151.1926058
108991,Lee,Virginia,VA,88000,105,36.7075931,-83.0361376
108969,Marshall,Iowa,IA,152250,19,42.0494674,-92.9080375
108953,Pratt,Kansas,KS,,49,37.6439071,-98.7375911
108937,Gallatin,Kentucky,KY,,83,38.7295069,-84.8776392
108867,Geneva,Alabama,AL,87000,34,31.0329572,-85.8638242
108818,Monroe,Kentucky,KY,,108,36.7484915,-85.7256372
108810,Crawford,Iowa,IA,35200,61,42.034686,-95.3102505
108777,Montgomery,Mississippi,MS,,62,33.5274427,-89.6251646
108716,Caribou,Idaho,ID,,33,42.7538684,-111.6660725
108711,Golden Valley,North Dakota,ND,,45,47.2908418,-102.0646172
108612,Osceola,Michigan,MI,,67,43.9257279,-85.354965
108607,Winnebago,Illinois,IL,105000,8,42.2661311,-89.2412202
108354,Ogemaw,Michigan,MI,,66,44.3270741,-84.1857115
108347,Morgan,Illinois,IL,79750,35,39.7341219,-90.2244662
108298,Fayette,Illinois,IL,,44,39.0669568,-89.0179332
108296,Lee,Iowa,IA,,45,40.7068663,-91.443469
108212,Bon Homme,South Dakota,SD,,44,42.9814835,-97.87216
108185,Saint Lawrence,New York,NY,31750,48,44.4473142,-74.930206
108042,Bienville,Louisiana,LA,,53,32.3568222,-92.9804374
108031,Buena Vista,Iowa,IA,,51,42.6705452,-95.1432068
108009,Irwin,Georgia,GA,103000,139,31.5893221,-83.2934086
107965,Danville,Virginia,VA,,,36.5859718,-79.3950228
107914,Bond,Illinois,IL,,40,38.902985,-89.4742177
107862,Wyoming,New York,NY,,57,42.8264498,-78.0897329
107859,Wells,Indiana,IN,,48,40.7778348,-85.1894045
107810,Twiggs,Georgia,GA,42500,20,32.68356,-83.4643551
107801,Martin,Minnesota,MN,,62,43.6266807,-94.479976
107721,Allegany,Maryland,MD,84000,22,39.6255251,-78.6114999
107664,Calhoun,Mississippi,MS,,74,33.8839218,-89.3226954
107588,Columbiana,Ohio,OH,,32,40.8883931,-80.6939643
107488,Swift,Minnesota,MN,,74,48.8533195,-95.2213442
107437,Edwards,Illinois,IL,,99,40.7455683,-89.7489531
107392,Richland,Ohio,OH,,27,40.7566723,-82.5185837
107385,Greensville,Virginia,VA,36000,63,36.6056886,-77.6077865
107343,Grays Harbor,Washington,WA,197450,19,46.9953526,-123.7012468
107336,Spink,South Dakota,SD,,37,42.880283,-96.7279918
107302,Okmulgee,Oklahoma,OK,91250,26,35.6234367,-95.9605502
107291,McDonough,Illinois,IL,,47,40.3885122,-90.6773046
107179,Gibson,Tennessee,TN,101500,60,35.8753458,-88.846728
107150,Jerauld,South Dakota,SD,,55,44.0364698,-98.6160674
107096,Mower,Minnesota,MN,96910,29,43.6824988,-92.6983868
107091,Hardin,Iowa,IA,,48,41.6624153,-91.5475745
107000,Hardeman,Texas,TX,,227,34.2177242,-99.634135
106984,White,Illinois,IL,,66,38.0501137,-88.2461183
106964,Osage,Kansas,KS,,29,38.6009003,-95.6457951
106907,Howard,Iowa,IA,,90,43.3819496,-92.3813621
106871,Anderson,Kentucky,KY,,41,37.998648,-84.981754
106854,Barnes,North Dakota,ND,,13,46.926176,-98.1222338
106838,Iroquois,Illinois,IL,92000,49,40.8275356,-87.5819743
106643,Livingston,Illinois,IL,87500,46,38.9675463,-89.7639827
106616,Floyd,Iowa,IA,,87,43.1277502,-92.7363031
106545,Randolph,Illinois,IL,26931,67,38.0629321,-89.7755338
106488,Chariton,Missouri,MO,,62,39.5301517,-93.0175712
106442,Dillon,South Carolina,SC,,40,34.4165505,-79.3711579
106346,Butler,Kentucky,KY,53250,37,38.7864569,-84.3696594
106307,Pushmataha,Oklahoma,OK,,40,34.4820384,-95.3102505
106213,Winston,Mississippi,MS,,49,33.1650338,-89.0179332
106200,Norton,Kansas,KS,,82,39.8338946,-99.8915113
106197,Defiance,Ohio,OH,86500,53,41.2844933,-84.3557802
106180,New Madrid,Missouri,MO,,81,36.5864488,-89.5278547
106171,Winnebago,Iowa,IA,111000,81,43.3481922,-93.6623239
106093,Attala,Mississippi,MS,,59,33.1683267,-89.6251646
106068,Jefferson,Arkansas,AR,34500,30,34.3806516,-92.1640352
106002,Redwood,Minnesota,MN,,64,44.5394039,-95.1169424
106000,Cheyenne,Colorado,CO,70500,62,38.8002562,-102.6216211
105911,Hettinger,North Dakota,ND,,32,46.0013946,-102.6368239
105768,Morris,Texas,TX,,204,33.122847,-94.7691586
105633,Cumberland,Illinois,IL,,54,39.2653533,-88.2071598
105586,Tipton,Indiana,IN,,82,40.2822598,-86.041098
105530,Metcalfe,Kentucky,KY,101000,100,37.0032438,-85.643487
105528,Mercer,Illinois,IL,,85,41.1985037,-90.6773046
105508,Brown,Minnesota,MN,,51,44.2294379,-94.645035
105494,Howard,Indiana,IN,,30,40.4482767,-86.1344697
105459,Macon,Illinois,IL,,28,39.7128155,-88.9970218
105424,Adams,Iowa,IA,,42,41.0652066,-94.6863782
105410,Ashtabula,Ohio,OH,,24,41.8650534,-80.7898089
105390,Northumberland,Pennsylvania,PA,122000,50,40.8917519,-76.7974653
105353,Nemaha,Nebraska,NE,,38,40.3383347,-95.6730453
105314,Ray,Missouri,MO,,42,39.3354791,-93.9878427
105290,Rich,Utah,UT,,27,41.5629707,-111.1891151
105072,Saint Francis,Arkansas,AR,101500,56,36.4533933,-90.1453751
105040,Saginaw,Michigan,MI,96900,18,43.4194699,-83.9508068
105000,Harding,New Mexico,NM,,32,35.8925537,-103.8216261
104926,Adair,Iowa,IA,,79,41.50043,-94.6433504
104921,Sussex,Virginia,VA,97475,67,36.9058167,-77.2405153
104842,Harvey,Kansas,KS,,10,38.0025215,-97.3516558
104816,Lee,Arkansas,AR,,65,34.7712669,-90.8294002
104800,Prairie,Arkansas,AR,,74,34.7636336,-91.5983959
104702,Quitman,Georgia,GA,110000,145,30.7849191,-83.5598811
104679,Jay,Indiana,IN,,77,40.4465288,-85.023346
104554,Lewis,Idaho,ID,,42,46.2664791,-116.4054092
104552,Chippewa,Minnesota,MN,,71,45.0520041,-95.555641
104500,Potter,South Dakota,SD,,53,45.0875052,-99.9904285
104479,Knox,Nebraska,NE,,28,42.6712397,-97.87216
104414,Kemper,Mississippi,MS,,78,32.8018452,-88.7108964
104294,Washington,Indiana,IN,,46,38.6592152,-87.172789
104251,Pulaski,Indiana,IN,,89,40.9957383,-86.8220341
104214,Anson,North Carolina,NC,,75,34.9054732,-80.1875065
104137,Ben Hill,Georgia,GA,65000,127,31.7664035,-83.2077645
104072,Page,Iowa,IA,,46,40.7635099,-95.1432068
104042,Ouachita,Arkansas,AR,20000,43,33.5828512,-92.9375739
103913,Wayne,Illinois,IL,,89,41.9508336,-88.242369
103890,Marshall,West Virginia,WV,115000,44,38.4235332,-82.4263138
103830,Macoupin,Illinois,IL,80000,38,39.2375268,-89.9253233
103773,Harrison,Ohio,OH,93000,77,39.2536967,-84.7915999
103701,Lauderdale,Tennessee,TN,79900,58,35.7838834,-89.6628111
103681,Merrick,Nebraska,NE,70000,33,41.2031926,-98.0028892
103524,Dent,Missouri,MO,,29,37.544666,-91.443469
103423,Butler,Nebraska,NE,,21,41.1375727,-97.179026
103369,Ripley,Missouri,MO,,71,36.6928452,-90.8294002
103362,Wells,North Dakota,ND,,28,47.5217126,-99.5751845
103335,Petersburg,Virginia,VA,,,37.2279279,-77.4019267
103329,Massac,Illinois,IL,72500,86,37.2478298,-88.7493998
103300,Lamar,Alabama,AL,,62,33.6923649,-88.0900762
103266,Taliaferro,Georgia,GA,55000,155,33.5697878,-82.8855961
103253,Leflore,Mississippi,MS,,42,33.5274427,-90.3748354
103177,Cotton,Oklahoma,OK,171000,60,34.309094,-98.3964938
103171,White Pine,Nevada,NV,,12,39.5564495,-114.524264
