artist,hotness
The Killers,0.812537
fun.,0.81226
Incubus,0.811997
The Offspring,0.811806
Brandon Flowers,0.811514
Macklemore & Ryan Lewis,0.811373
Best Coast,0.811373
DJ Khaled,0.81137
Tokio Hotel,0.811292
Röyksopp,0.811163
Halestorm,0.811005
Garth Brooks,0.810933
Natalia Lafourcade,0.810621
Gusttavo Lima,0.81024
Arcade Fire,0.810101
The White Stripes,0.809902
Built to Spill,0.809238
Grimes,0.808942
Oasis,0.808741
Paramore,0.808553
Michel Teló,0.807553
AlunaGeorge,0.80741
The Beatles,0.807201
Alan Jackson,0.807069
The National,0.806749
Icona Pop,0.806685
John Mayer,0.806664
Father John Misty,0.806503
Klangkarussell,0.806052
Beck,0.805905
Cazzette,0.805175
Franz Ferdinand,0.805133
Toro y Moi,0.804871
Green Day,0.804621
A Great Big World,0.804539
José González,0.804446
Rick Ross,0.804431
2 Chainz,0.804346
Rudimental,0.804244
James Arthur,0.803829
Frank Sinatra,0.80338
Interpol,0.803315
Kaskade,0.803232
blink-182,0.802919
Sunrise Avenue,0.80289
Herbert Grönemeyer,0.802801
Kings of Leon,0.802617
HAIM,0.802267
Cro,0.802223
Laura Pausini,0.802036
T.I.,0.801938
Elisa,0.801831
Joe Bonamassa,0.801758
Shania Twain,0.801736
Chic,0.801196
ODESZA,0.801052
Lenka,0.800967
Bon Iver,0.800916
Giorgio Moroder,0.800836
Ti,0.800722
Kylie Minogue,0.800688
Vampire Weekend,0.800479
A$AP Rocky,0.799943
Lucas Lucco,0.79984
LMFAO,0.799821
The Kooks,0.799766
CHVRCHES,0.799728
Big Bang,0.799524
Ben Howard,0.799514
Cobra Starship,0.799499
Chiara,0.798813
Bingo Players,0.798811
Italobrothers,0.798789
Flume,0.798541
Don Omar,0.798516
Walk Off the Earth,0.79843
Rascal Flatts,0.798282
A-TRAK,0.797745
Van Halen,0.797525
Death Grips,0.797284
Percy Sledge,0.797242
J-AX,0.797217
Sting,0.797204
Calexico,0.796972
ONE OK ROCK,0.796409
Hollywood Undead,0.79613
Juicy J,0.795791
Depeche Mode,0.795581
Anouk,0.79533
Two Door Cinema Club,0.795274
Janelle Monáe,0.795214
Elvis Presley,0.794036
Robyn,0.793817
Francesca Michielin,0.793794
Diana Krall,0.793729
Janis Joplin,0.793682
The Decemberists,0.793608
Pearl Jam,0.793202
Cage the Elephant,0.79303
Billy Joel,0.792562
Juan Gabriel,0.792464
Five Finger Death Punch,0.792409
Phoenix,0.792311
Ke$ha,0.792284
Perfume,0.79204
Paolo Nutini,0.791738
Sorriso Maroto,0.791678
Michael Bublé,0.791331
Lil Wayne,0.790931
Lil' Wayne,0.790931
Twenty One Pilots,0.79064
Kavinsky,0.790475
Black Sabbath,0.790181
Brand New,0.789928
The Veronicas,0.789921
Josh Groban,0.789746
Darin,0.789606
Common,0.789445
Dire Straits,0.789188
Swedish House Mafia,0.788846
James Blake,0.788816
Stevie Wonder,0.788013
The Cure,0.787326
Choc Quib Town,0.786507
The Smiths,0.786095
R.E.M.,0.78605
Family of the Year,0.785867
Lower Dens,0.785803
Little Mix,0.785021
The Doors,0.783891
Nero,0.783686
Ratatat,0.783623
Fitz and the Tantrums,0.783611
George Michael,0.783158
Jack Johnson,0.78305
Sak Noel,0.782668
Avenged Sevenfold,0.782492
The Strokes,0.782218
Young Thug,0.781944
Akon,0.781791
Negrita,0.78141
Modà,0.781393
MC Hammer,0.781323
Pentatonix,0.781134
Scooter,0.780792
Billy Talent,0.780771
Laura Marling,0.780738
London Grammar,0.780702
Cristiano Araújo,0.78067
Apocalyptica,0.780521
Flight Facilities,0.780227
Ringo Starr,0.780131
The Pretty Reckless,0.780073
Cheryl Cole,0.780032
Asaf Avidan & The Mojos,0.779995
Savage,0.779991
The Vaccines,0.779972
Macaco,0.779971
Ingrid Michaelson,0.779888
Gabrielle Aplin,0.77936
JVG,0.779274
Washed Out,0.779196
Robert DeLong,0.778683
2Pac,0.778615
Aphex Twin,0.77855
Arijit Singh,0.778441
Django Django,0.778227
Sıla,0.778204
Gianna Nannini,0.778033
Elton John,0.777956
Asaf Avidan,0.777762
Scandal,0.777662
Miles Davis,0.776944
Baauer,0.776556
The War on Drugs,0.776283
Brian Wilson,0.776032
Above & Beyond,0.775741
Tony Bennett,0.775715
Emeli Sandé,0.775686
Selena Gomez & the Scene,0.77566
Dance Gavin Dance,0.775461
Aerosmith,0.775144
John Denver,0.775093
Erik Hassle,0.775086
Los Tigres Del Norte,0.775062
Kaiser Chiefs,0.774389
Blackstreet,0.774311
DJ Shadow,0.77419
Dolly Parton,0.774101
G-Dragon,0.774066
Tyga,0.773779
Lights,0.773773
No Te Va Gustar,0.773645
Moby,0.773494
Paul Kalkbrenner,0.773358
Ella Eyre,0.772879
Kacey Musgraves,0.772798
Journey,0.772586
Toto,0.772444
Barbra Streisand,0.771736
Lifehouse,0.771606
Future,0.771522
Crystal Castles,0.771377
Neil Diamond,0.771362
R. Kelly,0.771304
Mat Kearney,0.771132
Norah Jones,0.771047
Alexandra Stan,0.770917
will.i.am,0.770587
Simple Minds,0.770432
Ewert and the Two Dragons,0.770252
Conor Maynard,0.769938
Belle and Sebastian,0.769766
Banks,0.769707
Seether,0.769492
Boyz II Men,0.769431
Theory of a Deadman,0.769317
Extremoduro,0.768879
Accept,0.768568
The Mountain Goats,0.768383
Digitalism,0.768338
Tori Amos,0.768258
Miguel Bosé,0.767954
Faith No More,0.767466
Backstreet Boys,0.767306
Azealia Banks,0.767279
the GazettE,0.767214
ScHoolboy Q,0.766833
HammerFall,0.766592
FKA twigs,0.766413
Estelle,0.766339
ASIAN KUNG-FU GENERATION,0.766273
Cold War Kids,0.766209
Fiorella Mannoia,0.766143
Robin,0.765954
Pixies,0.765804
Grateful Dead,0.765101
The Neighbourhood,0.76495
Sixx:A.M.,0.764785
Limp Bizkit,0.76464
Slipknot,0.764626
Simon & Garfunkel,0.764431
Bette Midler,0.764411
Rea Garvey,0.764288
Dr. Dre,0.764236
Paula Fernandes,0.764209
Mike Will Made-It,0.764138
Mike WiLL Made It,0.764138
Queens of the Stone Age,0.763892
Neil Young,0.763801
Hadise,0.76341
TV on the Radio,0.763389
Matt & Kim,0.763269
Creedence Clearwater Revival,0.76325
Evanescence,0.763177
Sean Paul,0.762477
Yelle,0.76236
Krewella,0.762335
Unheilig,0.762104
Ludovico Einaudi,0.761942
Danko Jones,0.761841
Godspeed You! Black Emperor,0.761567
Damien Rice,0.761419
Lemon,0.761211
Bruce Springsteen,0.761085
The Tallest Man on Earth,0.761056
Iron Maiden,0.760998
Vicentico,0.76075
Isa,0.760474
The Maine,0.760065
Waxahatchee,0.76002
Whitney Houston,0.759785
Scorpions,0.759751
Otto Knows,0.75952
SBTRKT,0.759313
Francesco De Gregori,0.759029
Joey Bada$$,0.758965
Toby Keith,0.758953
Speedy Ortiz,0.758686
Psy,0.758527
Joaquín Sabina,0.758003
Birdy,0.757951
Natalie Imbruglia,0.757627
Boy & Bear,0.757407
Xavier Rudd,0.757338
Le Youth,0.757306
The Verve,0.757188
Paul van Dyk,0.757158
Rumer,0.757092
Boz Scaggs,0.757039
Massive Attack,0.756621
San Cisco,0.756596
Hot Chip,0.756406
House of Pain,0.756227
Antonello Venditti,0.756016
Zaz,0.755422
Carmen Consoli,0.755317
Weezer,0.755281
MGMT,0.755041
James,0.754967
Wham!,0.75487
The Game,0.754629
Eric Prydz,0.754482
Joshua Radin,0.754067
French Montana,0.754056
Sheryl Crow,0.753949
Silverchair,0.753918
Ryan Adams,0.753845
James Taylor,0.753815
Dragonette,0.753764
Hans Zimmer,0.753707
Bryan Adams,0.753618
Nesli,0.753421
Korn,0.753409
Sarah McLachlan,0.753379
Crookers,0.753306
Slash,0.752902
Slash featuring Myles Kennedy And The Conspirators,0.752902
Selena,0.752823
Goo Goo Dolls,0.752628
Bad Company,0.752454
JoJo,0.752222
Hombres G,0.751967
The Fratellis,0.751961
Malika Ayane,0.751893
Tiago Iorc,0.751674
The Fray,0.751483
The Charlatans,0.751385
Within Temptation,0.751266
Kid Cudi,0.751112
The Band Perry,0.750565
BABYMETAL,0.750348
ZOE,0.750199
Placebo,0.750063
Young Fathers,0.750007
Marvin Gaye,0.749684
SOiL,0.74951
Jodeci,0.749239
Gavin DeGraw,0.749219
J Alvarez,0.749211
Biagio Antonacci,0.749178
Medina,0.749168
Chris Malinchak,0.748824
Bonobo,0.748422
Enter Shikari,0.748344
Tycho,0.748222
Run the Jewels,0.74815
Goldfish,0.747958
Glee Cast,0.747796
El Komander,0.747752
Bob Marley,0.74762
Iron & Wine,0.747302
The Lumineers,0.747079
Mando Diao,0.747078
Lucio Dalla,0.746717
Leonard Cohen,0.746267
Westlife,0.746216
INXS,0.746131
Earth  Wind & Fire,0.74612
Kiss,0.745743
Tamar Braxton,0.745592
Sabrina,0.745374
50 Cent,0.745087
Mela Koteluk,0.745083
