job,salary
IT specialist,69088
business manager,97270
tort attorney,75803
civil engineer,79340
anesthesiologist,293389
research associate,50131
financial analyst,76950
waitress,18540
bartender,18900
teacher,43240
librarian,55370
flight attendant,37240
PR rep,43139
Sexy actress,45000
