Year,Make,ModelGroup
1998,Audi,All Models
1998,BMW,3 Series
1998,BMW,5 Series
1998,BMW,7 Series
1998,Chevrolet,Express
1998,Chevrolet,S Series
1998,Daewoo,All Models
1998,Ferrari,All Models
1998,Ford,Econoline
1998,Ford,Expedition
1998,Ford,Explorer
1998,Ford,F-Series
1998,Ford,Taurus
1998,GMC,Savana
1998,GMC,Yukon
1998,Honda,Accord
1998,HUMMER,All Models
1998,Hyundai,Elantra
1998,Jaguar,All Models
1998,Jeep,All Models
1998,Lamborghini,All Models
1998,Land Rover,All Models
1998,Lexus,GS300/GS400
1998,Lexus,SC300/400
1998,Lincoln,All Other Models
1998,Lincoln,Navigator
1998,Lotus,All Models
1998,Mercedes-Benz,C-Class
1998,Mercedes-Benz,CLK-Class
1998,Mercedes-Benz,E-Class
1998,Mercedes-Benz,S-Class
1998,Mercedes-Benz,SL-Class
1998,Mercedes-Benz,SLK-Class
1998,Porsche,All Models
1998,Rolls-Royce,All Models
1998,Saab,All Models
1998,Subaru,Impreza
1998,Volkswagen,Golf
1998,Volvo,S70/V70
1998,Volvo,S90/V90
