Year,Make,ModelGroup
1997,Audi,All Models
1997,BMW,3 Series
1997,BMW,5 Series
1997,BMW,7 Series
1997,BMW,8 Series
1997,Chevrolet,Express
1997,Ferrari,All Models
1997,Ford,Econoline
1997,Ford,Expedition
1997,Ford,Explorer
1997,Ford,F-Series
1997,Ford,Taurus
1997,GMC,Savana
1997,GMC,S-Series
1997,GMC,Yukon
1997,Honda,Accord
1997,HUMMER,All Models
1997,Hyundai,Elantra
1997,Jaguar,All Models
1997,Jeep,All Models
1997,Lamborghini,All Models
1997,Land Rover,All Models
1997,Lexus,SC300/400
1997,Lincoln,All Other Models
1997,Lotus,All Models
1997,Mercedes-Benz,All Models
1997,Porsche,All Models
1997,Rolls-Royce,All Models
1997,Saab,All Models
1997,Subaru,Impreza
1997,Volkswagen,Golf
