Year,Make,ModelGroup
1982,Alfa Romeo,All Models
1982,Audi,All Models
1982,BMW,3 Series
1982,BMW,5 Series
1982,BMW,6 Series
1982,BMW,7 Series
1982,Buick,All Other Models
1982,Cadillac,All Models
1982,Chevrolet,All Other Models
1982,Chevrolet,Silverado
1982,Dodge,Ram  Truck
1982,Ferrari,All Models
1982,FIAT,All Models
1982,Ford,All Other Models
1982,Ford,Econoline
1982,Ford,F-Series
1982,GMC,Sierra
1982,Honda,Accord
1982,Jaguar,XJ
1982,Jeep,All Models
1982,Lincoln,All Models
1982,Mercedes-Benz,All Models
1982,Mercury,All Models
1982,Oldsmobile,All Models
1982,Pontiac,All Models
1982,Rolls-Royce,All Models
1982,Saab,All Models
1982,Subaru,All Models
