Year,Make,ModelGroup
1988,Alfa Romeo,All Models
1988,Audi,All Models
1988,Buick,All Other Models
1988,Cadillac,Other Cadillac Models
1988,Chevrolet,All Other Models
1988,Chevrolet,G10-G30-P Series
1988,Chevrolet,Silverado
1988,Chevrolet,S-Series
1988,Chrysler,All Models
1988,Dodge,All Other Models
1988,Dodge,Ram  Truck
1988,Ferrari,All Models
1988,Ford,Econoline
1988,Ford,F-Series
1988,Ford,Taurus
1988,GMC,Sierra
1988,GMC,S-Series
1988,Honda,Accord
1988,Jaguar,All Models
1988,Jaguar,XJ
1988,Lamborghini,All Models
1988,Land Rover,All Models
1988,Lincoln,All Models
1988,Lotus,All Models
1988,Mercedes-Benz,All Models
1988,Mercury,All Other Models
1988,Oldsmobile,All Models
1988,Plymouth,All Other Models
1988,Pontiac,All Models
1988,Porsche,All Models
1988,Rolls-Royce,All Models
1988,Saab,All Models
1988,Suzuki,All Models
1988,Volkswagen,Golf
1988,Volvo,All Models
