Year,Make,ModelGroup
2000,Aston Martin,All Models
2000,BMW,3 Series
2000,BMW,5 Series
2000,BMW,7 Series
2000,BMW,X5
2000,Cadillac,Escalade
2000,Chevrolet,Express
2000,Chevrolet,S Series
2000,Chevrolet,Silverado
2000,Dodge,Pick-up
2000,Ferrari,All Models
2000,FIAT,All Models
2000,Ford,Econoline
2000,Ford,Expedition
2000,Ford,F-Series
2000,GMC,Savana
2000,GMC,Sierra
2000,GMC,Yukon
2000,Honda,Accord
2000,HUMMER,All Models
2000,Jaguar,All Models
2000,Jaguar,XK
2000,Jeep,All Models
2000,Land Rover,All Models
2000,Lexus,GS300/GS400
2000,Lexus,LS Series
2000,Lexus,SC300/SC400
2000,Lincoln,Navigator
2000,Lotus,All Models
2000,Mercedes-Benz,C-Class
2000,Mercedes-Benz,CL-Class
2000,Mercedes-Benz,CLK-Class
2000,Mercedes-Benz,E-Class
2000,Mercedes-Benz,G-Class
2000,Mercedes-Benz,M-Class
2000,Mercedes-Benz,S-Class
2000,Mercedes-Benz,SL-Class
2000,Mercedes-Benz,SLK-Class
2000,Porsche,All Models
2000,Rolls-Royce,All Models
2000,Saab,All Models
2000,Subaru,Impreza
2000,Volkswagen,Golf
2000,Volvo,S40/V40
2000,Volvo,S70/V70
