Year,Make,ModelGroup
2002,Aston Martin,All Models
2002,BMW,3 Series
2002,BMW,5 Series
2002,BMW,7 Series
2002,BMW,M Roadster/Coupe
2002,BMW,X5
2002,Cadillac,Escalade
2002,Chevrolet,Express
2002,Chevrolet,S Series
2002,Ferrari,All Models
2002,Ford,Econoline
2002,Ford,Expedition
2002,Ford,Explorer
2002,Ford,F-Series
2002,Ford,Taurus
2002,GMC,Envoy
2002,GMC,Savana
2002,GMC,Yukon
2002,Honda,Accord
2002,HUMMER,All Models
2002,Hyundai,Elantra
2002,Jaguar,All Models
2002,Jeep,All Models
2002,Kia,Rio
2002,Kia,Spectra
2002,Lamborghini,All Models
2002,Land Rover,All Models
2002,Lexus,GS300/GS400
2002,Lexus,LS Series
2002,Lexus,SC Series
2002,Lincoln,All Other Models
2002,Lincoln,Navigator
2002,Maserati,All Models
2002,Mercedes-Benz,C-Class
2002,Mercedes-Benz,CLK-Class
2002,Mercedes-Benz,E-Class
2002,Mercedes-Benz,M-Class
2002,Mercedes-Benz,S-Class
2002,Mercedes-Benz,SL-Class
2002,Mercedes-Benz,SLK-Class
2002,MINI,All Models
2002,Rolls-Royce,All Models
2002,Saab,All Models
2002,Subaru,Impreza
2002,Volkswagen,Golf
2002,Volvo,S40/V40
