Year,Make,ModelGroup
1996,Audi,All Models
1996,BMW,3 Series
1996,BMW,7 Series
1996,BMW,8 Series
1996,Buick,All Other Models
1996,Cadillac,All Models
1996,Chevrolet,All Other Models
1996,Chevrolet,G Series
1996,Chevrolet,S Series
1996,Chrysler,All Other Models
1996,Dodge,All Other Models
1996,Ferrari,All Models
1996,Ford,Econoline
1996,Ford,Explorer
1996,Ford,F-Series
1996,GMC,Savana
1996,Honda,Accord
1996,HUMMER,All Models
1996,Hyundai,Elantra
1996,Jaguar,All Models
1996,Jeep,All Models
1996,Land Rover,All Models
1996,Lincoln,All Models
1996,Mercedes-Benz,All Models
1996,Mercury,All Other Models
1996,Oldsmobile,All Models
1996,Plymouth,All Other Models
1996,Pontiac,All Models
1996,Porsche,All Models
1996,Rolls-Royce,All Models
1996,Saab,All Models
1996,Subaru,Impreza
1996,Volkswagen,Golf
