Year,Make,ModelGroup
1993,Alfa Romeo,All Models
1993,Audi,All Models
1993,BMW,All Models
1993,Buick,All Other Models
1993,Cadillac,All Models
1993,Chevrolet,All Other Models
1993,Chevrolet,G Series
1993,Chevrolet,S-Series
1993,Chrysler,All Models
1993,Dodge,All Other Models
1993,Ferrari,All Other Models
1993,Ford,Econoline
1993,Ford,Explorer
1993,GMC,S-Series
1993,Honda,Accord
1993,Hyundai,All Models
1993,Jaguar,All Models
1993,Jeep,All Models
1993,Land Rover,All Models
1993,Lexus,SC300/400
1993,Lincoln,All Models
1993,Lotus,All Models
1993,Mercedes-Benz,All Models
1993,Oldsmobile,All Models
1993,Plymouth,All Other Models
1993,Pontiac,All Models
1993,Porsche,All Models
1993,Rolls-Royce,All Models
1993,Saab,All Models
1993,Subaru,Impreza
1993,Suzuki,All Models
1993,Volkswagen,Golf
1993,Volvo,All Models
