Year,Make,ModelGroup
2015,Aston Martin,All Models
2015,Bentley,All Models
2015,BMW,2 Series
2015,BMW,3 Series
2015,BMW,4 Series
2015,BMW,5 Series
2015,BMW,6 Series
2015,BMW,7 Series
2015,BMW,M6
2015,BMW,X5
2015,BMW,X6
2015,Cadillac,Escalade
2015,Chevrolet,Express
2015,Chevrolet,Silverado
2015,Ferrari,All Models
2015,Ford,Expedition
2015,Ford,F-Series
2015,Ford,Transit
2015,GMC,Savana
2015,GMC,Sierra
2015,GMC,Yukon
2015,Kia,Forte
2015,Lincoln,Navigator
2015,Maserati,All Models
2015,Mercedes-Benz,C-Class
2015,Mercedes-Benz,CLA-Class
2015,Mercedes-Benz,CLS-Class
2015,Mercedes-Benz,E-Class
2015,Mercedes-Benz,G-Class
2015,Mercedes-Benz,GLA-Class
2015,Mercedes-Benz,GL-Class
2015,Mercedes-Benz,GLK-Class
2015,Mercedes-Benz,M-Class
2015,Mercedes-Benz,S-Class
2015,Mercedes-Benz,SL-Class
2015,Mercedes-Benz,SLK-Class
2015,Mercedes-Benz,SLS-Class
2015,Mitsubishi,Outlander
2015,Nissan,Versa
