Year,Make,ModelGroup
1986,Alfa Romeo,All Models
1986,Audi,All Models
1986,Buick,All Other Models
1986,Chevrolet,G10 G30 P Series
1986,Chevrolet,S Series
1986,Chrysler,All Other Models
1986,Dodge,All Other Models
1986,Ferrari,All Models
1986,Ford,Econoline
1986,Honda,Accord
1986,Jaguar,All Models
1986,Lincoln,All Models
1986,Lotus,All Models
1986,Maserati,All Models
1986,Mercedes-Benz,All Models
1986,Mercury,All Models
1986,Oldsmobile,All Models
1986,Plymouth,All Other Models
1986,Pontiac,All Models
1986,Porsche,All Models
1986,Rolls-Royce,All Models
1986,Saab,All Models
1986,Suzuki,All Models
1986,Volkswagen,Golf
1986,Volvo,All Models
