Year,Make,ModelGroup
1987,Alfa Romeo,All Models
1987,Audi,All Models
1987,Buick,All Other Models
1987,Cadillac,Other Cadillac Models
1987,Chevrolet,G10-G30-P Series
1987,Chevrolet,Silverado
1987,Chevrolet,S-Series
1987,Chrysler,All Other Models
1987,Dodge,All Other Models
1987,Dodge,Ram  Truck
1987,Ferrari,All Models
1987,FIAT,All Models
1987,Ford,Econoline
1987,Ford,F-Series
1987,Ford,Taurus
1987,GMC,Sierra
1987,GMC,S-Series
1987,Honda,Accord
1987,Jaguar,All Models
1987,Jaguar,XJ
1987,Land Rover,All Models
1987,Lincoln,All Models
1987,Lotus,All Models
1987,Maserati,All Models
1987,Mercedes-Benz,All Models
1987,Mercury,All Other Models
1987,Oldsmobile,All Models
1987,Plymouth,All Other Models
1987,Pontiac,All Models
1987,Porsche,All Models
1987,Rolls-Royce,All Models
1987,Saab,All Models
1987,Suzuki,All Models
1987,Volkswagen,Golf
1987,Volvo,All Models
