Year,Make,ModelGroup
1985,Alfa Romeo,All Models
1985,Buick,All Other Models
1985,Cadillac,Other Cadillac Models
1985,Chevrolet,G10-G30-P Series
1985,Chevrolet,Silverado
1985,Chevrolet,S-Series
1985,Chrysler,All Other Models
1985,Dodge,All Other Models
1985,Dodge,Ram  Truck
1985,Ferrari,All Models
1985,FIAT,All Models
1985,Ford,Econoline
1985,Ford,F-Series
1985,GMC,Sierra
1985,GMC,S-Series
1985,Honda,Accord
1985,Jaguar,XJ
1985,Jeep,Other Models
1985,Lamborghini,All Models
1985,Lincoln,All Models
1985,Mercedes-Benz,All Models
1985,Mercury,All Models
1985,Oldsmobile,All Models
1985,Plymouth,All Other Models
1985,Pontiac,All Models
1985,Rolls-Royce,All Models
1985,Saab,All Models
1985,Subaru,All Models
1985,Volkswagen,Golf
