Year,Make,ModelGroup
1981,Alfa Romeo,All Models
1981,Audi,All Models
1981,BMW,3 Series
1981,BMW,5 Series
1981,BMW,6 Series
1981,BMW,7 Series
1981,Buick,All Other Models
1981,Cadillac,Other Cadillac Models
1981,Chevrolet,G Series
1981,Chevrolet,Silverado
1981,Chrysler,All Other Models
1981,Dodge,Ram  Truck
1981,Ferrari,All Models
1981,FIAT,All Models
1981,Ford,All Other Models
1981,Ford,Econoline
1981,Ford,F-Series
1981,GMC,Sierra
1981,Honda,Accord
1981,Jaguar,XJ
1981,Jeep,All Models
1981,Lincoln,All Models
1981,Mercedes-Benz,All Models
1981,Mercury,All Models
1981,Oldsmobile,All Models
1981,Pontiac,All Models
1981,Rolls-Royce,All Models
1981,Saab,All Models
1981,Subaru,All Models
