Year,Make,Model,Locale
1990,Acura,Integra,en-US
1990,Acura,Legend,en-US
1990,Alfa Romeo,Spider,en-US
1990,Audi,100,en-US
1990,Audi,200,en-US
1990,Audi,80,en-US
1990,Audi,90,en-US
1990,Audi,Coupe,en-US
1990,Audi,Other Audi Models,en-US
1990,Audi,V8 Quattro,en-US
1990,Bentley,Continental,en-US
1990,Bentley,Eight,en-US
1990,Bentley,Mulsanne,en-US
1990,Bentley,Turbo R,en-US
1990,BMW,325i,en-US
1990,BMW,325iX,en-US
1990,BMW,525i,en-US
1990,BMW,535i,en-US
1990,BMW,735i,en-US
1990,BMW,735iL,en-US
1990,BMW,750iL,en-US
1990,BMW,M3,en-US
1990,Buick,Century,en-US
1990,Buick,Electra,en-US
1990,Buick,Le Sabre,en-US
1990,Buick,Other Buick Models,en-US
1990,Buick,Reatta,en-US
1990,Buick,Regal,en-US
1990,Buick,Riviera,en-US
1990,Buick,Skylark,en-US
1990,Cadillac,Allante,en-US
1990,Cadillac,Brougham,en-US
1990,Cadillac,De Ville,en-US
1990,Cadillac,Eldorado,en-US
1990,Cadillac,Fleetwood,en-US
1990,Cadillac,Other Cadillac Models,en-US
1990,Cadillac,Seville,en-US
1990,Chevrolet,Astro,en-US
1990,Chevrolet,Beretta,en-US
1990,Chevrolet,Blazer,en-US
1990,Chevrolet,Camaro,en-US
1990,Chevrolet,Caprice,en-US
1990,Chevrolet,Cavalier,en-US
1990,Chevrolet,Celebrity,en-US
1990,Chevrolet,Corsica,en-US
1990,Chevrolet,Corvette,en-US
1990,Chevrolet,G10,en-US
1990,Chevrolet,G20,en-US
1990,Chevrolet,G30,en-US
1990,Chevrolet,Lumina,en-US
1990,Chevrolet,Lumina APV,en-US
1990,Chevrolet,Other Chevrolet Models,en-US
1990,Chevrolet,S10 Blazer,en-US
1990,Chevrolet,S10 Pickup,en-US
1990,Chevrolet,Silverado and other C/K1500,en-US
1990,Chevrolet,Silverado and other C/K2500,en-US
1990,Chevrolet,Silverado and other C/K3500,en-US
1990,Chevrolet,Suburban,en-US
1990,Chrysler,Imperial,en-US
1990,Chrysler,LeBaron,en-US
1990,Chrysler,New Yorker,en-US
1990,Chrysler,Other Chrysler Models,en-US
1990,Chrysler,TC by Maserati,en-US
1990,Chrysler,Town & Country,en-US
1990,Dodge,B150,en-US
1990,Dodge,B250,en-US
1990,Dodge,B350,en-US
1990,Dodge,Caravan,en-US
1990,Dodge,Colt,en-US
1990,Dodge,D/W Truck,en-US
1990,Dodge,Dakota,en-US
1990,Dodge,Daytona,en-US
1990,Dodge,Dynasty,en-US
1990,Dodge,Grand Caravan,en-US
1990,Dodge,Mini Ram Van,en-US
1990,Dodge,Monaco,en-US
1990,Dodge,Omni,en-US
1990,Dodge,Other Dodge Models,en-US
1990,Dodge,Ram 1500 Truck,en-US
1990,Dodge,Ram 2500 Truck,en-US
1990,Dodge,Ram 3500 Truck,en-US
1990,Dodge,Ram 50 Truck,en-US
1990,Dodge,Ramcharger,en-US
1990,Dodge,Shadow,en-US
1990,Dodge,Spirit,en-US
1990,Eagle,Premier,en-US
1990,Eagle,Summit,en-US
1990,Eagle,Talon,en-US
1990,Ferrari,348,en-US
1990,Ferrari,F40,en-US
1990,Ferrari,Mondial,en-US
1990,Ferrari,Testarossa,en-US
1990,Ford,Aerostar,en-US
1990,Ford,Bronco,en-US
1990,Ford,Bronco II,en-US
1990,Ford,Crown Victoria,en-US
1990,Ford,E-150 and Econoline 150,en-US
1990,Ford,E-250 and Econoline 250,en-US
1990,Ford,E-350 and Econoline 350,en-US
1990,Ford,Escort,en-US
1990,Ford,F150,en-US
1990,Ford,F250,en-US
1990,Ford,F350,en-US
1990,Ford,F450,en-US
1990,Ford,Festiva,en-US
1990,Ford,Mustang,en-US
1990,Ford,Other Ford Models,en-US
1990,Ford,Probe,en-US
1990,Ford,Ranger,en-US
1990,Ford,Taurus,en-US
1990,Ford,Tempo,en-US
1990,Ford,Thunderbird,en-US
1990,Geo,Metro,en-US
1990,Geo,Other Geo Models,en-US
1990,Geo,Prizm,en-US
1990,Geo,Storm,en-US
