Year,Make,Locale
1987,Acura,en-US
1987,Alfa Romeo,en-US
1987,AMC,en-US
1987,Audi,en-US
1987,Bentley,en-US
1987,BMW,en-US
1987,Buick,en-US
1987,Cadillac,en-US
1987,Chevrolet,en-US
1987,Chrysler,en-US
1987,Dodge,en-US
1987,Ferrari,en-US
1987,FIAT,en-US
1987,Ford,en-US
1987,GMC,en-US
1987,Honda,en-US
1987,Hyundai,en-US
1987,Isuzu,en-US
1987,Jaguar,en-US
1987,Jeep,en-US
1987,Lamborghini,en-US
1987,Land Rover,en-US
1987,Lincoln,en-US
1987,Lotus,en-US
1987,Maserati,en-US
1987,Mazda,en-US
1987,Mercedes-Benz,en-US
1987,Mercury,en-US
1987,Mitsubishi,en-US
1987,Nissan,en-US
1987,Oldsmobile,en-US
1987,Plymouth,en-US
1987,Pontiac,en-US
1987,Porsche,en-US
1987,Rolls-Royce,en-US
1987,Saab,en-US
1987,Subaru,en-US
1987,Suzuki,en-US
1987,Toyota,en-US
1987,Volkswagen,en-US
1987,Volvo,en-US
1987,Yugo,en-US
