Year,Make,Locale
1981,Alfa Romeo,en-US
1981,AMC,en-US
1981,Audi,en-US
1981,BMW,en-US
1981,Buick,en-US
1981,Cadillac,en-US
1981,Chevrolet,en-US
1981,Chrysler,en-US
1981,Datsun,en-US
1981,DeLorean,en-US
1981,Dodge,en-US
1981,Ferrari,en-US
1981,FIAT,en-US
1981,Ford,en-US
1981,GMC,en-US
1981,Honda,en-US
1981,Isuzu,en-US
1981,Jaguar,en-US
1981,Jeep,en-US
1981,Lincoln,en-US
1981,Mazda,en-US
1981,Mercedes-Benz,en-US
1981,Mercury,en-US
1981,Oldsmobile,en-US
1981,Plymouth,en-US
1981,Pontiac,en-US
1981,Porsche,en-US
1981,Rolls-Royce,en-US
1981,Saab,en-US
1981,Subaru,en-US
1981,Toyota,en-US
1981,Volkswagen,en-US
1981,Volvo,en-US
