Year,Make,Locale
2001,Acura,en-US
2001,Aston Martin,en-US
2001,Audi,en-US
2001,Bentley,en-US
2001,BMW,en-US
2001,Buick,en-US
2001,Cadillac,en-US
2001,Chevrolet,en-US
2001,Chrysler,en-US
2001,Daewoo,en-US
2001,Dodge,en-US
2001,Ferrari,en-US
2001,Ford,en-US
2001,GMC,en-US
2001,Honda,en-US
2001,HUMMER,en-US
2001,Hyundai,en-US
2001,Infiniti,en-US
2001,Isuzu,en-US
2001,Jaguar,en-US
2001,Jeep,en-US
2001,Kia,en-US
2001,Lamborghini,en-US
2001,Land Rover,en-US
2001,Lexus,en-US
2001,Lincoln,en-US
2001,Lotus,en-US
2001,Mazda,en-US
2001,Mercedes-Benz,en-US
2001,Mercury,en-US
2001,Mitsubishi,en-US
2001,Nissan,en-US
2001,Oldsmobile,en-US
2001,Plymouth,en-US
2001,Pontiac,en-US
2001,Porsche,en-US
2001,Rolls-Royce,en-US
2001,Saab,en-US
2001,Saturn,en-US
2001,Subaru,en-US
2001,Suzuki,en-US
2001,Toyota,en-US
2001,Volkswagen,en-US
2001,Volvo,en-US
