Year,Make,Locale
1995,Acura,en-US
1995,Alfa Romeo,en-US
1995,Audi,en-US
1995,Bentley,en-US
1995,BMW,en-US
1995,Buick,en-US
1995,Cadillac,en-US
1995,Chevrolet,en-US
1995,Chrysler,en-US
1995,Dodge,en-US
1995,Eagle,en-US
1995,Ferrari,en-US
1995,Ford,en-US
1995,Geo,en-US
1995,GMC,en-US
1995,Honda,en-US
1995,HUMMER,en-US
1995,Hyundai,en-US
1995,Infiniti,en-US
1995,Isuzu,en-US
1995,Jaguar,en-US
1995,Jeep,en-US
1995,Kia,en-US
1995,Lamborghini,en-US
1995,Land Rover,en-US
1995,Lexus,en-US
1995,Lincoln,en-US
1995,Lotus,en-US
1995,Mazda,en-US
1995,Mercedes-Benz,en-US
1995,Mercury,en-US
1995,Mitsubishi,en-US
1995,Nissan,en-US
1995,Oldsmobile,en-US
1995,Plymouth,en-US
1995,Pontiac,en-US
1995,Porsche,en-US
1995,Rolls-Royce,en-US
1995,Saab,en-US
1995,Saturn,en-US
1995,Subaru,en-US
1995,Suzuki,en-US
1995,Toyota,en-US
1995,Volkswagen,en-US
1995,Volvo,en-US
