Year,Make,Locale
2015,Acura,en-US
2015,Alfa Romeo,en-US
2015,Aston Martin,en-US
2015,Audi,en-US
2015,Bentley,en-US
2015,BMW,en-US
2015,Buick,en-US
2015,Cadillac,en-US
2015,Chevrolet,en-US
2015,Chrysler,en-US
2015,Dodge,en-US
2015,Ferrari,en-US
2015,FIAT,en-US
2015,Ford,en-US
2015,Freightliner,en-US
2015,GMC,en-US
2015,Honda,en-US
2015,Hyundai,en-US
2015,Infiniti,en-US
2015,Jaguar,en-US
2015,Jeep,en-US
2015,Kia,en-US
2015,Lamborghini,en-US
2015,Land Rover,en-US
2015,Lexus,en-US
2015,Lincoln,en-US
2015,Maserati,en-US
2015,Mazda,en-US
2015,McLaren,en-US
2015,Mercedes-Benz,en-US
2015,MINI,en-US
2015,Mitsubishi,en-US
2015,Nissan,en-US
2015,Porsche,en-US
2015,RAM,en-US
2015,Rolls-Royce,en-US
2015,Scion,en-US
2015,smart,en-US
2015,Subaru,en-US
2015,Tesla,en-US
2015,Toyota,en-US
2015,Volkswagen,en-US
2015,Volvo,en-US
