Year,Make,Locale
2002,Acura,en-US
2002,Aston Martin,en-US
2002,Audi,en-US
2002,Bentley,en-US
2002,BMW,en-US
2002,Buick,en-US
2002,Cadillac,en-US
2002,Chevrolet,en-US
2002,Chrysler,en-US
2002,Daewoo,en-US
2002,Dodge,en-US
2002,Ferrari,en-US
2002,Ford,en-US
2002,Freightliner,en-US
2002,GMC,en-US
2002,Honda,en-US
2002,HUMMER,en-US
2002,Hyundai,en-US
2002,Infiniti,en-US
2002,Isuzu,en-US
2002,Jaguar,en-US
2002,Jeep,en-US
2002,Kia,en-US
2002,Lamborghini,en-US
2002,Land Rover,en-US
2002,Lexus,en-US
2002,Lincoln,en-US
2002,Lotus,en-US
2002,Maserati,en-US
2002,Mazda,en-US
2002,Mercedes-Benz,en-US
2002,Mercury,en-US
2002,MINI,en-US
2002,Mitsubishi,en-US
2002,Nissan,en-US
2002,Oldsmobile,en-US
2002,Pontiac,en-US
2002,Porsche,en-US
2002,Rolls-Royce,en-US
2002,Saab,en-US
2002,Saturn,en-US
2002,Subaru,en-US
2002,Suzuki,en-US
2002,Toyota,en-US
2002,Volkswagen,en-US
2002,Volvo,en-US
