Year,Make,Locale
1990,Acura,en-US
1990,Alfa Romeo,en-US
1990,Audi,en-US
1990,Bentley,en-US
1990,BMW,en-US
1990,Buick,en-US
1990,Cadillac,en-US
1990,Chevrolet,en-US
1990,Chrysler,en-US
1990,Dodge,en-US
1990,Eagle,en-US
1990,Ferrari,en-US
1990,Ford,en-US
1990,Geo,en-US
1990,GMC,en-US
1990,Honda,en-US
1990,Hyundai,en-US
1990,Infiniti,en-US
1990,Isuzu,en-US
1990,Jaguar,en-US
1990,Jeep,en-US
1990,Lamborghini,en-US
1990,Land Rover,en-US
1990,Lexus,en-US
1990,Lincoln,en-US
1990,Lotus,en-US
1990,Maserati,en-US
1990,Mazda,en-US
1990,Mercedes-Benz,en-US
1990,Mercury,en-US
1990,Mitsubishi,en-US
1990,Nissan,en-US
1990,Oldsmobile,en-US
1990,Plymouth,en-US
1990,Pontiac,en-US
1990,Porsche,en-US
1990,Rolls-Royce,en-US
1990,Saab,en-US
1990,Subaru,en-US
1990,Suzuki,en-US
1990,Toyota,en-US
1990,Volkswagen,en-US
1990,Volvo,en-US
