Year,Make,Locale
2000,Acura,en-US
2000,Aston Martin,en-US
2000,Audi,en-US
2000,Bentley,en-US
2000,BMW,en-US
2000,Buick,en-US
2000,Cadillac,en-US
2000,Chevrolet,en-US
2000,Chrysler,en-US
2000,Daewoo,en-US
2000,Dodge,en-US
2000,Ferrari,en-US
2000,FIAT,en-US
2000,Ford,en-US
2000,GMC,en-US
2000,Honda,en-US
2000,HUMMER,en-US
2000,Hyundai,en-US
2000,Infiniti,en-US
2000,Isuzu,en-US
2000,Jaguar,en-US
2000,Jeep,en-US
2000,Kia,en-US
2000,Lamborghini,en-US
2000,Land Rover,en-US
2000,Lexus,en-US
2000,Lincoln,en-US
2000,Lotus,en-US
2000,Mazda,en-US
2000,Mercedes-Benz,en-US
2000,Mercury,en-US
2000,Mitsubishi,en-US
2000,Nissan,en-US
2000,Oldsmobile,en-US
2000,Plymouth,en-US
2000,Pontiac,en-US
2000,Porsche,en-US
2000,Rolls-Royce,en-US
2000,Saab,en-US
2000,Saturn,en-US
2000,Subaru,en-US
2000,Suzuki,en-US
2000,Toyota,en-US
2000,Volkswagen,en-US
2000,Volvo,en-US
