Year,Make,Locale
1997,Acura,en-US
1997,Aston Martin,en-US
1997,Audi,en-US
1997,Bentley,en-US
1997,BMW,en-US
1997,Buick,en-US
1997,Cadillac,en-US
1997,Chevrolet,en-US
1997,Chrysler,en-US
1997,Dodge,en-US
1997,Eagle,en-US
1997,Ferrari,en-US
1997,Ford,en-US
1997,Geo,en-US
1997,GMC,en-US
1997,Honda,en-US
1997,HUMMER,en-US
1997,Hyundai,en-US
1997,Infiniti,en-US
1997,Isuzu,en-US
1997,Jaguar,en-US
1997,Jeep,en-US
1997,Kia,en-US
1997,Lamborghini,en-US
1997,Land Rover,en-US
1997,Lexus,en-US
1997,Lincoln,en-US
1997,Lotus,en-US
1997,Mazda,en-US
1997,Mercedes-Benz,en-US
1997,Mercury,en-US
1997,Mitsubishi,en-US
1997,Nissan,en-US
1997,Oldsmobile,en-US
1997,Plymouth,en-US
1997,Pontiac,en-US
1997,Porsche,en-US
1997,Rolls-Royce,en-US
1997,Saab,en-US
1997,Saturn,en-US
1997,Subaru,en-US
1997,Suzuki,en-US
1997,Toyota,en-US
1997,Volkswagen,en-US
1997,Volvo,en-US
