Year,Make,Locale
2013,Acura,en-US
2013,Aston Martin,en-US
2013,Audi,en-US
2013,Bentley,en-US
2013,BMW,en-US
2013,Buick,en-US
2013,Cadillac,en-US
2013,Chevrolet,en-US
2013,Chrysler,en-US
2013,Dodge,en-US
2013,Ferrari,en-US
2013,FIAT,en-US
2013,Ford,en-US
2013,Freightliner,en-US
2013,GMC,en-US
2013,Honda,en-US
2013,Hyundai,en-US
2013,Infiniti,en-US
2013,Jaguar,en-US
2013,Jeep,en-US
2013,Kia,en-US
2013,Lamborghini,en-US
2013,Land Rover,en-US
2013,Lexus,en-US
2013,Lincoln,en-US
2013,Lotus,en-US
2013,Maserati,en-US
2013,Mazda,en-US
2013,McLaren,en-US
2013,Mercedes-Benz,en-US
2013,MINI,en-US
2013,Mitsubishi,en-US
2013,Nissan,en-US
2013,Porsche,en-US
2013,RAM,en-US
2013,Rolls-Royce,en-US
2013,Scion,en-US
2013,smart,en-US
2013,SRT,en-US
2013,Subaru,en-US
2013,Suzuki,en-US
2013,Tesla,en-US
2013,Toyota,en-US
2013,Volkswagen,en-US
2013,Volvo,en-US
