Year,Make,Locale
1985,Alfa Romeo,en-US
1985,AMC,en-US
1985,Audi,en-US
1985,BMW,en-US
1985,Buick,en-US
1985,Cadillac,en-US
1985,Chevrolet,en-US
1985,Chrysler,en-US
1985,Datsun,en-US
1985,Dodge,en-US
1985,Ferrari,en-US
1985,FIAT,en-US
1985,Ford,en-US
1985,GMC,en-US
1985,Honda,en-US
1985,Isuzu,en-US
1985,Jaguar,en-US
1985,Jeep,en-US
1985,Lamborghini,en-US
1985,Lincoln,en-US
1985,Maserati,en-US
1985,Mazda,en-US
1985,Mercedes-Benz,en-US
1985,Mercury,en-US
1985,Mitsubishi,en-US
1985,Nissan,en-US
1985,Oldsmobile,en-US
1985,Plymouth,en-US
1985,Pontiac,en-US
1985,Porsche,en-US
1985,Rolls-Royce,en-US
1985,Saab,en-US
1985,Subaru,en-US
1985,Toyota,en-US
1985,Volkswagen,en-US
1985,Volvo,en-US
