Year,Make,Locale
1988,Acura,en-US
1988,Alfa Romeo,en-US
1988,AMC,en-US
1988,Aston Martin,en-US
1988,Audi,en-US
1988,Bentley,en-US
1988,BMW,en-US
1988,Buick,en-US
1988,Cadillac,en-US
1988,Chevrolet,en-US
1988,Chrysler,en-US
1988,Dodge,en-US
1988,Eagle,en-US
1988,Ferrari,en-US
1988,Ford,en-US
1988,GMC,en-US
1988,Honda,en-US
1988,Hyundai,en-US
1988,Isuzu,en-US
1988,Jaguar,en-US
1988,Jeep,en-US
1988,Lamborghini,en-US
1988,Land Rover,en-US
1988,Lincoln,en-US
1988,Lotus,en-US
1988,Mazda,en-US
1988,Mercedes-Benz,en-US
1988,Mercury,en-US
1988,Mitsubishi,en-US
1988,Nissan,en-US
1988,Oldsmobile,en-US
1988,Plymouth,en-US
1988,Pontiac,en-US
1988,Porsche,en-US
1988,Rolls-Royce,en-US
1988,Saab,en-US
1988,Subaru,en-US
1988,Suzuki,en-US
1988,Toyota,en-US
1988,Volkswagen,en-US
1988,Volvo,en-US
1988,Yugo,en-US
