Year,Make,Locale
1986,Acura,en-US
1986,Alfa Romeo,en-US
1986,AMC,en-US
1986,Aston Martin,en-US
1986,Audi,en-US
1986,Bentley,en-US
1986,BMW,en-US
1986,Buick,en-US
1986,Cadillac,en-US
1986,Chevrolet,en-US
1986,Chrysler,en-US
1986,Datsun,en-US
1986,Dodge,en-US
1986,Ferrari,en-US
1986,Ford,en-US
1986,GMC,en-US
1986,Honda,en-US
1986,Hyundai,en-US
1986,Isuzu,en-US
1986,Jaguar,en-US
1986,Jeep,en-US
1986,Lamborghini,en-US
1986,Lincoln,en-US
1986,Lotus,en-US
1986,Maserati,en-US
1986,Mazda,en-US
1986,Mercedes-Benz,en-US
1986,Mercury,en-US
1986,Mitsubishi,en-US
1986,Nissan,en-US
1986,Oldsmobile,en-US
1986,Plymouth,en-US
1986,Pontiac,en-US
1986,Porsche,en-US
1986,Rolls-Royce,en-US
1986,Saab,en-US
1986,Subaru,en-US
1986,Suzuki,en-US
1986,Toyota,en-US
1986,Volkswagen,en-US
1986,Volvo,en-US
1986,Yugo,en-US
