year,sex,rank,name,size,perc,total_size,total_perc
2011,M,24,Owen,255,0.6,"7,527",16.9
2004,M,25,Noah,255,0.6,8661,20.6
2003,F,11,Alexis,255,0.6,3951,10.0
1991,F,20,Melissa,255,0.7,8683,22.2
1989,M,39,Travis,255,0.7,18372,47.6
1984,F,23,Angela,255,0.8,9458,28.2
1980,F,24,Crystal,255,0.8,9628,29.2
2012,F,8,Elizabeth,254,0.6,"2,833",6.6
2010,M,23,Joseph,254,0.6,"7,354",16.6
2008,M,27,Jack,254,0.6,8705,18.9
2007,M,29,Jackson,254,0.6,9492,20.8
2005,M,25,Jack,254,0.6,8405,19.9
2004,M,26,Elijah,254,0.6,8915,21.2
2003,M,26,Evan,254,0.6,9079,22.1
1999,F,16,Grace,254,0.7,5461,14.1
1998,F,14,Rachel,254,0.7,5167,13.3
1997,F,14,Amanda,254,0.7,5254,13.8
1997,M,29,Christian,254,0.6,12193,30.5
1990,F,27,Michelle,254,0.7,10803,27.9
1989,M,40,Samuel,254,0.7,18626,48.2
1981,F,25,Tiffany,254,0.7,10160,29.9
2012,M,24,Isaac,253,0.6,"7,386",16.5
2011,M,25,Henry,253,0.6,"7,780",17.4
2009,M,23,Nathan,253,0.6,"7,536",16.5
2009,M,24,Owen,253,0.6,"7,789",17.0
2004,M,27,Christopher,253,0.6,9168,21.8
1992,M,39,Jesse,253,0.6,17864,43.4
1992,M,40,Taylor,253,0.6,18117,44.0
1987,F,19,Laura,253,0.7,8507,25.0
1986,F,22,Christina,253,0.7,9189,27.1
1985,M,38,Jesse,253,0.7,18575,51.8
2009,M,25,Jack,252,0.6,"8,041",17.6
2007,M,30,Tyler,252,0.6,9744,21.3
2006,M,28,Jackson,252,0.6,9220,20.7
2003,M,27,Christopher,252,0.6,9331,22.7
2002,M,29,Isaac,252,0.6,10064,24.9
1984,M,37,Jesse,252,0.7,18383,51.9
2013,F,10,Charlotte,251,0.6,3178,7.6
2010,M,24,Caleb,251,0.6,"7,605",17.2
2010,M,25,Nathan,251,0.6,"7,856",17.8
2004,F,12,Alexis,251,0.6,4034,10.2
2002,M,30,James,251,0.6,10315,25.5
2001,F,14,Anna,251,0.6,4725,12.1
2001,F,15,Taylor,251,0.6,4976,12.8
2000,M,32,Jordan,251,0.6,11996,28.9
1998,M,34,Robert,251,0.6,12913,31.6
1996,M,31,Dylan,251,0.6,13043,32.6
1991,M,40,Travis,251,0.6,18819,46.0
2013,M,22,David,250,0.6,"6,770",15.1
2010,M,26,Owen,250,0.6,"8,106",18.3
2003,F,12,Hailey,250,0.6,4201,10.6
1997,M,30,Connor,250,0.6,12443,31.1
2012,M,25,David,249,0.6,"7,635",17.1
2010,F,10,Chloe,249,0.6,"3,399",8.0
2007,M,31,Mason,249,0.5,9993,21.9
2005,F,12,Elizabeth,249,0.6,3958,9.8
1995,F,14,Anna,249,0.7,5336,14.0
1991,M,41,Timothy,249,0.6,19068,46.6
1988,M,40,Richard,249,0.7,18566,50.0
1984,M,38,Jeremy,249,0.7,18632,52.6
1984,M,39,Zachary,249,0.7,18881,53.3
1982,F,26,Lisa,249,0.7,10236,30.1
2013,M,23,Andrew,248,0.6,"7,018",15.7
2009,M,26,Isaac,248,0.5,"8,289",18.1
2008,F,12,Lily,248,0.6,"4,049",9.2
2008,M,28,Gavin,248,0.5,8953,19.4
2007,M,32,Jayden,248,0.5,10241,22.4
2006,M,29,Owen,248,0.6,9468,21.3
2003,M,28,Cameron,248,0.6,9579,23.4
2000,M,33,Christian,248,0.6,12244,29.5
1997,M,31,Aaron,248,0.6,12691,31.7
1989,F,22,Chelsea,248,0.7,9552,25.9
1988,M,41,Samuel,248,0.7,18814,50.6
1984,F,24,Laura,248,0.7,9706,29.0
2013,M,24,Owen,247,0.6,"7,265",16.2
2010,M,27,Joshua,247,0.6,"8,353",18.9
2009,M,27,Mason,247,0.5,"8,536",18.7
2006,M,30,Austin,247,0.6,9715,21.8
2005,M,26,Isaac,247,0.6,8652,20.4
1995,M,31,Thomas,247,0.6,13590,34.6
1991,F,21,Rebecca,247,0.6,8930,22.9
2008,M,29,Isaac,246,0.5,9199,20.0
2003,M,29,Isaac,246,0.6,9825,24.0
2001,F,16,Megan,246,0.6,5222,13.4
1994,F,14,Stephanie,246,0.7,5674,15.0
1991,F,22,Danielle,246,0.6,9176,23.5
1990,F,28,Laura,246,0.6,11049,28.5
1987,M,40,Derek,246,0.7,18553,51.3
2007,M,33,Jonathan,245,0.5,10486,22.9
2005,M,27,Christopher,245,0.6,8897,21.0
2002,M,31,John,245,0.6,10560,26.1
1997,M,32,Cody,245,0.6,12936,32.3
1996,F,14,Alyssa,245,0.6,5140,13.6
1994,M,33,Thomas,245,0.6,14822,37.5
1992,F,21,Shelby,245,0.6,8254,21.3
1992,M,41,Timothy,245,0.6,18362,44.6
1986,M,38,Jesse,245,0.7,18069,50.8
2013,M,25,Jack,244,0.5,"7,509",16.8
2009,M,28,Jonathan,244,0.5,"8,780",19.2
2009,M,29,Joseph,244,0.5,"9,024",19.7
2006,M,31,Isaac,244,0.5,9959,22.4
2005,M,28,Jonathan,244,0.6,9141,21.6
2002,M,32,Jonathan,244,0.6,10804,26.7
2000,F,17,Lauren,244,0.6,5740,14.6
1995,M,32,Kevin,244,0.6,13834,35.2
1987,M,41,Scott,244,0.7,18797,52.0
1985,F,21,Erin,244,0.7,9263,27.0
1983,F,24,Kimberly,244,0.7,10057,30.2
1982,M,38,Thomas,244,0.7,18802,52.9
1980,M,37,Mark,244,0.7,18354,52.7
2009,M,30,Ryan,243,0.5,"9,267",20.3
2003,F,13,Sophia,243,0.6,4444,11.3
1993,M,34,Connor,243,0.6,15664,38.9
1990,M,39,Samuel,243,0.6,19142,47.1
1989,F,23,Rebecca,243,0.7,9795,26.5
1989,M,41,Jeremy,243,0.6,18869,48.9
1986,M,39,Patrick,243,0.7,18312,51.5
1985,F,22,Brittany,243,0.7,9506,27.7
1982,M,39,Paul,243,0.7,19045,53.6
2008,F,13,Natalie,242,0.5,"4,291",9.7
2003,F,14,Ashley,242,0.6,4686,11.9
2003,M,30,Elijah,242,0.6,10067,24.5
1990,M,40,Cameron,242,0.6,19384,47.7
1985,M,39,Richard,242,0.7,18817,52.5
1984,F,25,Sara,242,0.7,9948,29.7
2004,M,28,Austin,241,0.6,9409,22.3
2004,M,29,Brandon,241,0.6,9650,22.9
2003,M,31,Austin,241,0.6,10308,25.1
2002,M,33,Brandon,241,0.6,11045,27.3
1997,F,15,Lauren,241,0.6,5495,14.4
1991,F,23,Heather,241,0.6,9417,24.1
1989,F,24,Katherine,241,0.7,10036,27.2
2011,M,26,Anthony,240,0.5,"8,020",18.0
2009,M,31,Caleb,240,0.5,"9,507",20.8
2008,F,14,Samantha,240,0.5,"4,531",10.3
2005,M,29,Aiden,240,0.6,9381,22.2
2002,F,15,Jessica,240,0.6,4792,12.4
1987,M,42,Jordan,240,0.7,19037,52.7
1983,F,25,Tiffany,240,0.7,10297,30.9
1982,M,40,Sean,240,0.7,19285,54.3
2003,F,15,Anna,239,0.6,4925,12.5
1999,F,17,Anna,239,0.6,5700,14.7
1988,F,21,Kelsey,239,0.7,8967,25.4
2013,F,11,Amelia,238,0.6,3416,8.2
2013,M,26,Gabriel,238,0.5,"7,747",17.3
2006,F,14,Hailey,238,0.6,4500,10.6
2005,F,13,Natalie,238,0.6,4196,10.4
2004,M,30,Evan,238,0.6,9888,23.5
2003,F,16,Sarah,238,0.6,5163,13.1
1999,M,33,Hunter,238,0.6,12435,30.5
1998,F,15,Alyssa,238,0.6,5405,13.9
1998,M,35,Hunter,238,0.6,13151,32.2
1997,F,16,Olivia,238,0.6,5733,15.0
1990,M,41,Patrick,238,0.6,19622,48.3
1985,F,23,Angela,238,0.7,9744,28.4
1981,F,26,Laura,238,0.7,10398,30.6
1980,F,25,Andrea,238,0.7,9866,29.9
1980,M,38,Kyle,238,0.7,18592,53.4
2006,M,32,Caleb,237,0.5,10196,22.9
2005,F,14,Ella,237,0.6,4433,11.0
2001,F,17,Alyssa,237,0.6,5459,14.0
2001,M,31,Christian,237,0.6,10948,27.0
1995,F,15,Courtney,237,0.6,5573,14.7
1989,M,42,Jason,237,0.6,19106,49.5
1987,F,20,Christina,237,0.7,8744,25.7
1986,M,40,Richard,237,0.7,18549,52.2
1984,F,26,Jamie,237,0.7,10185,30.4
2011,M,27,Matthew,236,0.5,"8,256",18.5
2010,M,28,Lucas,236,0.5,"8,589",19.4
2008,M,30,Tyler,236,0.5,9435,20.5
2004,M,31,Gabriel,236,0.6,10124,24.0
2002,M,34,Jose,236,0.6,11281,27.9
2001,M,32,Kyle,236,0.6,11184,27.5
1993,F,19,Danielle,236,0.6,7292,18.9
1992,F,22,Lauren,236,0.6,8490,21.9
1990,M,42,Jeffrey,236,0.6,19858,48.8
1987,M,43,Jesse,236,0.7,19273,53.3
1983,M,40,Mark,236,0.7,19601,55.4
1981,F,27,Sara,236,0.7,10634,31.3
1981,M,40,Paul,236,0.7,19506,54.5
2009,M,32,Lucas,235,0.5,"9,742",21.3
2008,M,31,Evan,235,0.5,9670,21.0
1990,M,43,Taylor,235,0.6,20093,49.4
1980,M,39,Chad,235,0.7,18827,54.1
2011,M,28,Joshua,234,0.5,"8,490",19.0
2007,M,34,Caleb,234,0.5,10720,23.5
2007,M,35,Jose,234,0.5,10954,24.0
2005,M,30,Jackson,234,0.6,9615,22.7
2003,M,32,Connor,234,0.6,10542,25.7
1999,M,34,Robert,234,0.6,12669,31.0
1997,M,33,Robert,234,0.6,13170,32.9
1994,M,34,Jesse,234,0.6,15056,38.1
1987,F,21,Kayla,234,0.7,8978,26.3
1985,F,24,Sara,234,0.7,9978,29.0
1982,M,41,Mark,234,0.7,19519,54.9
1980,F,26,Shannon,234,0.7,10100,30.6
2011,F,8,Madison,233,0.6,"2,792",6.6
2008,M,32,Wyatt,233,0.5,9903,21.5
2007,F,13,Samantha,233,0.5,4387,10.1
2006,M,33,Evan,233,0.5,10429,23.4
2006,M,34,Gavin,233,0.5,10662,23.9
2006,M,35,Isaiah,233,0.5,10895,24.5
2001,M,33,Hunter,233,0.6,11417,28.1
1994,F,15,Courtney,233,0.6,5907,15.6
1990,M,44,Austin,233,0.6,20326,50.0
1987,F,22,Sara,233,0.7,9211,27.0
1986,M,41,Scott,233,0.7,18782,52.8
1985,F,25,Kimberly,233,0.7,10211,29.7
1984,M,40,Patrick,233,0.7,19114,54.0
1983,F,26,Laura,233,0.7,10530,31.6
1982,M,42,Dustin,233,0.7,19752,55.6
2011,F,9,Chloe,232,0.5,"3,024",7.1
2010,F,11,Ella,232,0.5,"3,631",8.6
2007,F,14,Chloe,232,0.5,4619,10.7
2007,F,15,Natalie,232,0.5,4851,11.2
2006,F,15,Chloe,232,0.5,4732,11.2
1999,M,35,Connor,232,0.6,12901,31.6
1997,F,17,Alyssa,232,0.6,5965,15.7
1993,M,35,Thomas,232,0.6,15896,39.5
1992,F,23,Michelle,232,0.6,8722,22.5
1991,F,24,Michelle,232,0.6,9649,24.7
2008,M,33,Christopher,231,0.5,10134,22.0
2003,M,33,Jonathan,231,0.6,10773,26.3
2002,F,16,Lauren,231,0.6,5023,13.0
1999,F,18,Kayla,231,0.6,5931,15.3
1994,F,16,Lauren,231,0.6,6138,16.2
1989,M,43,Richard,231,0.6,19337,50.1
1988,F,22,Rebecca,231,0.7,9198,26.0
1985,F,26,Tiffany,231,0.7,10442,30.4
2012,F,9,Mia,230,0.5,"3,063",7.2
2004,F,13,Ella,230,0.6,4264,10.8
2003,M,34,Brandon,230,0.6,11003,26.8
2001,M,34,Justin,230,0.6,11647,28.7
1996,F,15,Alexis,230,0.6,5370,14.2
1992,M,42,Travis,230,0.6,18592,45.1
1985,F,27,Andrea,230,0.7,10672,31.1
1985,F,28,Katie,230,0.7,10902,31.7
1981,M,41,Dustin,230,0.6,19736,55.1
2012,F,10,Ella,229,0.5,"3,292",7.7
2005,F,15,Alexis,229,0.6,4662,11.6
2005,M,31,Nicholas,229,0.5,9844,23.3
2004,M,32,Jonathan,229,0.5,10353,24.6
2002,M,35,Justin,229,0.6,11510,28.5
2000,F,18,Hailey,229,0.6,5969,15.1
1998,F,16,Abigail,229,0.6,5634,14.5
1997,F,18,Nicole,229,0.6,6194,16.3
1996,M,32,Thomas,229,0.6,13272,33.2
1993,M,36,Cameron,229,0.6,16125,40.0
1991,M,42,Cameron,229,0.6,19297,47.2
1988,F,23,Christina,229,0.6,9427,26.7
1988,F,24,Courtney,229,0.6,9656,27.3
2012,M,26,Anthony,228,0.5,"7,863",17.6
2011,F,10,Elizabeth,228,0.5,"3,252",7.7
2004,M,33,Jackson,228,0.5,10581,25.1
2003,M,35,Aidan,228,0.6,11231,27.4
2001,F,18,Isabella,228,0.6,5687,14.6
1996,F,16,Nicole,228,0.6,5598,14.8
1994,F,17,Alyssa,228,0.6,6366,16.8
1994,F,18,Brittany,228,0.6,6594,17.4
1993,F,20,Courtney,228,0.6,7520,19.5
1991,F,25,Amber,228,0.6,9877,25.3
1989,M,44,Derek,228,0.6,19565,50.7
1980,M,40,Charles,228,0.7,19055,54.7
2011,F,11,Ella,227,0.5,"3,479",8.2
2009,F,11,Natalie,227,0.5,3695,8.5
2009,M,33,Gavin,227,0.5,"9,969",21.8
2007,M,36,Evan,227,0.5,11181,24.5
2007,M,37,Lucas,227,0.5,11408,25.0
2006,F,16,Mia,227,0.5,4959,11.7
2003,M,36,Jose,227,0.6,11458,27.9
1999,F,19,Lauren,227,0.6,6158,15.9
1995,F,16,Nicole,227,0.6,5800,15.3
1993,F,21,Rebecca,227,0.6,7747,20.1
1992,F,24,Katherine,227,0.6,8949,23.1
1991,F,26,Courtney,227,0.6,10104,25.9
1988,M,42,Jeremy,227,0.6,19041,51.2
1988,M,43,Scott,227,0.6,19268,51.8
1986,F,23,Katie,227,0.7,9416,27.8
2013,M,27,Joseph,226,0.5,"7,973",17.8
2011,F,12,Natalie,226,0.5,"3,705",8.8
2009,F,12,Addison,226,0.5,3921,9.0
2008,M,34,Hunter,226,0.5,10360,22.5
2007,F,16,Lily,226,0.5,5077,11.7
2002,M,36,Kyle,226,0.6,11736,29.0
2000,M,34,Thomas,226,0.5,12470,30.0
1996,M,33,Kevin,226,0.6,13498,33.7
1989,F,25,Laura,226,0.6,10262,27.8
1988,F,25,Lauren,226,0.6,9882,28.0
1985,F,29,Katherine,226,0.7,11128,32.4
1984,F,27,Kimberly,226,0.7,10411,31.1
1982,F,27,Laura,226,0.7,10462,30.8
1982,M,43,Patrick,226,0.6,19978,56.2
2010,M,29,Matthew,225,0.5,"8,814",19.9
2004,M,34,Jose,225,0.5,10806,25.7
1991,F,27,Alyssa,225,0.6,10329,26.5
1991,M,43,Jeffrey,225,0.6,19522,47.7
1991,M,44,Patrick,225,0.6,19747,48.3
1990,M,45,Adam,225,0.6,20551,50.5
1987,F,23,Amy,225,0.7,9436,27.7
1980,M,41,Sean,225,0.6,19280,55.4
2007,M,38,Isaiah,224,0.5,11632,25.5
2004,M,35,Gavin,224,0.5,11030,26.2
2003,F,17,Chloe,224,0.6,5387,13.7
2002,F,17,Anna,224,0.6,5247,13.6
2001,M,35,Connor,224,0.6,11871,29.2
1987,F,24,Rebecca,224,0.7,9660,28.3
1985,F,30,Jamie,224,0.7,11352,33.0
1985,M,40,Scott,224,0.6,19041,53.1
1984,F,28,Andrea,224,0.7,10635,31.7
2010,M,30,Wyatt,223,0.5,"9,037",20.4
2009,F,13,Ella,223,0.5,4144,9.5
2007,F,17,Ella,223,0.5,5300,12.3
2006,F,17,Ella,223,0.5,5182,12.2
2006,M,36,Jonathan,223,0.5,11118,25.0
2002,F,18,Hailey,223,0.6,5470,14.2
2002,M,37,Connor,223,0.6,11959,29.6
2000,F,19,Sydney,223,0.6,6192,15.7
1985,F,31,Crystal,223,0.6,11575,33.7
1983,F,27,Andrea,223,0.7,10753,32.3
2012,F,11,Evelyn,222,0.5,"3,514",8.2
2011,F,13,Grace,222,0.5,"3,927",9.3
2011,M,29,Caleb,222,0.5,"8,712",19.5
2009,F,14,Lily,222,0.5,4366,10.0
2008,F,15,Ella,222,0.5,"4,753",10.8
2005,M,32,Evan,222,0.5,10066,23.8
2004,F,14,Ashley,222,0.6,4486,11.3
2004,F,15,Hailey,222,0.6,4708,11.9
2004,M,36,Mason,222,0.5,11252,26.7
2002,F,19,Taylor,222,0.6,5692,14.8
1995,M,33,Christian,222,0.6,14056,35.8
1993,M,37,Taylor,222,0.6,16347,40.6
1992,F,25,Courtney,222,0.6,9171,23.7
1987,M,44,Cody,222,0.6,19495,53.9
1987,M,45,Patrick,222,0.6,19717,54.6
1983,F,28,Lisa,222,0.7,10975,32.9
1983,M,41,Paul,222,0.6,19823,56.1
1982,M,44,Charles,222,0.6,20200,56.8
2008,M,35,Caleb,221,0.5,10581,23.0
2008,M,36,Owen,221,0.5,10802,23.4
2001,M,36,Isaac,221,0.5,12092,29.8
2000,F,20,Alyssa,221,0.6,6413,16.3
1990,M,46,Derek,221,0.5,20772,51.1
1988,F,26,Chelsea,221,0.6,10103,28.6
1983,F,29,Danielle,221,0.7,11196,33.6
2013,M,28,Hunter,220,0.5,"8,193",18.3
2011,M,30,Jack,220,0.5,"8,932",20.0
2011,M,31,Joseph,220,0.5,"9,152",20.5
2009,M,34,Landon,220,0.5,"10,189",22.3
2009,M,35,Wyatt,220,0.5,"10,409",22.8
2004,F,16,Anna,220,0.6,4928,12.4
2004,F,17,Chloe,220,0.6,5148,13.0
2004,F,18,Natalie,220,0.6,5368,13.6
2002,M,38,Isaiah,220,0.5,12179,30.1
2001,F,19,Chloe,220,0.6,5907,15.2
1996,M,34,Aaron,220,0.5,13718,34.3
1995,M,34,Dylan,220,0.6,14276,36.4
1994,F,19,Brianna,220,0.6,6814,18.0
1992,F,26,Melissa,220,0.6,9391,24.3
1992,M,43,Trevor,220,0.5,18812,45.7
1989,F,26,Courtney,220,0.6,10482,28.4
1988,M,44,Jesse,220,0.6,19488,52.4
1987,F,25,Kelsey,220,0.6,9880,29.0
1987,F,26,Tiffany,220,0.6,10100,29.6
1986,F,24,Kimberly,220,0.6,9636,28.5
1982,F,28,Danielle,220,0.6,10682,31.5
2004,M,37,Christian,219,0.5,11471,27.2
2004,M,38,Connor,219,0.5,11690,27.8
2003,M,37,Hunter,219,0.5,11677,28.5
2002,F,20,Sophia,219,0.6,5911,15.3
2002,M,39,Mason,219,0.5,12398,30.6
2001,F,20,Hailey,219,0.6,6126,15.7
1999,M,36,Thomas,219,0.5,13120,32.1
1995,F,17,Brittany,219,0.6,6019,15.8
1993,M,38,Jesse,219,0.5,16566,41.1
1992,F,27,Amber,219,0.6,9610,24.8
1984,F,29,Katie,219,0.7,10854,32.4
1984,M,41,Scott,219,0.6,19333,54.6
2013,F,12,Elizabeth,218,0.5,3634,8.7
2012,M,27,Carter,218,0.5,"8,081",18.1
2008,M,37,Angel,218,0.5,11020,23.9
2006,M,37,Jose,218,0.5,11336,25.5
2005,F,16,Ashley,218,0.5,4880,12.1
2005,M,33,Caleb,218,0.5,10284,24.3
2003,F,18,Jessica,218,0.6,5605,14.2
2002,M,40,Noah,218,0.5,12616,31.2
1999,F,20,Sydney,218,0.6,6376,16.5
1994,F,20,Jennifer,218,0.6,7032,18.6
1993,F,22,Alyssa,218,0.6,7965,20.7
1990,F,29,Christina,218,0.6,11267,29.1
2010,F,12,Lily,217,0.5,"3,848",9.1
2005,M,34,Mason,217,0.5,10501,24.8
2003,F,19,Alyssa,217,0.5,5822,14.8
2000,M,35,Jose,217,0.5,12687,30.5
1986,F,25,Rebecca,217,0.6,9853,29.1
1985,M,41,Mark,217,0.6,19258,53.7
2013,F,13,Avery,216,0.5,3850,9.2
2013,M,29,Jayden,216,0.5,"8,409",18.8
2012,M,28,Nathan,216,0.5,"8,297",18.6
2012,M,29,Ryan,216,0.5,"8,513",19.0
2011,F,14,Evelyn,216,0.5,"4,143",9.8
2011,M,32,Isaac,216,0.5,"9,368",21.0
2010,M,31,Jonathan,216,0.5,"9,253",20.9
2009,F,15,Mia,216,0.5,4582,10.5
2008,F,16,Hannah,216,0.5,"4,969",11.2
2006,M,38,Jayden,216,0.5,11552,25.9
2004,M,39,Aidan,216,0.5,11906,28.3
2002,F,21,Natalie,216,0.6,6127,15.9
2002,M,41,Jackson,216,0.5,12832,31.7
1999,F,21,Rachel,216,0.6,6592,17.0
1996,M,35,Connor,216,0.5,13934,34.8
1994,M,35,Christian,216,0.5,15272,38.6
1983,F,30,Katie,216,0.6,11412,34.2
1981,F,28,Shannon,216,0.6,10850,31.9
2012,M,30,Caleb,215,0.5,"8,728",19.5
2010,F,13,Natalie,215,0.5,"4,063",9.6
2010,M,32,Henry,215,0.5,"9,468",21.4
2009,F,16,Alexis,215,0.5,4797,11.0
2006,M,39,Nicholas,215,0.5,11767,26.4
2005,M,35,Gavin,215,0.5,10716,25.3
2005,M,36,Jose,215,0.5,10931,25.8
2005,M,37,Lucas,215,0.5,11146,26.3
2005,M,38,Luke,215,0.5,11361,26.8
2004,F,19,Sarah,215,0.5,5583,14.1
2001,F,21,Lauren,215,0.6,6341,16.3
2001,M,37,Caleb,215,0.5,12307,30.3
2000,F,21,Chloe,215,0.5,6628,16.8
1994,F,21,Alexis,215,0.6,7247,19.2
1994,F,22,Anna,215,0.6,7462,19.7
1993,F,23,Alexandra,215,0.6,8180,21.2
1991,M,45,Jason,215,0.5,19962,48.8
1986,F,26,Erin,215,0.6,10068,29.7
1983,M,42,Dustin,215,0.6,20038,56.7
2013,M,30,Carter,214,0.5,"8,623",19.3
2011,M,33,Carter,214,0.5,"9,582",21.5
2010,M,33,Evan,214,0.5,"9,682",21.9
2007,M,39,Nicholas,214,0.5,11846,25.9
1996,F,17,Anna,214,0.6,5812,15.4
1995,F,18,Alexis,214,0.6,6233,16.4
1994,F,23,Madison,214,0.6,7676,20.3
1994,M,36,Eric,214,0.5,15486,39.1
1994,M,37,Taylor,214,0.5,15700,39.7
1993,M,39,Timothy,214,0.5,16780,41.7
1992,F,28,Alyssa,214,0.6,9824,25.4
1987,F,27,Katherine,214,0.6,10314,30.3
2009,M,36,Christopher,213,0.5,"10,622",23.2
2006,F,18,Sarah,213,0.5,5395,12.8
2006,M,40,Aidan,213,0.5,11980,26.9
2004,F,20,Ava,213,0.5,5796,14.6
1997,M,34,Thomas,213,0.5,13383,33.4
1995,M,35,Jason,213,0.5,14489,36.9
1990,F,30,Anna,213,0.5,11480,29.6
1989,M,45,Jared,213,0.6,19778,51.2
1988,F,27,Amy,213,0.6,10316,29.2
1980,F,27,Emily,213,0.6,10313,31.3
2013,M,31,Matthew,212,0.5,"8,835",19.7
2010,M,34,Landon,212,0.5,"9,894",22.4
2008,M,38,Jonathan,212,0.5,11232,24.4
2005,F,17,Anna,212,0.5,5092,12.6
2003,M,38,John,212,0.5,11889,29.0
2003,M,39,Jordan,212,0.5,12101,29.5
2001,M,38,Thomas,212,0.5,12519,30.8
2000,M,36,Isaac,212,0.5,12899,31.0
1997,M,35,Noah,212,0.5,13595,34.0
1990,M,47,Trevor,212,0.5,20984,51.6
1989,F,27,Katie,212,0.6,10694,29.0
2012,M,31,Jack,211,0.5,"8,939",20.0
2007,M,40,Austin,211,0.5,12057,26.4
2006,F,19,Alexis,211,0.5,5606,13.3
2004,M,40,Jack,211,0.5,12117,28.8
2002,M,42,Christian,211,0.5,13043,32.2
2000,M,37,Connor,211,0.5,13110,31.5
1998,F,17,Lauren,211,0.5,5845,15.1
1998,M,36,Thomas,211,0.5,13362,32.7
1995,M,36,Eric,211,0.5,14700,37.4
1988,M,45,Patrick,211,0.6,19699,53.0
1984,F,30,Lindsey,211,0.6,11065,33.0
1984,M,42,Dustin,211,0.6,19544,55.2
2012,F,12,Chloe,210,0.5,"3,724",8.7
2012,M,32,Matthew,210,0.5,"9,149",20.5
2011,F,15,Mia,210,0.5,"4,353",10.3
2010,M,35,Gavin,210,0.5,"10,104",22.8
2008,M,39,Brandon,210,0.5,11442,24.8
2007,F,18,Addison,210,0.5,5510,12.7
2006,M,41,Hunter,210,0.5,12190,27.4
2005,F,18,Sarah,210,0.5,5302,13.2
2004,M,41,Isaiah,210,0.5,12327,29.3
2002,F,22,Chloe,210,0.5,6337,16.4
2000,M,38,Caleb,210,0.5,13320,32.0
1995,F,19,Alyssa,210,0.6,6443,17.0
1993,M,40,Steven,210,0.5,16990,42.2
1991,F,28,Katherine,210,0.5,10539,27.0
1991,M,46,Trevor,210,0.5,20172,49.3
1989,M,46,Cameron,210,0.5,19988,51.8
1988,F,28,Katherine,210,0.6,10526,29.8
1986,F,27,Andrea,210,0.6,10278,30.4
1986,F,28,Jamie,210,0.6,10488,31.0
2012,M,33,Joshua,209,0.5,"9,358",20.9
2012,M,34,Levi,209,0.5,"9,567",21.4
2011,M,34,Nathan,209,0.5,"9,791",22.0
2005,M,39,Aidan,209,0.5,11570,27.3
2001,M,39,Jordan,209,0.5,12728,31.3
1998,M,37,Caleb,209,0.5,13571,33.2
1989,F,28,Christina,209,0.6,10903,29.5
1986,F,29,Whitney,209,0.6,10697,31.6
2009,M,37,Tyler,208,0.5,"10,830",23.7
2005,F,19,Chloe,208,0.5,5510,13.7
2005,M,40,Austin,208,0.5,11778,27.8
2003,F,20,Natalie,208,0.5,6030,15.3
2000,F,22,Sophia,208,0.5,6836,17.3
1997,F,19,Kayla,208,0.5,6402,16.8
1995,M,37,Cameron,208,0.5,14908,38.0
1993,M,41,Eric,208,0.5,17198,42.7
1991,F,29,Sara,208,0.5,10747,27.5
1989,F,29,Sara,208,0.6,11111,30.1
1980,M,42,Patrick,208,0.6,19488,56.0
2012,M,35,Hunter,207,0.5,"9,774",21.9
2011,M,35,Ryan,207,0.5,"9,998",22.4
2009,M,38,Angel,207,0.5,"11,037",24.2
2008,M,40,Jose,207,0.4,11649,25.3
2006,M,42,Christian,207,0.5,12397,27.8
2000,M,39,Isaiah,207,0.5,13527,32.5
1997,M,36,Cameron,207,0.5,13802,34.5
1994,F,24,Danielle,207,0.5,7883,20.9
1994,M,38,Steven,207,0.5,15907,40.2
1989,F,30,Hannah,207,0.6,11318,30.7
1989,M,47,Patrick,207,0.5,20195,52.3
1988,F,29,Laura,207,0.6,10733,30.4
1985,M,42,Alexander,207,0.6,19465,54.3
1985,M,43,Dustin,207,0.6,19672,54.9
1984,F,31,Lisa,207,0.6,11272,33.6
2012,M,36,Oliver,206,0.5,"9,980",22.3
2008,M,41,Liam,206,0.4,11855,25.7
2007,M,41,Zachary,206,0.5,12263,26.8
2006,M,43,Lucas,206,0.5,12603,28.3
2006,M,44,Zachary,206,0.5,12809,28.8
2002,M,43,Jack,206,0.5,13249,32.7
2001,M,40,Cole,206,0.5,12934,31.8
1996,F,18,Lauren,206,0.5,6018,15.9
1990,M,48,Jeremy,206,0.5,21190,52.1
1988,F,30,Sara,206,0.6,10939,30.9
2012,F,13,Charlotte,205,0.5,"3,929",9.2
2012,F,14,Natalie,205,0.5,"4,134",9.7
2011,M,36,Jonathan,205,0.5,"10,203",22.9
2010,F,14,Grace,205,0.5,"4,268",10.1
2004,M,42,John,205,0.5,12532,29.8
2003,M,40,Jack,205,0.5,12306,30.0
2002,M,44,Thomas,205,0.5,13454,33.3
2000,M,40,Cole,205,0.5,13732,33.0
2000,M,41,Gabriel,205,0.5,13937,33.5
1999,F,22,Natalie,205,0.5,6797,17.5
1993,M,42,Brian,205,0.5,17403,43.2
1990,M,49,Jason,205,0.5,21395,52.6
1988,M,46,Cameron,205,0.6,19904,53.6
1986,F,30,Crystal,205,0.6,10902,32.2
1980,M,43,Dustin,205,0.6,19693,56.5
2005,M,41,Christian,204,0.5,11982,28.3
2001,F,22,Sophia,204,0.5,6545,16.8
