origin,dest,name,lat,lng,IndirectPrice,DirectPrice,anyPrice,kmDist,dollarPerKm
"SFOA","YTSA","","","","","","","","",
"SFOA","YTOA","Toronto","43.733333","-79.461111","322","490","490","2259.57","0.22",
"SFOA","YMQA","Montreal","45.508889","-73.554167","398","551","551","2538.15","0.22",
"SFOA","YUYA","","","","","","","","",
"SFOA","YVOA","","","","","","","","",
"SFOA","YVRA","Vancouver","49.212407","-123.161759","","308","308","790.78","0.39",
"SFOA","WINB","Winnipeg","49.899444","-97.139167","","","","1501.17","",
"SFOA","YWLA","","","","","","","","",
"SFOA","YXCA","Cranbrook","49.533333","-115.766667","","","","876.67","",
"SFOA","YXEA","Saskatoon","52.166667","-106.683333","606","","606","1251.12","0.48",
"SFOA","YXHA","Medicine Hat","50.041667","-110.6775","","","","1026.55","",
"SFOA","YXJA","Fort St John","56.233333","-120.733333","","","","1277.36","",
"SFOA","YXSA","Prince George","53.908788","-122.76947","","","","1114.51","",
"SFOA","YXTA","Terrace","54.465556","-128.574444","","","","1188.82","",
"SFOA","YXUS","","","","779","","779","","",
"SFOA","YXYA","Whitehorse","60.716667","-135.066667","","","","1677.47","",
"SFOA","YYBA","North Bay","46.365833","-79.421389","","","","2253.56","",
"SFOA","YYCA","Calgary","51.112778","-114.019722","","256","256","1008.51","0.25",
"SFOA","YYDA","","","","","","","","",
"SFOA","YYFA","Penticton","49.464722","-119.6","","","","819.41","",
"SFOA","YYGA","Charlottetown","46.286111","-63.130556","1386","","1386","3026.19","0.46",
"SFOA","YYJA","Victoria","48.422151","-123.3657","286","393","393","736.85","0.53",
"SFOA","YYTA","St John's","47.616944","-52.75","1112","","1112","3481.10","0.32",
"SFOA","YYYA","","","","","","","","",
"SFOA","YELB","Yellowknife","62.461567","-114.389648","","","","1738.95","",
"SFOA","YZPA","","","","","","","","",
"SFOA","SARN","Sarnia","43","-82.3","","","","2121.15","",
"SFOA","YZVA","Sept-Iles","50.2","-66.383333","","","","2841.09","",
"SFOA","ZBFA","Bathurst","47.617504","-65.649147","","","","2893.87","",
"SFOA","YWKA","","","","","","","","",
"SFOA","YRLA","","","","","","","","",
"SFOA","YYRA","","","","789","","789","","",
"SFOA","ACAA","Acapulco","16.755556","-99.766944","208","","208","2000.09","0.10",
"SFOA","AGUA","Aguascalientes","21.876","-102.296","291","","291","1624.69","0.18",
"SFOA","BJXS","Silao","20.94092","-101.431274","359","","359","1709.89","0.21",
"SFOA","CENA","Ciudad Obregon","27.493889","-109.938889","269","","269","1014.13","0.27",
"SFOA","CJSA","Ciudad Juarez","31.739444","-106.486944","470","","470","994.17","0.47",
"SFOA","CLQA","","","","","","","","",
"SFOA","CMEA","Ciudad Del Carmen","18.65","-91.8","","","","2267.61","",
"SFOA","CPEA","","","","734","","734","","",
"SFOA","CTMA","Chetumal","18.501424","-88.298836","","","","2447.30","",
"SFOA","CULA","Culiacan","24.764444","-107.474167","360","","360","1256.64","0.29",
"SFOA","CUNA","Cancun","21.160556","-86.8475","158","459","459","2407.58","0.19",
"SFOA","CUUA","Chihuahua","28.6525","-106.094444","297","","297","1132.19","0.26",
"SFOA","CVMA","Ciudad Victoria","23.733333","-99.133333","","","","1681.18","",
"SFOA","CZMA","Cozumel","20.510641","-86.945457","176","","176","2429.42","0.07",
"SFOA","DGOA","Durango","24.016667","-104.666667","293","","293","1413.63","0.21",
"SFOA","GDLA","Guadalajara","20.666714","-103.350342","","185","185","1642.49","0.11",
"SFOA","HMOA","Hermosillo","29.096389","-111.046111","422","","422","887.42","0.48",
"SFOA","HUXA","Huatulco","15.85","-96.333333","","","","2194.79","",
"SFOA","LAPB","La Paz","24.14","-110.32","191","","191","1181.65","0.16",
"SFOA","LMMA","Los Mochis","25.816667","-108.983333","272","","272","1140.12","0.24",
"SFOA","LTOA","","","","482","","482","","",
"SFOA","MAMA","","","","271","","271","","",
"SFOA","MEXA","Mexico City","19.417315","-99.107592","","","","1889.46","",
"SFOA","MIDA","Merida","20.933333","-89.65","283","","283","2273.15","0.12",
"SFOA","MLMA","Morelia","19.768333","-101.189444","","","","1780.69","",
"SFOA","MTTA","Minatitlan","17.98333","-94.51667","","","","2169.75","",
"SFOA","MTYA","Monterrey","25.666667","-100.3","305","","305","1539.69","0.20",
"SFOA","MZTA","Mazatlan","23.22","-106.42","412","","412","1381.10","0.30",
"SFOA","NLDA","Nuevo Laredo","27.434722","-99.566667","","","","1504.05","",
"SFOA","OAXA","Oaxaca","17.083333","-96.75","","","","2112.86","",
"SFOA","PAZA","Poza Rica","20.516667","-97.467222","","","","1909.80","",
"SFOA","PBCA","Puebla","19.05","-98.2","376","","376","1948.46","0.19",
"SFOA","PVRA","Puerto Vallarta","20.686667","-105.265","178","396","396","1564.24","0.25",
"SFOA","PXMB","Puerto Escondido","15.86667","-97.08333","","","","2161.23","",
"SFOA","QUEA","Queretaro","20.594866","-100.391693","","","","1773.11","",
"SFOA","REXA","","","","288","","288","","",
"SFOA","SJDA","San Jose Cabo","23.05","-109.683333","179","","179","1266.63","0.14",
"SFOA","SLPA","San Luis Potosi","22.177222","-100.988333","","","","1667.84","",
"SFOA","SLWA","Saltillo","25.433333","-100.983333","","","","1516.63","",
"SFOA","TAMA","Tampico","22.274444","-97.801667","","","","1811.31","",
"SFOA","TAPA","Tapachula","14.909722","-92.253056","","","","2426.39","",
"SFOA","TGZA","Tuxtla Gutierrez","16.733333","-93.183333","278","","278","2292.99","0.12",
"SFOA","TRCA","Torreon","25.568333","-103.410833","300","","300","1395.57","0.21",
"SFOA","VERA","Veracruz","19.15","-96.183333","518","","518","2035.48","0.25",
"SFOA","VSAA","Villahermosa","18","-93","","","","2240.41","",
"SFOA","ZCLA","","","","507","","507","","",
"SFOA","ZIHA","Ixtapa / Zihuatanejo","17.643333","-101.555278","","","","1878.61","",
"SFOA","ZLOA","Manzanillo","19.052222","-104.315833","278","","278","1691.61","0.16",
"SFOA","MXLA","Mexicali","32.666667","-115.466667","","","","527.67","",
"SFOA","TIJA","Tijuana","32.541389","-116.970278","265","","265","474.87","0.56",
"SFOA","TPQA","","","","551","","551","","",
"SFOA","TLCA","","","","","","","","",
