airline,country,status
Berliner Spezial Flug,Germany,Inactive
Best Air,Turkey,Inactive
Best Aviation,Bangladesh,Inactive
BEX-Business Express,USA,Inactive
BH Air - Balkan Holidays,Bulgaria,Active
BH Airlines,Bosnia-Hercegovina,Active
Bhoja Air,Pakistan,Active
Bhutan Airlines,Buthan,Active
BIA,United Kingdom,Inactive
Big Sky Airlines,USA,Inactive
Biman Bangladesh,Bangladesh,Active
Bimini Island Air,USA,Inactive
Bingo Airways,Poland,Active
Binter Canarias,Spain,Active
Bionic Aviation,South Africa,Inactive
Ber-Line,Germany,Inactive
Bering Air,USA,Active
Berjaya Air,Malaysia,Active
Berkut Air,Kazakhstan,Active
Berlin European,United Kingdom,Inactive
Berliner Spezial Flug,Germany,Inactive
Best Air,Turkey,Inactive
Best Aviation,Bangladesh,Inactive
BEX-Business Express,USA,Inactive
BH Air - Balkan Holidays,Bulgaria,Active
BH Airlines,Bosnia-Hercegovina,Active
Bhoja Air,Pakistan,Active
Bhutan Airlines,Buthan,Active
BIA,United Kingdom,Inactive
Big Sky Airlines,USA,Inactive
Biman Bangladesh,Bangladesh,Active
Bimini Island Air,USA,Inactive
Bingo Airways,Poland,Active
Binter Canarias,Spain,Active
Bionic Aviation,South Africa,Inactive
Birdy Airlines (SN Brussels),Belgium,Inactive
Birgenair,Turkey,Inactive
Bismillah Airlines,Bangladesh,Inactive
Blue 1,Finland,Active
Blue Air,Romania,Active
Blue Bird Airways,Greece,Active
Blue Bird Aviation,Kenya,Active
Blue Dart Aviation,India,Active
Blue Islands,United Kingdom,Active
Blue Line,France,Inactive
Blue Moon Aviation,USA,Inactive
Blue Panorama Airlines,Italy,Active
Blue Scandinavia,Sweden,Inactive
Blue Sky,Armenia,Inactive
Blue Wing Airlines,Surinam,Inactive
Blue Wings,Germany,Inactive
Bluebird Cargo,Iceland,Active
bmi,United Kingdom,Inactive
bmi Regional,United Kingdom,Active
bmibaby,United Kingdom,Inactive
Birdy Airlines (SN Brussels),Belgium,Inactive
Birgenair,Turkey,Inactive
Bismillah Airlines,Bangladesh,Inactive
Blue 1,Finland,Active
Blue Air,Romania,Active
Blue Bird Airways,Greece,Active
Blue Bird Aviation,Kenya,Active
Blue Dart Aviation,India,Active
Blue Islands,United Kingdom,Active
Blue Line,France,Inactive
Blue Moon Aviation,USA,Inactive
Blue Panorama Airlines,Italy,Active
Blue Scandinavia,Sweden,Inactive
Blue Sky,Armenia,Inactive
Blue Wing Airlines,Surinam,Inactive
Blue Wings,Germany,Inactive
Bluebird Cargo,Iceland,Active
bmi,United Kingdom,Inactive
bmi Regional,United Kingdom,Active
bmibaby,United Kingdom,Inactive
BOAC,United Kingdom,Inactive
Boeing,USA,Active
Boliviana de Aviacion,Bolivia,Active
Bombardier,Canada,Active
Bonair Exel,Netherlands,Inactive
Bonair Express,Netherlands Antilles,Inactive
Bopair,South Africa,Inactive
Bora Jet,Turkey,Active
Bosphorus European Airways,Turkey,Inactive
Bouraq Indonesia Airlines,Indonesia,Inactive
BQB Lineas Aereas,Uruguay,Active
BRA Transportes Aereos,Brazil,Inactive
Braathens,Norway,Inactive
Braathens Regional,Sweden,Active
Braathens-Malmo Aviation,Sweden,Inactive
Braniff Airways,USA,Inactive
Brasilian Air Force,Brazil,Active
Brasmex,Brazil,Inactive
Bravo Airlines,Spain,Inactive
Bravo Airways,Ukraine,Active
BOAC,United Kingdom,Inactive
Boeing,USA,Active
Boliviana de Aviacion,Bolivia,Active
Bombardier,Canada,Active
Bonair Exel,Netherlands,Inactive
Bonair Express,Netherlands Antilles,Inactive
Bopair,South Africa,Inactive
Bora Jet,Turkey,Active
Bosphorus European Airways,Turkey,Inactive
Bouraq Indonesia Airlines,Indonesia,Inactive
BQB Lineas Aereas,Uruguay,Active
BRA Transportes Aereos,Brazil,Inactive
Braathens,Norway,Inactive
Braathens Regional,Sweden,Active
Braathens-Malmo Aviation,Sweden,Inactive
Braniff Airways,USA,Inactive
Brasilian Air Force,Brazil,Active
Brasmex,Brazil,Inactive
Bravo Airlines,Spain,Inactive
Bravo Airways,Ukraine,Active
Bremenfly,Germany,Inactive
Bridges Worldwide,United Kingdom,Inactive
Brit Air,France,Active
Britannia AB,Sweden,Inactive
Britannia Airways,United Kingdom,Inactive
Britannia Deutschland,Germany,Inactive
British Air Ferries,United Kingdom,Inactive
British Airtours,United Kingdom,Inactive
British Airways,United Kingdom,Active
British Airways CitiExpress,United Kingdom,Inactive
British Asia Airways,United Kingdom,Inactive
British Caledonian,United Kingdom,Inactive
British Caribbean Airways,United Kingdom,Inactive
British European Airways,United Kingdom,Inactive
British Mediterranean,United Kingdom,Inactive
British Midland Airways,United Kingdom,Inactive
British Regional Airlines,United Kingdom,Inactive
British World Airways,United Kingdom,Inactive
BritishJet,Malta,Inactive
Britt Airlines,USA,Inactive
Bremenfly,Germany,Inactive
Bridges Worldwide,United Kingdom,Inactive
Brit Air,France,Active
Britannia AB,Sweden,Inactive
Britannia Airways,United Kingdom,Inactive
Britannia Deutschland,Germany,Inactive
British Air Ferries,United Kingdom,Inactive
British Airtours,United Kingdom,Inactive
British Airways,United Kingdom,Active
British Airways CitiExpress,United Kingdom,Inactive
British Asia Airways,United Kingdom,Inactive
British Caledonian,United Kingdom,Inactive
British Caribbean Airways,United Kingdom,Inactive
British European Airways,United Kingdom,Inactive
British Mediterranean,United Kingdom,Inactive
British Midland Airways,United Kingdom,Inactive
British Regional Airlines,United Kingdom,Inactive
British World Airways,United Kingdom,Inactive
BritishJet,Malta,Inactive
Britt Airlines,USA,Inactive
Brockway Air,USA,Inactive
Brunei Gvmt,Brunei Darussalam,Active
Brussels Airlines,Belgium,Active
Brussels International Airlines,Belgium,Inactive
Brymon Airways,United Kingdom,Inactive
Brymon European Airways,United Kingdom,Inactive
Budapest Air Service,Hungary,Active
Buddha Air,Nepal,Active
Buffalo Airways,Turkey,Inactive
Bukovyna Aviation Enterprise,Ukraine,Active
Bulgaria Air,Bulgaria,Active
Bulgarian Air Charter,Bulgaria,Active
Buraq Air,Libya,Active
Business Air,United Kingdom,Inactive
Business Air Thailand,Thailand,Active
Business Express,USA,Inactive
Busy Bee of Norway,Norway,Inactive
Buzz,United Kingdom,Inactive
BWIA Int,Trinidad Tobago,Inactive
Brockway Air,USA,Inactive
Brunei Gvmt,Brunei Darussalam,Active
Brussels Airlines,Belgium,Active
Brussels International Airlines,Belgium,Inactive
Brymon Airways,United Kingdom,Inactive
Brymon European Airways,United Kingdom,Inactive
Budapest Air Service,Hungary,Active
Buddha Air,Nepal,Active
Buffalo Airways,Turkey,Inactive
Bukovyna Aviation Enterprise,Ukraine,Active
Bulgaria Air,Bulgaria,Active
Bulgarian Air Charter,Bulgaria,Active
Buraq Air,Libya,Active
Business Air,United Kingdom,Inactive
Business Air Thailand,Thailand,Active
Business Express,USA,Inactive
Busy Bee of Norway,Norway,Inactive
Buzz,United Kingdom,Inactive
BWIA Int,Trinidad Tobago,Inactive
CAAC,China,Inactive
Cal Air International,United Kingdom,Inactive
Caledonian Airways,United Kingdom,Inactive
California Pacific Airlines,USA,Inactive
Calima Aviacion,Spain,Active
Calliope,Spain,Inactive
Calm Air International,Canada,Active
Camair Co,Cameroon,Active
Cambodia Airlines,Cambodia,Inactive
Cambodia Angkor Air,Cambodia,Active
Cameroon Airlines,Cameroon,Inactive
Cameroon Government,Cameroon,Inactive
Canada 3000,Canada,Inactive
Canadian Air Force,Canada,Active
Canadian Airlines,Canada,Inactive
Canadian Airways Congo,"Congo, Democratic Republic of",Active
Canadian North,Canada,Active
Canadian Regional Airlines,Canada,Inactive
Canafrica,Spain,Inactive
Canair,Canada,Inactive
Canarias Airlines,Spain,Active
Canarias Regional Air,Spain,Inactive
CanaryFly,Spain,Active
Canjet Airlines,Canada,Active
Cape Air,USA,Active
Capital Airlines,Nigeria,Active
Capital Airlines Beijing,China,Active
Capital Airlines UK,United Kingdom,Inactive
Capital Airways,USA,Inactive
Capital Cargo International Airlines,USA,Inactive
Capital Taxi Aereo,Brazil,Inactive
Capitol Air,USA,Inactive
Cardig Air Cargo,Indonesia,Active
Cardinal,Argentina,Inactive
Cargair International,"Congo, Democratic Republic of",Inactive
Cargo 360,USA,Inactive
Cargo Air,Bulgaria,Active
Cargo Air Lines,Israel,Active
Cargo B Airlines,Belgium,Inactive
Cargo Lion,Luxembourg,Inactive
Canarias Airlines,Spain,Active
Canarias Regional Air,Spain,Inactive
CanaryFly,Spain,Active
Canjet Airlines,Canada,Active
Cape Air,USA,Active
Capital Airlines,Nigeria,Active
Capital Airlines Beijing,China,Active
Capital Airlines UK,United Kingdom,Inactive
Capital Airways,USA,Inactive
Capital Cargo International Airlines,USA,Inactive
Capital Taxi Aereo,Brazil,Inactive
Capitol Air,USA,Inactive
Cardig Air Cargo,Indonesia,Active
Cardinal,Argentina,Inactive
Cargair International,"Congo, Democratic Republic of",Inactive
Cargo 360,USA,Inactive
Cargo Air,Bulgaria,Active
Cargo Air Lines,Israel,Active
Cargo B Airlines,Belgium,Inactive
Cargo Lion,Luxembourg,Inactive
CargoBis,Brazil,Inactive
CargoItalia,Italy,Inactive
CargoJet Airways,Canada,Active
Cargolux,Luxembourg,Active
Cargolux Italia,Italy,Active
Caribair,Barbados,Inactive
Caribbean Airlines,Trinidad Tobago,Active
Caribbean Airways,Barbados,Inactive
Caribbean Star,Antigua Barbuda,Inactive
Caribbean Sun,USA,Inactive
Caribbean Wind Airlines,Antigua Barbuda,Inactive
Caribjet,Antigua Barbuda,Inactive
Carnival Airlines,USA,Inactive
Carpatair,Romania,Active
Carre Aviation,United Kingdom,Active
Casino Express,USA,Inactive
Caspair Airlines,Kenya,Inactive
Caspian Airlines,Iran,Active
Caspiy,Kazakhstan,Active
Cathay Pacific,Hong-Kong,Active
CargoBis,Brazil,Inactive
CargoItalia,Italy,Inactive
CargoJet Airways,Canada,Active
Cargolux,Luxembourg,Active
Cargolux Italia,Italy,Active
Caribair,Barbados,Inactive
Caribbean Airlines,Trinidad Tobago,Active
Caribbean Airways,Barbados,Inactive
Caribbean Star,Antigua Barbuda,Inactive
Caribbean Sun,USA,Inactive
Caribbean Wind Airlines,Antigua Barbuda,Inactive
Caribjet,Antigua Barbuda,Inactive
Carnival Airlines,USA,Inactive
Carpatair,Romania,Active
Carre Aviation,United Kingdom,Active
Casino Express,USA,Inactive
Caspair Airlines,Kenya,Inactive
Caspian Airlines,Iran,Active
Caspiy,Kazakhstan,Active
Cathay Pacific,Hong-Kong,Active
Catovair,Mauritius,Inactive
Catran,Switzerland,Inactive
Caucasus Airlines,Georgia,Inactive
Cayman Airways,Cayman Islands,Active
CCAir,USA,Inactive
CCM Airlines,France,Inactive
CDI Cargo Airlines,China,Active
Cebu Pacific Airlines,Philippines,Active
Ceiba Intercontinental,Equatorial Guinea,Active
Cello Aviation,United Kingdom,Active
CemAir,South Africa,Active
Centavia,Serbia,Inactive
Centennial Air,Philippines,Inactive
Centennial AL,Spain,Inactive
Center-South,Russia,Active
CentrAfrique Air Express,Central African Republic,Active
Central Charter Airlines,Czech Republic,Inactive
Central Charter Airlines Slovakia,Slovakia,Inactive
Central Connect Airlines - CCA,Czech Republic,Active
Central Mountain Air,Canada,Active
Catovair,Mauritius,Inactive
Catran,Switzerland,Inactive
Caucasus Airlines,Georgia,Inactive
Cayman Airways,Cayman Islands,Active
CCAir,USA,Inactive
CCM Airlines,France,Inactive
CDI Cargo Airlines,China,Active
Cebu Pacific Airlines,Philippines,Active
Ceiba Intercontinental,Equatorial Guinea,Active
Cello Aviation,United Kingdom,Active
CemAir,South Africa,Active
Centavia,Serbia,Inactive
Centennial Air,Philippines,Inactive
Centennial AL,Spain,Inactive
Center-South,Russia,Active
CentrAfrique Air Express,Central African Republic,Active
Central Charter Airlines,Czech Republic,Inactive
Central Charter Airlines Slovakia,Slovakia,Inactive
Central Connect Airlines - CCA,Czech Republic,Active
Central Mountain Air,Canada,Active
Centralwings,Poland,Inactive
Centurion Air Cargo,USA,Active
Chaba Airlines,Thailand,Inactive
Chabahar Air,Iran,Inactive
Chalair Aviation,France,Active
Chalks International Airlines,USA,Inactive
ChallengAir,Belgium,Inactive
Challenge Air,USA,Inactive
Challenge Air Cargo,USA,Inactive
Challenge International,USA,Inactive
Cham Wings Airlines,Syria,Inactive
Chanchangi Airlines,Nigeria,Active
Chang An Airlines,China,Active
Channel Express,United Kingdom,Inactive
Charlan Air Charter,South Africa,Inactive
Chartair,Belgium,Inactive
Charter Air Transport,USA,Active
Chartright Air,Canada,Inactive
Chautauqua Airlines,USA,Active
CHC Airways Chad,Chad,Active
Centralwings,Poland,Inactive
Centurion Air Cargo,USA,Active
Chaba Airlines,Thailand,Inactive
Chabahar Air,Iran,Inactive
Chalair Aviation,France,Active
Chalks International Airlines,USA,Inactive
ChallengAir,Belgium,Inactive
Challenge Air,USA,Inactive
Challenge Air Cargo,USA,Inactive
Challenge International,USA,Inactive
Cham Wings Airlines,Syria,Inactive
Chanchangi Airlines,Nigeria,Active
Chang An Airlines,China,Active
Channel Express,United Kingdom,Inactive
Charlan Air Charter,South Africa,Inactive
Chartair,Belgium,Inactive
Charter Air Transport,USA,Active
Chartright Air,Canada,Inactive
Chautauqua Airlines,USA,Active
CHC Airways Chad,Chad,Active
CHC Global Operations,Canada,Inactive
CHC Helicopters International,Nigeria,Inactive
Chengdu Airlines,China,Active
Chicago Express Airlines,USA,Inactive
Chile Inter,Chile,Inactive
Chilean Air Force,Chile,Active
China Airlines,Taiwan,Active
China Cargo Airlines,China,Active
China Eastern Airlines,China,Active
China Eastern Airlines Executive,China,Active
China Eastern Yunnan Airlines,China,Active
China Express Airlines,China,Active
China General Aviation,China,Inactive
China Hainan,China,Inactive
China National Aviation Corp,China,Inactive
China Northern Airlines,China,Inactive
China Northwest Airlines,China,Inactive
China Postal Airlines,China,Active
China Sonangol,Hong-Kong,Active
China Southern Airlines,China,Active
CHC Global Operations,Canada,Inactive
CHC Helicopters International,Nigeria,Inactive
Chengdu Airlines,China,Active
Chicago Express Airlines,USA,Inactive
Chile Inter,Chile,Inactive
Chilean Air Force,Chile,Active
China Airlines,Taiwan,Active
China Cargo Airlines,China,Active
China Eastern Airlines,China,Active
China Eastern Airlines Executive,China,Active
China Eastern Yunnan Airlines,China,Active
China Express Airlines,China,Active
China General Aviation,China,Inactive
China Hainan,China,Inactive
China National Aviation Corp,China,Inactive
China Northern Airlines,China,Inactive
China Northwest Airlines,China,Inactive
China Postal Airlines,China,Active
China Sonangol,Hong-Kong,Active
China Southern Airlines,China,Active
China Southwest Airlines,China,Inactive
China United Airlines,China,Active
China West Air,China,Active
China Xinhua Airlines,China,Active
China Xinjiang Airlines,China,Inactive
China Yunnan Airlines,China,Inactive
China Zhingyuan Airlines,China,Inactive
Chongqing Airlines,China,Active
Cielos del Peru,Peru,Active
Cimber Air,Denmark,Inactive
Cimber AS,Denmark,Active
Cimber Sterling Airlines,Denmark,Inactive
CIP Transports,France,Inactive
Cirrus Airlines,Germany,Inactive
Citilink Garuda Indonesia,Indonesia,Active
City Airline,Sweden,Inactive
City Airways,Thailand,Active
City Express,Canada,Inactive
City-Air Germany,Germany,Inactive
CityBird,Belgium,Inactive
China Southwest Airlines,China,Inactive
China United Airlines,China,Active
China West Air,China,Active
China Xinhua Airlines,China,Active
China Xinjiang Airlines,China,Inactive
China Yunnan Airlines,China,Inactive
China Zhingyuan Airlines,China,Inactive
Chongqing Airlines,China,Active
Cielos del Peru,Peru,Active
Cimber Air,Denmark,Inactive
Cimber AS,Denmark,Active
Cimber Sterling Airlines,Denmark,Inactive
CIP Transports,France,Inactive
Cirrus Airlines,Germany,Inactive
Citilink Garuda Indonesia,Indonesia,Active
City Airline,Sweden,Inactive
City Airways,Thailand,Active
City Express,Canada,Inactive
City-Air Germany,Germany,Inactive
CityBird,Belgium,Inactive
Cityflyer Express,United Kingdom,Inactive
CityJet,Ireland,Active
CityLine Hungary,Hungary,Inactive
Citylink Ghana,Ghana,Active
Classic Airways,United Kingdom,Inactive
Click Mexicana,Mexico,Inactive
Clickair,Spain,Inactive
Club Air,Italy,Inactive
Club One Air,India,Active
CMC Aviation,Kenya,Active
Coast Air,Norway,Inactive
Cobham Aviation,Australia,Active
Cobra,Bolivia,Inactive
Colgan Air,USA,Inactive
Color Air,Norway,Inactive
Colt Aviation,Brazil,Active
Comair,South Africa,Active
Comair (Delta Connection),USA,Inactive
Comlux,Switzerland,Inactive
Comlux Aviation Kazakhstan,Kazakhstan,Active
Cityflyer Express,United Kingdom,Inactive
CityJet,Ireland,Active
CityLine Hungary,Hungary,Inactive
Citylink Ghana,Ghana,Active
Classic Airways,United Kingdom,Inactive
Click Mexicana,Mexico,Inactive
Clickair,Spain,Inactive
Club Air,Italy,Inactive
Club One Air,India,Active
CMC Aviation,Kenya,Active
Coast Air,Norway,Inactive
Cobham Aviation,Australia,Active
Cobra,Bolivia,Inactive
Colgan Air,USA,Inactive
Color Air,Norway,Inactive
Colt Aviation,Brazil,Active
Comair,South Africa,Active
Comair (Delta Connection),USA,Inactive
Comlux,Switzerland,Inactive
Comlux Aviation Kazakhstan,Kazakhstan,Active
Comlux Aviation Malta,Malta,Active
Command Airways,USA,Inactive
Community Airlines,Tanzania,Inactive
CommutAir,USA,Active
Comoro Islands Airlines,Comoros,Inactive
Compagnie Africaine Aviation,"Congo, Democratic Republic of",Active
Compass Airlines,Australia,Inactive
Compass Airlines USA,USA,Active
Compion Aviation South Africa,South Africa,Active
Conair,Denmark,Inactive
Condor,Germany,Active
Condor Berlin,Germany,Inactive
Congo Airlines,Georgia,Inactive
ConocoPhilips Aviation,USA,Active
Conquest Sun Airlines,USA,Inactive
Constellation International,Belgium,Inactive
Contactair,Germany,Inactive
Conti Flug,Germany,Inactive
Continent Air Paris,France,Inactive
Continental Airlines,USA,Inactive
Comlux Aviation Malta,Malta,Active
Command Airways,USA,Inactive
Community Airlines,Tanzania,Inactive
CommutAir,USA,Active
Comoro Islands Airlines,Comoros,Inactive
Compagnie Africaine Aviation,"Congo, Democratic Republic of",Active
Compass Airlines,Australia,Inactive
Compass Airlines USA,USA,Active
Compion Aviation South Africa,South Africa,Active
Conair,Denmark,Inactive
Condor,Germany,Active
Condor Berlin,Germany,Inactive
Congo Airlines,Georgia,Inactive
ConocoPhilips Aviation,USA,Active
Conquest Sun Airlines,USA,Inactive
Constellation International,Belgium,Inactive
Contactair,Germany,Inactive
Conti Flug,Germany,Inactive
Continent Air Paris,France,Inactive
Continental Airlines,USA,Inactive
Continental Express,USA,Inactive
Continental Micronesia,USA,Inactive
Continental West,USA,Inactive
Continental Wings-Comores Airlines,Comoros,Inactive
ConViasa,Venezuela,Active
COPA Airlines,Panama,Active
Copa Airlines Colombia,Colombia,Active
Corendon Air,Turkey,Active
Corendon Dutch Airlines,Netherlands,Active
Corporate Air,USA,Inactive
Corporate Express,Canada,Inactive
CorporateAir,Australia,Active
Corsair,France,Active
Corse Air,France,Inactive
Cosmic Air,Nepal,Inactive
Cosmo Airlines,Spain,Inactive
Costa Rica Skies Airlines,Costa Rica,Inactive
Court Line Aviation,United Kingdom,Inactive
Cp Air,Canada,Inactive
CR Airways,Hong-Kong,Inactive
Continental Express,USA,Inactive
Continental Micronesia,USA,Inactive
Continental West,USA,Inactive
Continental Wings-Comores Airlines,Comoros,Inactive
ConViasa,Venezuela,Active
COPA Airlines,Panama,Active
Copa Airlines Colombia,Colombia,Active
Corendon Air,Turkey,Active
Corendon Dutch Airlines,Netherlands,Active
Corporate Air,USA,Inactive
Corporate Express,Canada,Inactive
CorporateAir,Australia,Active
Corsair,France,Active
Corse Air,France,Inactive
Cosmic Air,Nepal,Inactive
Cosmo Airlines,Spain,Inactive
Costa Rica Skies Airlines,Costa Rica,Inactive
Court Line Aviation,United Kingdom,Inactive
Cp Air,Canada,Inactive
CR Airways,Hong-Kong,Inactive
Crescent Air Transport,Pakistan,Inactive
Cretan Airlines,Greece,Inactive
Croatia Airlines,Croatia,Active
Cronos Airlines,Equatorial Guinea,Active
Cronus Airlines,Greece,Inactive
Crossair,Switzerland,Inactive
Cruzeiro,Brazil,Inactive
Crystal Thai Airlines,Thailand,Inactive
CSA,Czech Republic,Active
CSE Aviation,United Kingdom,Inactive
CTA,Switzerland,Inactive
Cubana,Cuba,Active
Cura,Netherlands,Inactive
CV Cargo,Colombia,Inactive
Cygnus Air,Spain,Active
Cyprus Airways,Cyprus,Active
Cyprus Turkish Airlines,Turkey,Inactive
Crescent Air Transport,Pakistan,Inactive
Cretan Airlines,Greece,Inactive
Croatia Airlines,Croatia,Active
Cronos Airlines,Equatorial Guinea,Active
Cronus Airlines,Greece,Inactive
Crossair,Switzerland,Inactive
Cruzeiro,Brazil,Inactive
Crystal Thai Airlines,Thailand,Inactive
CSA,Czech Republic,Active
CSE Aviation,United Kingdom,Inactive
CTA,Switzerland,Inactive
Cubana,Cuba,Active
Cura,Netherlands,Inactive
CV Cargo,Colombia,Inactive
Cygnus Air,Spain,Active
Cyprus Airways,Cyprus,Active
Cyprus Turkish Airlines,Turkey,Inactive
Daallo Airlines,Djibouti,Active
DAC Air,Romania,Inactive
DAC East Africa,Kenya,Active
Dalia Air,Morocco,Active
Dalian Airlines,China,Active
Damania Airways,India,Inactive
Dan-Air London,United Kingdom,Inactive
Dana Air,Nigeria,Active
Dana Executive Jets,United Arab Emirates,Inactive
Danaus Lineas Aereas,Mexico,Active
Danish Air Transport,Denmark,Active
Danu Oro Transportas,Lithuania,Active
Danube Wings,Slovakia,Inactive
Dardanel Air,Turkey,Inactive
Darwin Airline,Switzerland,Active
DAS Air,Kenya,Inactive
DASA,Germany,Inactive
Dasab Airlines,Nigeria,Inactive
DAT,Belgium,Inactive
Dau Air,Germany,Inactive
DC Aviation,Germany,Active
De Havilland Canada,Canada,Active
Debonair,United Kingdom,Inactive
Deccan Air Cargo,India,Active
Deer Jet,China,Inactive
Delcar,Paraguay,Inactive
Delta Air Lines,USA,Active
Delta Air Regionalflugverkhr,Germany,Inactive
Delta Connection,Kenya,Active
Denim Air,Netherlands,Active
Deta Air,Kazakhstan,Inactive
DETA Mozambique,Mozambique,Inactive
Deutsche BA,Germany,Inactive
DHC,USA,Inactive
DHL Aero Expreso,Panama,Active
DHL Air,United Kingdom,Active
DHL Airways,USA,Inactive
DHL Aviation,South Africa,Inactive
DHL de Guatemala,Guatemala,Active
DHL International Aviation,Bahrain,Active
DC Aviation,Germany,Active
De Havilland Canada,Canada,Active
Debonair,United Kingdom,Inactive
Deccan Air Cargo,India,Active
Deer Jet,China,Inactive
Delcar,Paraguay,Inactive
Delta Air Lines,USA,Active
Delta Air Regionalflugverkhr,Germany,Inactive
Delta Connection,Kenya,Active
Denim Air,Netherlands,Active
Deta Air,Kazakhstan,Inactive
DETA Mozambique,Mozambique,Inactive
Deutsche BA,Germany,Inactive
DHC,USA,Inactive
DHL Aero Expreso,Panama,Active
DHL Air,United Kingdom,Active
DHL Airways,USA,Inactive
DHL Aviation,South Africa,Inactive
DHL de Guatemala,Guatemala,Active
DHL International Aviation,Bahrain,Active
Diamond Avtn,United Kingdom,Inactive
Diamond Sakha,Russia,Inactive
Diexim Expresso,Angola,Active
Dinar Lineas Aereas,Argentina,Inactive
Direct Aero Services,Romania,Active
Direct Air,USA,Inactive
Direct Fly,Poland,Inactive
Dirgantara Air Services,Indonesia,Inactive
Discover Air,USA,Inactive
Discovery,USA,Inactive
Discovery Air,Nigeria,Active
Discovery Airways,Czech Republic,Inactive
DLH,Germany,Inactive
DLT,Germany,Inactive
Dniproavia,Ukraine,Active
Dobrolet,Russia,Active
Dolphin Air,United Arab Emirates,Active
Dominicana,Dominican Republic,Inactive
Donavia,Russia,Active
Donbassaero,Ukraine,Inactive
Diamond Avtn,United Kingdom,Inactive
Diamond Sakha,Russia,Inactive
Diexim Expresso,Angola,Active
Dinar Lineas Aereas,Argentina,Inactive
Direct Aero Services,Romania,Active
Direct Air,USA,Inactive
Direct Fly,Poland,Inactive
Dirgantara Air Services,Indonesia,Inactive
Discover Air,USA,Inactive
Discovery,USA,Inactive
Discovery Air,Nigeria,Active
Discovery Airways,Czech Republic,Inactive
DLH,Germany,Inactive
DLT,Germany,Inactive
Dniproavia,Ukraine,Active
Dobrolet,Russia,Active
Dolphin Air,United Arab Emirates,Active
Dominicana,Dominican Republic,Inactive
Donavia,Russia,Active
Donbassaero,Ukraine,Inactive
Donghai Airlines,China,Active
Dragonair,Hong-Kong,Active
Druk Air,Buthan,Active
Dubai Air Wing,United Arab Emirates,Active
Dubrovnik Airline,Croatia,Inactive
Ducor World Airways,Equatorial Guinea,Inactive
Duo Airways,United Kingdom,Inactive
Dutch Antilles Express,Netherlands Antilles,Inactive
Dutch Caribbean Airlines,Netherlands,Inactive
DutchBird,Netherlands,Inactive
Dynamic Aviation Group,USA,Active
Donghai Airlines,China,Active
Dragonair,Hong-Kong,Active
Druk Air,Buthan,Active
Dubai Air Wing,United Arab Emirates,Active
Dubrovnik Airline,Croatia,Inactive
Ducor World Airways,Equatorial Guinea,Inactive
Duo Airways,United Kingdom,Inactive
Dutch Antilles Express,Netherlands Antilles,Inactive
Dutch Caribbean Airlines,Netherlands,Inactive
DutchBird,Netherlands,Inactive
Dynamic Aviation Group,USA,Active
EA-727,USA,Inactive
Eagle Air,Iceland,Inactive
Eagle Airways,New Zealand,Active
Eagle Atlantic Airlines,Ghana,Inactive
Eagle Aviation,France,Inactive
Eagle Aviation Kenya,Kenya,Inactive
Eagles Airlines,Italy,Inactive
Eaglexpress Air,Malaysia,Active
EAL,USA,Inactive
Earth Airlines,Nigeria,Inactive
EAS,Nigeria,Inactive
EAS Europe Airlines,France,Inactive
East African Airlines,Uganda,Inactive
East African Safari Air,Kenya,Inactive
East Air,Tajikistan,Active
East Star Airlines,China,Inactive
East West Airlines,India,Inactive
Eastar Jet,South Korea,Active
Eastern Airlines,USA,Inactive
Eastern Airways,United Kingdom,Active
Eastern Australia,Australia,Active
Eastern Provincial Airways,Canada,Inactive
Eastern Skyjets,United Arab Emirates,Active
Eastok Avia,Tajikistan,Inactive
Eastwind Airlines,USA,Inactive
EasyFly,Lebanon,Inactive
EasyJet,United Kingdom,Active
EasyJet Switzerland,Switzerland,Active
EAT,Belgium,Inactive
EAT Leipzig,Germany,Active
EBA Belgium,Belgium,Inactive
EBA France,France,Inactive
EBA Italy,Italy,Inactive
EC Air - Equatorial Congo Airlines,Congo,Active
Ecoair International,Algeria,Inactive
EcoJet,Bolivia,Active
Ecuadorean AIr Force,Ecuador,Active
Ecuato Guineana de Aviacion,Equatorial Guinea,Active
Ecuatoriana,Ecuador,Inactive
ECXpress,Jamaica,Inactive
Eastern Australia,Australia,Active
Eastern Provincial Airways,Canada,Inactive
Eastern Skyjets,United Arab Emirates,Active
Eastok Avia,Tajikistan,Inactive
Eastwind Airlines,USA,Inactive
EasyFly,Lebanon,Inactive
EasyJet,United Kingdom,Active
EasyJet Switzerland,Switzerland,Active
EAT,Belgium,Inactive
EAT Leipzig,Germany,Active
EBA Belgium,Belgium,Inactive
EBA France,France,Inactive
EBA Italy,Italy,Inactive
EC Air - Equatorial Congo Airlines,Congo,Active
Ecoair International,Algeria,Inactive
EcoJet,Bolivia,Active
Ecuadorean AIr Force,Ecuador,Active
Ecuato Guineana de Aviacion,Equatorial Guinea,Active
Ecuatoriana,Ecuador,Inactive
ECXpress,Jamaica,Inactive
Edelweiss Air,Switzerland,Active
Efly,Malta,Inactive
EG G,USA,Active
Egypt Air Express,Egypt,Active
Egypt Gvmt,Egypt,Active
Egyptair,Egypt,Active
Egyptian Gvmt,Egypt,Inactive
EirJet,Ireland,Inactive
EJA,USA,Inactive
Ekspres Air,Indonesia,Active
El Al,Israel,Active
