airline,country,status
Aerosweet Airlines,Ukraine,Inactive
Aerotaca,Colombia,Inactive
Aerotour,France,Inactive
AeroUnion,Mexico,Active
AeroUSA,USA,Inactive
Aerovias,Guatemala,Inactive
Aerovias DAP,Chile,Active
Aerovista Gulf Express,United Arab Emirates,Inactive
Aerowings,Barbados,Inactive
Afghan Jet International,Afghanistan,Active
Africa Charter Services,South Africa,Active
Africa One,Congo,Inactive
Africa World Airlines,Ghana,Active
African Airline Investments,South Africa,Active
African Express Airways,Kenya,Active
African Safari Airways,Kenya,Inactive
African Star Airways,South Africa,Inactive
Aerosucre Colombia,Colombia,Active
Aerosur,Bolivia,Inactive
Aerosvit Airlines,Ukraine,Inactive
Aerosweet Airlines,Ukraine,Inactive
Aerotaca,Colombia,Inactive
Aerotour,France,Inactive
AeroUnion,Mexico,Active
AeroUSA,USA,Inactive
Aerovias,Guatemala,Inactive
Aerovias DAP,Chile,Active
Aerovista Gulf Express,United Arab Emirates,Inactive
Aerowings,Barbados,Inactive
Afghan Jet International,Afghanistan,Active
Africa Charter Services,South Africa,Active
Africa One,Congo,Inactive
Africa World Airlines,Ghana,Active
African Airline Investments,South Africa,Active
African Express Airways,Kenya,Active
African Safari Airways,Kenya,Inactive
African Star Airways,South Africa,Inactive
Afrijet Airlines,Nigeria,Inactive
Afrijet Airlines Business Service,Gabon,Active
Afriqiyah Airways,Libya,Active
Afrique Airlines,Benin,Inactive
Aigle Azur,France,Active
Air 2000,United Kingdom,Inactive
Air 26,Angola,Active
Air Adriatic,Croatia,Inactive
Air Affaires Gabon,Gabon,Active
Air Afrique,Ivory Coast,Inactive
Air Aland,Finland,Inactive
Air alfa,Turkey,Inactive
Air Algerie,Algeria,Active
Air Alliance,Canada,Inactive
Air Almaty,Kazakhstan,Inactive
Air Alpes,France,Inactive
Air Amazonia,Brazil,Active
Air Ambar,Dominican Republic,Inactive
Air America,USA,Inactive
Air Anatolia,Turkey,Inactive
Afrijet Airlines,Nigeria,Inactive
Afrijet Airlines Business Service,Gabon,Active
Afriqiyah Airways,Libya,Active
Afrique Airlines,Benin,Inactive
Aigle Azur,France,Active
Air 2000,United Kingdom,Inactive
Air 26,Angola,Active
Air Adriatic,Croatia,Inactive
Air Affaires Gabon,Gabon,Active
Air Afrique,Ivory Coast,Inactive
Air Aland,Finland,Inactive
Air alfa,Turkey,Inactive
Air Algerie,Algeria,Active
Air Alliance,Canada,Inactive
Air Almaty,Kazakhstan,Inactive
Air Alpes,France,Inactive
Air Amazonia,Brazil,Active
Air Ambar,Dominican Republic,Inactive
Air America,USA,Inactive
Air Anatolia,Turkey,Inactive
Air Andaman,Thailand,Inactive
Air Annobon,Equatorial Guinea,Active
Air Antares,Romania,Inactive
Air Antilles Express,France,Active
Air Arabia,United Arab Emirates,Active
Air Arabia Egypt,Egypt,Active
Air Arabia Maroc,Morocco,Active
Air Armenia,Armenia,Active
Air Aruba,Aruba,Inactive
Air Asiatic,India,Inactive
Air Astana,Kazakhstan,Active
Air Asturias,Spain,Inactive
Air Atlanta Europe,United Kingdom,Inactive
Air Atlanta Icelandic,Iceland,Active
Air Atlantic,Canada,Inactive
Air Atlantique,France,Inactive
Air Atlantis,Portugal,Inactive
Air Atlas Express,Morocco,Inactive
Air Austral,France,Active
Air Australia,Australia,Inactive
Air Andaman,Thailand,Inactive
Air Annobon,Equatorial Guinea,Active
Air Antares,Romania,Inactive
Air Antilles Express,France,Active
Air Arabia,United Arab Emirates,Active
Air Arabia Egypt,Egypt,Active
Air Arabia Maroc,Morocco,Active
Air Armenia,Armenia,Active
Air Aruba,Aruba,Inactive
Air Asiatic,India,Inactive
Air Astana,Kazakhstan,Active
Air Asturias,Spain,Inactive
Air Atlanta Europe,United Kingdom,Inactive
Air Atlanta Icelandic,Iceland,Active
Air Atlantic,Canada,Inactive
Air Atlantique,France,Inactive
Air Atlantis,Portugal,Inactive
Air Atlas Express,Morocco,Inactive
Air Austral,France,Active
Air Australia,Australia,Inactive
Air Bagan,Myanmar,Active
Air Bahamas,Bahamas,Inactive
Air Baltic,Latvia,Active
Air Bashkortostan,Russia,Inactive
Air Batumi,Georgia,Inactive
Air BC,Canada,Inactive
Air Bee,Italy,Inactive
Air Belgium,Belgium,Inactive
Air Berlin,Germany,Active
Air Berlin Turkey,Turkey,Inactive
Air Berlin USA,USA,Inactive
Air Bishkek,Kyrgyzstan,Active
Air Bosna,Bosnia-Hercegovina,Inactive
Air Botnia,Finland,Inactive
Air Botswana,Botswana,Active
Air Bourbon,France,Inactive
