from,to,country,city,state,price,color,nonstop,time,link,img,lat,lng
"sfo","phxa","United States","Phoenix","AZ","54","green","1+ stops (Non-stop available)","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/phxa?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=54","https://content.skyscnr.com/6d3e91dafbd13946c27ba58475f0f996/GettyImages-468931577.jpg?resize=500px:500px&quality=60undefined","33.4372686","-112.0077881",
"sfo","dena","United States","Denver","CO","56","green","Non-stop","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/dena?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=56","https://content.skyscnr.com/7d1759a15c90eb6e209b8f223b599b7a/GettyImages-521112273.jpg?resize=500px:500px&quality=60undefined","39.6744862","-104.932083",
"sfo","bura","United States","Burbank","CA","59","green","Non-stop","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/bura?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=59","https://content.skyscnr.com/dfefba83325e5eaa59bc369840775c57/GettyImages-173583771.jpg?resize=500px:500px&quality=60undefined","34.190107","-118.334428",
"sfo","mspa","United States","Minneapolis","MN","75","green","Non-stop","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/mspa?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=75","https://content.skyscnr.com/8f7ffd0bbbe27f4874a53d3c6fdb558f/GettyImages-484603227.jpg?resize=500px:500px&quality=60undefined","32.9243843","-96.8363708",
"sfo","pspa","United States","Palm Springs","CA","75","green","Non-stop","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/pspa?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=75","https://content.skyscnr.com/bf5d24bf0e09f891b4ca34e29afa2da1/GettyImages-505119807.jpg?resize=500px:500px&quality=60undefined","33.8303194","-116.5070468",
"sfo","ykma","United States","Yakima","WA","75","green","1+ stops","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/ykma?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=75","https://content.skyscnr.com/91d5674682498245f8d23c0e2fba1977/GettyImages-487781443.jpg?resize=500px:500px&quality=60undefined","46.6020711","-120.5058987",
"sfo","fata","United States","Fresno","CA","76","green","1+ stops (Non-stop available)","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/fata?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=76","https://content.skyscnr.com/5b4d472e7614d0edb01952574069c6c8/fillter-illu.svg?resize=500px:500px&quality=90undefined","36.7386185","-119.8044797",
"sfo","boia","United States","Boise","ID","77","green","1+ stops (Non-stop available)","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/boia?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=77","https://content.skyscnr.com/5470ebdf4967d31c46ad738fc32379b8/GettyImages-186625434.jpg?resize=500px:500px&quality=60undefined","0","0",
"sfo","dfwa","United States","Dallas","TX","77","green","Non-stop","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/dfwa?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=77","https://content.skyscnr.com/cdf705ac2b62b523c232de276a3c5835/GettyImages-526371301.jpg?resize=500px:500px&quality=60undefined","32.8998091","-97.0403352",
"sfo","saca","United States","Sacramento","CA","77","green","Non-stop","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/saca?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=77","https://content.skyscnr.com/27111949b5eb32bc133139bd3b2907e9/GettyImages-156643036.jpg?resize=500px:500px&quality=60undefined","38.572517","-121.4184085",
