Year,Make,Model,Trim,Locale
1981,Alfa Romeo,Spider,Veloce,en-US
1981,Alfa Romeo,Spider,Special Edition,en-US
1981,Alfa Romeo,Spider,Veloce Ce,en-US
1981,Alfa Romeo,GTV-6,Maratona,en-US
1981,Alfa Romeo,Spider,Quadrifoglio,en-US
1981,Alfa Romeo,GTV-6,UNAVAIL,en-US
1981,Alfa Romeo,GTV-6,Balocco SE,en-US
1981,Alfa Romeo,Spider,UNAVAIL,en-US
1981,Alfa Romeo,Spider,Graduate,en-US
1981,AMC,Spirit,GT,en-US
1981,AMC,Eagle,UNAVAIL,en-US
1981,AMC,Concord,UNAVAIL,en-US
1981,AMC,Concord,Limited,en-US
1981,AMC,Eagle,SX4,en-US
1981,AMC,Concord,DL,en-US
1981,AMC,Eagle,Limited,en-US
1981,AMC,Spirit,DL,en-US
1981,AMC,Spirit,UNAVAIL,en-US
1981,AMC,Concord,GTA,en-US
1981,AMC,Eagle,DL,en-US
1981,Audi,4000,GT,en-US
1981,Audi,5000,Turbo,en-US
1981,Audi,5000,S,en-US
1981,Audi,4000,5+5,en-US
1981,Audi,4000,S,en-US
1981,Audi,4000,UNAVAIL,en-US
1981,Audi,5000,UNAVAIL,en-US
1981,Audi,5000,CS,en-US
1981,Audi,4000,CS,en-US
1981,Audi,Coupe,UNAVAIL,en-US
1981,BMW,320i,UNAVAIL,en-US
1981,BMW,733i,UNAVAIL,en-US
1981,BMW,633CSi,UNAVAIL,en-US
1981,BMW,528i,UNAVAIL,en-US
1981,Buick,Electra,UNAVAIL,en-US
1981,Buick,Le Sabre,Limited,en-US
1981,Buick,Skylark,UNAVAIL,en-US
1981,Buick,Century,Limited,en-US
1981,Buick,Electra,Park Avenue,en-US
1981,Buick,Skylark,Olympic Gold,en-US
1981,Buick,Riviera,T-Type,en-US
1981,Buick,Regal,Gran Sport,en-US
1981,Buick,Regal,GNX,en-US
1981,Buick,Century,T-Type,en-US
1981,Buick,Regal,LS,en-US
1981,Buick,Regal,UNAVAIL,en-US
1981,Buick,Electra,Park Avenue Ultra,en-US
1981,Buick,Regal,Sport,en-US
1981,Buick,Electra,T-Type,en-US
1981,Buick,Century,Special,en-US
1981,Buick,Skylark,Sport,en-US
1981,Buick,Regal,Limited,en-US
1981,Buick,Skylark,Custom,en-US
