Year,Make,Model,Trim,Locale
2012,Acura,TL,SH-AWD,en-US
2012,Acura,TL,Type-S,en-US
2012,Acura,TL,Special Edition,en-US
2012,Acura,RL,UNAVAIL,en-US
2012,Acura,RL,Special Edition,en-US
2012,Acura,RDX,UNAVAIL,en-US
2012,Acura,TL,UNAVAIL,en-US
2012,Acura,TSX,UNAVAIL,en-US
2012,Acura,ZDX,UNAVAIL,en-US
2012,Acura,TSX,Special Edition,en-US
2012,Acura,MDX,UNAVAIL,en-US
2012,Acura,MDX,Touring,en-US
2012,Aston Martin,Virage,UNAVAIL,en-US
2012,Aston Martin,V12 Vantage,UNAVAIL,en-US
2012,Aston Martin,Rapide,Luxe,en-US
2012,Aston Martin,DBS,Carbon Black,en-US
2012,Aston Martin,V12 Vantage,Carbon Black,en-US
2012,Aston Martin,Rapide,UNAVAIL,en-US
2012,Aston Martin,V8 Vantage,N420,en-US
2012,Aston Martin,V8 Vantage,GT,en-US
2012,Aston Martin,DBS,UNAVAIL,en-US
2012,Aston Martin,V12 Vantage,S,en-US
2012,Aston Martin,DB9,UNAVAIL,en-US
2012,Aston Martin,V8 Vantage,S,en-US
2012,Aston Martin,V8 Vantage,N400,en-US
2012,Aston Martin,V8 Vantage,UNAVAIL,en-US
2012,Audi,A8,3.0T,en-US
2012,Audi,TT,1.8T,en-US
2012,Audi,Q7,3.6 Premium,en-US
2012,Audi,A8,L 4.0T,en-US
2012,Audi,TT,3.2 Premium Plus,en-US
2012,Audi,Q7,3.0T Premium Plus,en-US
2012,Audi,S5,Premium Plus,en-US
2012,Audi,A5,3.2 Prestige,en-US
2012,Audi,A4,2.0T Premium,en-US
2012,Audi,Q7,4.2 Premium,en-US
2012,Audi,A8,L 4.2,en-US
2012,Audi,A6,4.2 Prestige,en-US
2012,Audi,A6,2.0T Premium,en-US
2012,Audi,A6,3.2 Premium,en-US
2012,Audi,A8,4.0T,en-US
2012,Audi,A4,1.8T,en-US
2012,Audi,A3,1.8T Premium,en-US
2012,Audi,S5,UNAVAIL,en-US
2012,Audi,A3,2.0T Premium,en-US
2012,Audi,Q7,4.2,en-US
2012,Audi,Q5,3.2 Premium Plus,en-US
2012,Audi,Q5,3.0T Prestige,en-US
2012,Audi,A8,4.2,en-US
2012,Audi,Q5,3.0T Premium Plus,en-US
2012,Audi,A6,TDI Prestige,en-US
