Year,Make,Model,Trim,Locale
1982,Alfa Romeo,Spider,Quadrifoglio,en-US
1982,Alfa Romeo,Spider,Graduate,en-US
1982,Alfa Romeo,Spider,Special Edition,en-US
1982,Alfa Romeo,Spider,Veloce,en-US
1982,Alfa Romeo,Spider,Veloce Ce,en-US
1982,Alfa Romeo,GTV-6,Balocco SE,en-US
1982,Alfa Romeo,GTV-6,UNAVAIL,en-US
1982,Alfa Romeo,GTV-6,Maratona,en-US
1982,Alfa Romeo,Spider,UNAVAIL,en-US
1982,AMC,Eagle,UNAVAIL,en-US
1982,AMC,Concord,GTA,en-US
1982,AMC,Spirit,UNAVAIL,en-US
1982,AMC,Concord,Limited,en-US
1982,AMC,Concord,UNAVAIL,en-US
1982,AMC,Eagle,SX4,en-US
1982,AMC,Spirit,GT,en-US
1982,AMC,Eagle,Limited,en-US
1982,AMC,Eagle,DL,en-US
1982,AMC,Concord,DL,en-US
1982,AMC,Spirit,DL,en-US
1982,Audi,4000,GT,en-US
1982,Audi,Coupe,UNAVAIL,en-US
1982,Audi,5000,S,en-US
1982,Audi,5000,CS,en-US
1982,Audi,4000,S,en-US
1982,Audi,4000,UNAVAIL,en-US
1982,Audi,5000,Turbo,en-US
1982,Audi,4000,5+5,en-US
1982,Audi,5000,UNAVAIL,en-US
1982,Audi,4000,CS,en-US
1982,BMW,633CSi,UNAVAIL,en-US
1982,BMW,733i,UNAVAIL,en-US
1982,BMW,528e,UNAVAIL,en-US
1982,BMW,320i,UNAVAIL,en-US
1982,Buick,Century,Limited,en-US
1982,Buick,Regal,Olympic Gold,en-US
1982,Buick,Century,Special,en-US
1982,Buick,Electra,UNAVAIL,en-US
1982,Buick,Electra,Limited,en-US
1982,Buick,Skylark,UNAVAIL,en-US
1982,Buick,Skylark,T-Type,en-US
1982,Buick,Skylark,Olympic Gold,en-US
1982,Buick,Regal,Sport,en-US
1982,Buick,Skylark,Gran Sport,en-US
1982,Buick,Regal,GS,en-US
1982,Buick,Le Sabre,Custom,en-US
1982,Buick,Le Sabre,90th Anniversary Edition,en-US
1982,Buick,Skyhawk,Limited,en-US
1982,Buick,Skyhawk,S/E,en-US
1982,Buick,Skylark,Custom,en-US
1982,Buick,Skylark,Luxury Edition,en-US
1982,Buick,Le Sabre,Limited,en-US
1982,Buick,Le Sabre,UNAVAIL,en-US
1982,Buick,Regal,Gran Sport,en-US
1982,Buick,Skyhawk,Sport,en-US
1982,Buick,Regal,UNAVAIL,en-US
1982,Buick,Skyhawk,Custom,en-US
1982,Buick,Le Sabre,Estate,en-US
1982,Buick,Skyhawk,T-Type,en-US
1982,Buick,Regal,Premium,en-US
1982,Buick,Regal,Leather,en-US
1982,Buick,Skylark,Limited,en-US
1982,Buick,Regal,LS,en-US
1982,Buick,Regal,Estate,en-US
1982,Buick,Century,T-Type,en-US
1982,Buick,Skylark,Sport,en-US
1982,Buick,Regal,Custom,en-US
1982,Buick,Skyhawk,UNAVAIL,en-US
1982,Buick,Regal,T-Type,en-US
1982,Buick,Regal,GNX,en-US
1982,Buick,Regal,Grand National,en-US
1982,Buick,Century,Estate,en-US
1982,Buick,Regal,CXL,en-US
1982,Buick,Century,Custom,en-US
1982,Buick,Regal,25th Anniversary,en-US
1982,Buick,Electra,Park Avenue Ultra,en-US
1982,Buick,Riviera,UNAVAIL,en-US
1982,Buick,Electra,T-Type,en-US
1982,Buick,Regal,Limited,en-US
1982,Buick,Electra,Estate,en-US
1982,Buick,Century,UNAVAIL,en-US
1982,Buick,Regal,CXL Turbo,en-US
1982,Buick,Electra,Park Avenue,en-US
1982,Buick,Riviera,T-Type,en-US
1982,Cadillac,Eldorado,Collector's Edition,en-US
1982,Cadillac,Eldorado,UNAVAIL,en-US
1982,Cadillac,Cimarron,UNAVAIL,en-US
1982,Cadillac,Seville,Touring,en-US
1982,Cadillac,Eldorado,ESC,en-US
1982,Cadillac,Fleetwood,d'Elegance,en-US
1982,Cadillac,Eldorado,Biarritz,en-US
1982,Cadillac,De Ville,DTS,en-US
1982,Cadillac,Eldorado,ETC,en-US
1982,Cadillac,De Ville,Limousine,en-US
1982,Cadillac,Eldorado,Sport,en-US
1982,Cadillac,De Ville,Touring,en-US
1982,Cadillac,Eldorado,Touring,en-US
1982,Cadillac,Seville,UNAVAIL,en-US
1982,Cadillac,De Ville,D'Elegance,en-US
1982,Cadillac,De Ville,Fleetwood,en-US
1982,Cadillac,De Ville,UNAVAIL,en-US
1982,Cadillac,De Ville,Concours,en-US
1982,Cadillac,Seville,STS,en-US
1982,Cadillac,Fleetwood,60 Special,en-US
1982,Cadillac,De Ville,DHS,en-US
1982,Cadillac,Seville,SLS,en-US
